Date,2018-06-30,2018-06,2017-06-30,2017-06,2016-06-30,2016-06,2015-06-30,2015-06,2014-06-30,2014-06
Cash and cash equivalents,278000.0,0000000.0,783000.0,1000000.0,4043000.0,4000000.0,1679000.0,2000000.0,5567000.0,6000000.0
Short-term investments,0.0,,0.0,,271000.0,,345000.0,,1424000.0,
Cash and short-term investments,278000.0,,783000.0,,4314000.0,,2024000.0,,5567000.0,
Receivables,0.0,000000.0,1932000.0,2000000.0,2678000.0,3000000.0,2797000.0,3000000.0,3300000.0,3000000.0
Inventories,5826000.0,6000000.0,20609000.0,21000000.0,19918000.0,20000000.0,22127000.0,22000000.0,17179000.0,17000000.0
Total current assets,24751000.0,6000000.0,23829000.0,6000000.0,27035000.0,6000000.0,27264000.0,7000000.0,27631000.0,7000000.0
Property Plant & Equipment Net,6320000.0,6000000.0,5426000.0,5000000.0,5583000.0,5000000.0,5751000.0,5000000.0,5553000.0,5000000.0
Goodwill and Intangible Assets,38000.0,0,506000.0,1000000,496000.0,0,481000.0,1000000,763000.0,1000000
Long-term investments,0.0,,0.0,,0.0,,0.0,,0.0,
Tax assets,86000.0,,199000.0,,529000.0,,6400000.0,,0.0,
Total non-current assets,6431000.0,5000000.0,6209000.0,9000000.0,6470000.0,9000000.0,6639000.0,10000000.0,6697000.0,12000000.0
Total assets,31182000.0,31000000.0,30038000.0,30000000.0,33505000.0,34000000.0,33903000.0,34000000.0,34328000.0,34000000.0
Payables,409000.0,0000000.0,1994000.0,2000000.0,1351000.0,1000000.0,4176000.0,3000000.0,3194000.0,3000000.0
Short-term debt,3235000.0,11000000.0,491000.0,8000000.0,475000.0,11000000.0,368000.0,9000000.0,333000.0,9000000.0
Total current liabilities,15690000.0,16000000.0,10827000.0,11000000.0,14070000.0,14000000.0,14236000.0,14000000.0,12335000.0,12000000.0
Long-term debt,3235000.0,000000.0,3002000.0,3000000.0,3189000.0,3000000.0,3272000.0,3000000.0,3527000.0,4000000.0
Total debt,6470000.0,000000.0,3493000.0,3000000.0,3664000.0,3000000.0,3640000.0,3000000.0,3860000.0,4000000.0
Deferred revenue,0.0,,0.0,,0.0,,0.0,,0.0,
Tax Liabilities,0.0,,0.0,,0.0,,0.0,,0.0,
Deposit Liabilities,0.0,,0.0,,0.0,,0.0,,0.0,
Total non-current liabilities,3287000.0,5000000.0,3065000.0,9000000.0,3718000.0,9000000.0,3635000.0,10000000.0,3527000.0,12000000.0
Total liabilities,20950000.0,21000000.0,19603000.0,20000000.0,23307000.0,23000000.0,24637000.0,25000000.0,24262000.0,24000000.0
Other comprehensive income,16527000,,16082000,,15798000,,14618000,,14061000,
Retained earnings (deficit),-6299000.0,-6000000.0,-5651000.0,-6000000.0,-5600000.0,-6000000.0,-5356000.0,-5000000.0,-3995000.0,-4000000.0
Total shareholders equity,10232000.0,10000000.0,10435000.0,10000000.0,10198000.0,10000000.0,9266000.0,9000000.0,10066000.0,10000000.0
Investments,0.0,,0.0,,271000.0,,345000.0,,1424000.0,
Net Debt,6192000.0,11000000,2710000.0,10000000,-379000.0,10000000,1961000.0,10000000,-1707000.0,7000000
Other Assets,0.0,20000000,0.0,2000000,0.0,1000000,0.0,1000000,0.0,1000000
Other Liabilities,1973000.0,4000000,5711000.0,0,5519000.0,1000000,6766000.0,1000000,8400000.0,0
