Date,2018-12-31,2018-12-29,2017-12-31,2017-12-30,2016-12-31,2015-12-27,2015-12-26,2014-12-27,2013-12-28,2012-12-29,2011-12-31,2010-12-25,2009-12-26
Revenue,4565749000.0,4489180000.0,3941000000.0,3941182000.0,3240493000.0,2887000000.0,2887071000.0,2660329000.0,2470448000.0,2054933000.0,1822336000.0,1890851000.0,1673000000.0
Revenue Growth,0.0170563443657862,0.139096675970566,-0.0000461790396891085,0.216229135504999,0.122443020436439,-0.0000245923983164945,0.0852308116778038,0.0768609580124738,0.202203672820476,0.127636725609328,-0.0362350074120066,0.130215780035864,-0.2506
Cost of Revenue,3896286000.0,3896286000.0,3345000000.0,3398356000.0,2765903000.0,2446000000.0,2487167000.0,2334987000.0,2189896000.0,1829824000.0,1622609000.0,1660896000.0,1429336000.0
Gross Profit,592894000.0,592894000.0,543000000.0,542826000.0,474590000.0,400000000.0,399904000.0,325342000.0,280552000.0,225109000.0,199727000.0,229955000.0,243664000.0
R&D Expenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
SG&A Expense,392235000.0,392235000.0,362000000.0,362220000.0,310152000.0,264000000.0,264265000.0,229775000.0,204390000.0,184919000.0,181363000.0,197617000.0,200939000.0
Operating Expenses,392235000.0,361357000.0,310152000.0,362220000.0,310152000.0,206284000.0,264265000.0,229775000.0,204390000.0,184919000.0,181363000.0,,
Operating Income,207263000.0,207263000.0,181000000.0,181469000.0,164438000.0,136000000.0,135467000.0,97367000.0,74268000.0,44528000.0,12011000.0,30289000.0,42817000.0
Interest Expense,8893000.0,6218000.0,4575000.0,6218000.0,4575000.0,4851000.0,5133000.0,4267000.0,4851000.0,4053000.0,-3732000.0,,
Earnings before Tax,197853000.0,194039000.0,176000000.0,176007000.0,160671000.0,131000000.0,131002000.0,95713000.0,70258000.0,41064000.0,8845000.0,24611000.0,38124000.0
Income Tax Expense,45441000.0,45441000.0,-58000000.0,51967000.0,55174000.0,-46000000.0,45870000.0,34149000.0,24454000.0,15054000.0,2874000.0,7200000.0,13852000.0
Net Income - Non-Controlling int,0.0,4528000.0,4318000.0,0.0,0.0,2722000.0,0.0,0.0,0.0,0.0,0.0,,
Net Income - Discontinued ops,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Net Income,148598000.0,119512000.0,101179000.0,119512000.0,101179000.0,43082000.0,80595000.0,57551000.0,43082000.0,23934000.0,4549000.0,,
Preferred Dividends,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Net Income Com,148598000.0,148598000.0,111000000.0,119512000.0,101179000.0,80000000.0,80595000.0,57551000.0,43082000.0,23934000.0,4549000.0,17411000.0,24272000.0
EPS,2.41,2.41,1.84,1.95,4.97,1.31,3.99,2.87,2.16,1.21,0.23,0.303,0.42
EPS Diluted,2.4,2.4,1.84,1.94,4.96,1.31,3.99,2.86,2.15,1.21,0.23,0.297,0.417
Weighted Average Shs Out,60351000.0,61656181.0,61000000.0,60273000.0,20042000.0,60000000.0,19919000.0,19831000.0,19761000.0,19627000.0,19407.0,57874458.0,58067244.0
Weighted Average Shs Out (Dil),60433000.0,61174197.0,60992817.0,60363000.0,20075000.0,59700198.0,19955000.0,19854000.0,19815000.0,19633000.0,19533.0,,
Dividend per Share,0.0519418198666,0.32,0.29,0.0667958848964,0.880697384807,0.137,0.827211225257,0.614737584366,0.412112036336,0.402638414914,400.245737982,,
Gross Margin,0.129856897521,0.1321,0.1378,0.137731776914,0.146456110228,0.1386,0.138515471216,0.122293896732,0.113563207969,0.109545664019,0.109599437206,0.1216,0.1456
EBITDA Margin,0.0588304350502,0.059,0.063,0.0595925283329,0.0642065883185,0.043,0.0612066693199,0.050253182971,0.0436487633012,0.0379121849715,0.0263387212896,,
EBIT Margin,0.045395180506,0.0451,0.0497,0.0460443085349,0.0507447477899,0.0293,0.0469219496161,0.0365996085447,0.0300625635512,0.0216688329984,0.00659099090398,,
Profit Margin,0.0325462481621,0.03,0.031,0.0303238977545,0.0312233354616,0.017,0.0279158358073,0.0216330386204,0.0174389422485,0.0116470950634,0.00249624657582,,
Free Cash Flow margin,0.00456069748906,0.0174,0.0376,0.0166110065458,0.0366481273066,0.0066,0.0433913817845,0.0104554737403,0.00539902074442,-0.01755045055,-0.011894623165,,
EBITDA,268605000.0,231093000.0,204546000.0,234865000.0,208061000.0,105951000.0,176708000.0,133690000.0,107832000.0,77907000.0,47998000.0,,
EBIT,207263000.0,177697000.0,160928000.0,181469000.0,164438000.0,72387000.0,135467000.0,97367000.0,74268000.0,44528000.0,12011000.0,,
Consolidated Income,148598000.0,124040000.0,105497000.0,119512000.0,101179000.0,45804000.0,80595000.0,57551000.0,43082000.0,23934000.0,4549000.0,,
Earnings Before Tax Margin,0.0433341824091,0.0432,0.0447,0.0446584298822,0.0495822703521,0.0454,0.0453753994966,0.0359778809313,0.0284393761779,0.01998313327,0.00485366035682,0.013,0.0228
Net Profit Margin,0.0325462481621,0.0303,0.0312,0.0303238977545,0.0312233354616,0.0174,0.0279158358073,0.0216330386204,0.0174389422485,0.0116470950634,0.00249624657582,,
