Date,2018-12-31,2017-12-31,2017-11-30,2016-12-31,2016-11-30,2015-11-30
Cash and cash equivalents,26603000.0,13292000.0,31000.0,4158000.0,64000.0,0.0
Short-term investments,0.0,0.0,0.0,0.0,0.0,
Cash and short-term investments,26603000.0,13292000.0,31000.0,4158000.0,64000.0,0.0
Receivables,16967000.0,19911000.0,0.0,13686000.0,0.0,0.0
Inventories,167378000.0,114170000.0,0.0,124067000.0,0.0,0.0
Total current assets,216744000.0,149435000.0,310000.0,146479000.0,323000.0,26000.0
Property Plant & Equipment Net,78043000.0,45669000.0,0.0,48448000.0,0.0,
Goodwill and Intangible Assets,106951000.0,51078000.0,0.0,51822000.0,0.0,
Long-term investments,0.0,0.0,29194000.0,0.0,40651000.0,0.0
Tax assets,2630000.0,1327000.0,,,,
Total non-current assets,185352000.0,100665000.0,,,,
Total assets,402096000.0,246545000.0,29504000.0,247144000.0,40974000.0,480000.0
Payables,22599000.0,25181000.0,410000.0,23037000.0,19000.0,153000.0
Short-term debt,4408000.0,107441000.0,0.0,101018000.0,0.0,
Total current liabilities,172400000.0,134825000.0,1092000.0,125388000.0,21000.0,513000.0
Long-term debt,19013000.0,60887000.0,0.0,63169000.0,0.0,0.0
Total debt,23421000.0,164187000.0,,,,
Deferred revenue,0.0,0.0,,,,
Tax Liabilities,0.0,0.0,,,,
Deposit Liabilities,2511000.0,0.0,,,,
Total non-current liabilities,37730000.0,64722000.0,,,,
Total liabilities,325646000.0,195712000.0,1092000.0,190110000.0,21000.0,513000.0
Other comprehensive income,80605999.9999,0.0,,,,
Retained earnings (deficit),-4156000.0,1085000.0,-1139000.0,7783000.0,-417000.0,-58000.0
Total shareholders equity,76450000.0,50833000.0,28413000.0,57034000.0,40953000.0,-33000.0
Investments,0.0,0.0,0.0,0.0,0.0,
Net Debt,-3182000.0,155036000.0,160029000.0,,,
Other Assets,0.0,2062000.0,4568000.0,,,
Other Liabilities,115516000.0,2203000.0,682000.0,1333000.0,2000.0,
