date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY
,revenue,5446591000.0,4892019000.0,4792017000.0,4285255000.0,3526706000.0,3333261000.0,2634998000.0,2356595000.0
,costOfRevenue,3744112000.0,3604621000.0,3429085000.0,3038916000.0,2528105000.0,2419299000.0,1888803000.0,1693932000.0
,grossProfit,1702479000.0,1287398000.0,1362932000.0,1246339000.0,998601000.0,913962000.0,746195000.0,662663000.0
,grossProfitRatio,0.312576986228634,0.263162919031999,0.284417188002463,0.290843602072689,0.283154025314273,0.274194550021735,0.283186173196336,0.281195114137134
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,1156071000.0,1141643000.0,1069359000.0,853160000.0,691884000.0,644409000.0,536485000.0,482655000.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,70213000.0,10005000.0,-1324000.0,99687000.0,0.0,1000.0,-35000.0,-59000.0
,operatingExpenses,1226284000.0,1201575000.0,1118681000.0,884705000.0,716579000.0,668510000.0,561086000.0,503838000.0
,costAndExpenses,4970396000.0,4806196000.0,4547766000.0,3923621000.0,3244684000.0,3087809000.0,2449889000.0,2197770000.0
,interestExpense,19689000.0,109471000.0,101644000.0,70649000.0,67172000.0,65804000.0,57444000.0,84708000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,51981000.0,59932000.0,49322000.0,31545000.0,24695000.0,24101000.0,24601000.0,21183000.0
,EBITDA,528176000.0,145755000.0,293573000.0,393179000.0,306717000.0,269553000.0,209710000.0,180008000.0
,EBITDARatio,0.0969736850077415,0.0297944468326881,0.0612629295764184,0.0917515993797335,0.0869698239660465,0.0808676548281098,0.0795863981680442,0.0763847839785793
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,476195000.0,85823000.0,244251000.0,361634000.0,282022000.0,245452000.0,185109000.0,158825000.0
,operatingIncomeRatio,0.0874299171720439,0.0175434723372906,0.0509703951384146,0.0843903104949414,0.0799675391144031,0.073637197927195,0.0702501481974559,0.0673959674869886
,totalOtherIncomeExpensesNet,-74237000.0,-67071000.0,-46236000.0,98971000.0,-5706000.0,238000.0,-1899000.0,-51312000.0
,incomeBeforeTax,401958000.0,-90719000.0,96371000.0,389956000.0,209144000.0,179886000.0,125766000.0,22805000.0
,incomeBeforeTaxRatio,0.0737999236586702,-0.0185442861117261,0.0201107383383657,0.0909994854448568,0.0593029302697758,0.0539669710832725,0.0477290684850615,0.00967709767694491
,incomeTaxExpense,-57743000.0,29582000.0,30790000.0,156982000.0,5907000.0,1356000.0,2140000.0,1988000.0
,netIncome,344215000.0,-60591000.0,10398000.0,28362000.0,191661000.0,178530000.0,123626000.0,20817000.0
,netIncomeRatio,0.063198246389347,-0.0123856837023732,0.00216985874632749,0.00661850928357822,0.0543456131585678,0.0535601622555209,0.046916923656109,0.00883350766678195
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EPS,8.63126880641926,-1.62398820691504,0.281141003109369,-0.7,0.11,9.688,7.226679,1.129679
,EPSDiluted,8.42178019181836,-1.62224899598394,0.116991831499359,-0.7,0.09,9.688,1.506481,1.129679
,weightedAverageShsOut,39880000.0,37310000.0,36985000.0,26622000.0,18766000.0,18427352.0,17106889.0,18427352.0
,weightedAverageShsOutDil,40872000.0,37350000.0,88878000.0,26622000.0,83602000.0,18427352.0,82062775.0,18427352.0
