Date,2018-03-31,2018-03,2017-03-31,2017-03,2016-03-31,2016-03,2015-03-31,2015-03,2014-03-31,2014-03,2013-03-31,2012-03-31,2011-03-31
Revenue,14913947.0,,11550041.0,,10589633.0,,8658267.0,,7501823.0,,7293728.0,6829227.0,7851744.0
Revenue Growth,0.2912,,0.0907,,0.2231,,0.1542,,0.0285,,0.068,-0.1302,
Cost of Revenue,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0
Gross Profit,14913947.0,,11550041.0,,10589633.0,,8658267.0,,7501823.0,,7293728.0,6829227.0,7851744.0
R&D Expenses,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0
SG&A Expense,12542330.0,,12196834.0,,9116683.0,,8782941.0,,8861821.0,,7360064.0,6294412.0,5609834.0
Operating Expenses,12910852.0,,13236828.0,,10260558.0,,9309929.0,,9688996.0,,7772861.0,6815394.0,6227074.0
Operating Income,2003095.0,,-1686787.0,,329075.0,,-651662.0,,-2187173.0,,-479133.0,13833.0,1624670.0
Interest Expense,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0
Earnings before Tax,2003096.0,,-1686787.0,,329075.0,,-651662.0,,-2187173.0,,-479133.0,13833.0,1624670.0
Income Tax Expense,8052038.0,,-758005.0,,421691.0,,-337353.0,,-991789.0,,-306998.0,-117186.0,511257.0
Net Income - Non-Controlling int,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0
Net Income - Discontinued ops,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0
Net Income,-6048942.0,-6000000.0,-928782.0,-1000000.0,-92616.0,-0000000.0,-314309.0,-0000000.0,-1195384.0,-1000000.0,-172135.0,131019.0,1113413.0
Preferred Dividends,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0
Net Income Com,-6048942.0,-6000000.0,-928782.0,-1000000.0,-92616.0,-0000000.0,-314309.0,-0000000.0,-1195384.0,-1000000.0,-172135.0,131019.0,1113413.0
EPS,-1.9,-1.90,-0.29,-0.29,-0.03,-0.03,-0.1,-0.10,-0.35,-0.35,-0.05,,
EPS Diluted,-1.9,-1.90,-0.29,-0.29,-0.03,-0.03,-0.1,-0.10,-0.35,-0.35,-0.05,,
Weighted Average Shs Out,3411075.0,3000000.0,3409243.0,3000000.0,3417615.0,3000000.0,3417713.0,3000000.0,3517850.0,3000000.0,3703000.0,,
Weighted Average Shs Out (Dil),,3000000.0,,3000000.0,,3000000.0,,3000000.0,,3000000.0,,,
Dividend per Share,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0
Gross Margin,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,1.0,1.0
EBITDA Margin,0.134,,-0.146,,0.031,,-0.046,,-0.25,,-0.017,0.045,0.207
EBIT Margin,0.1343,,-0.146,,0.0311,,-0.0753,,-0.2916,,-0.0657,0.002,0.2069
Profit Margin,-0.406,,-0.08,,-0.009,,-0.036,,-0.159,,-0.024,0.019,0.142
Free Cash Flow margin,0.1155,,0.0617,,0.1685,,0.026,,0.3109,,0.238,0.241,0.248
EBITDA,2003096.0,,-1686787.0,,329075.0,,-398939.0,,-1876238.0,,-125837.0,308826.0,1624670.0
EBIT,2003096.0,-6000000,-1686787.0,-1000000,329075.0,0,-651662.0,0,-2187173.0,-1000000,-479133.0,13833.0,1624670.0
Consolidated Income,-6048942.0,-6000000.0,-928782.0,-1000000.0,-92616.0,-0000000.0,-314309.0,-0000000.0,-1195384.0,-1000000.0,-172135.0,131019.0,1113413.0
Earnings Before Tax Margin,0.1343,,-0.146,,0.0311,,-0.0753,,-0.2916,,-0.0657,0.002,0.2069
Net Profit Margin,-0.4056,,-0.0804,,-0.0087,,-0.0363,,-0.1593,,-0.0236,0.0192,0.1418
