date,,2020-08-31_FY,2019-08-31_FY,2018-08-31_FY,2017-08-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,5233718.0,48814903.0,-1217223.0,-1808933.0
,depreciationAndAmortization,0.0,0.0,0.0,0.0
,deferredIncomeTax,0.0,0.0,0.0,0.0
,stockBasedCompensation,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-310362.0,44728.0,-195434.0,-240227.0
,accountsReceivables,0.0,0.0,0.0,0.0
,inventory,0.0,0.0,0.0,0.0
,accountsPayables,0.0,0.0,0.0,0.0
,otherWorkingCapital,0.0,0.0,0.0,0.0
,otherNonCashItems,3804729.0,-23754891.0,26696632.0,29847396.0
,netCashProvidedByOperatingActivites,8728085.0,25104740.0,25283975.0,27798236.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,0.0,0.0,0.0
,acquisitionsNet,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,0.0,0.0,0.0
,netCashUsedForInvestingActivites,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-969850.0,0.0,-2981612.0,-6618915.0
,commonStockIssued,0.0,0.0,0.0,0.0
,commonStockRepurchased,0.0,0.0,0.0,0.0
,dividendsPaid,-17060349.0,-16634680.0,-19651902.0,-21691673.0
,otherFinancingActivites,8822451.0,-8348247.0,-3061461.0,512352.0
,netCashUsedProvidedByFinancingActivities,-9207748.0,-24982927.0,-25694975.0,-27798236.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,-9207748.0,121813.0,-411000.0,-27798236.0
,cashAtEndOfPeriod,0.0,479663.0,357850.0,0.0
,cashAtBeginningOfPeriod,479663.0,357850.0,768850.0,0.0
,operatingCashFlow,8728085.0,25104740.0,25283975.0,27798236.0
,capitalExpenditure,0.0,0.0,0.0,0.0
,freeCashFlow,8728085.0,25104740.0,25283975.0,27798236.0
