date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY
,revenue,1661668000.0,534890000.0,522285000.0,277743000.0,191603000.0,196129000.0,182615000.0,175410000.0,155741000.0,158603000.0,113339000.0,164282000.0,128132000.0,118065000.0,106015000.0,92299000.0,78691000.0,95105000.0,76273000.0
,costOfRevenue,312813000.0,214085000.0,206572000.0,121601000.0,73414000.0,71688000.0,74180000.0,66976000.0,61285000.0,62865000.0,52607000.0,55218000.0,50206000.0,48573000.0,44818000.0,37101000.0,35234000.0,42812000.0,38267000.0
,grossProfit,1348855000.0,320805000.0,315713000.0,156142000.0,118189000.0,124441000.0,108435000.0,108434000.0,94456000.0,95738000.0,60732000.0,109064000.0,77926000.0,69492000.0,61197000.0,55198000.0,43457000.0,52293000.0,38006000.0
,grossProfitRatio,0.811747593382071,0.599758828918095,0.604484141799975,0.562181585134459,0.616843160075782,0.634485466198268,0.593790214385456,0.61817456245368,0.606494115229772,0.603632970372565,0.535843796045492,0.663882835611936,0.608169699996878,0.58859103036463,0.577248502570391,0.598034648262711,0.552248668843959,0.549844908259292,0.49828904068281
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,84292000.0,52553000.0,51649000.0,33644000.0,38672000.0,35514000.0,37913000.0,34186000.0,27716000.0,26325000.0,24571000.0,12526000.0,11147000.0,12855000.0,13047000.0,12829000.0,11340000.0,8465000.0,6748000.0
,GeneralAndAdministrativeExpenses,66586000.0,163869000.0,153938000.0,96440000.0,74883000.0,77333000.0,67344000.0,60087000.0,50959000.0,48549000.0,42443000.0,40130000.0,33684000.0,31658000.0,29736000.0,29183000.0,28842000.0,28505000.0,25847000.0
,SellingAndMarketingExpenses,133957000.0,111114000.0,108987000.0,67248000.0,47821000.0,47886000.0,41533000.0,33829000.0,30319000.0,25751000.0,23972000.0,23347000.0,20898000.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,3694000.0,0.0,0.0,0.0,0.0,0.0,0.0,31000.0,-30000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,284835000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,costAndExpenses,597648000.0,430507000.0,412159000.0,251685000.0,196042000.0,193391000.0,188265000.0,169420000.0,146895000.0,144863000.0,126352000.0,109238000.0,99513000.0,98579000.0,92181000.0,97589000.0,76875000.0,81839000.0,72807000.0
,interestExpense,9623000.0,14790000.0,24283000.0,17588000.0,11760000.0,12035000.0,1775000.0,777000.0,1246000.0,2083000.0,2345000.0,767000.0,671000.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,49089000.0,51791000.0,46266000.0,30762000.0,9073000.0,8856000.0,8828000.0,8171000.0,6935000.0,7124000.0,6731000.0,1364000.0,4476000.0,5493000.0,4580000.0,1476000.0,1459000.0,2057000.0,1945000.0
,EBITDA,1113109000.0,156174000.0,156392000.0,56820000.0,4634000.0,11594000.0,3178000.0,14161000.0,15781000.0,20864000.0,-6282000.0,56408000.0,33095000.0,24979000.0,18414000.0,-3814000.0,3275000.0,15323000.0,5411000.0
,EBITDARatio,0.669874487563099,0.291974050739404,0.299438046277416,0.204577613117162,0.0241854250716325,0.0591141544595649,0.0174027325247105,0.0807308591300382,0.101328487681471,0.131548583570298,-0.0554266404326842,0.343360806418232,0.258288327662098,0.211569897937577,0.173692402018582,-0.0413222245094746,0.0416184824185739,0.161116660533095,0.0709425353663813
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,1064020000.0,104383000.0,110126000.0,26058000.0,-4439000.0,2738000.0,-5650000.0,5990000.0,8846000.0,13740000.0,-13013000.0,55044000.0,28619000.0,19486000.0,13834000.0,-5290000.0,1816000.0,13266000.0,3466000.0
,operatingIncomeRatio,0.640332485189581,0.195148535212848,0.210854227098232,0.0938205463324008,-0.0231676957041382,0.0139601996645065,-0.0309394080442461,0.0341485662162933,0.0567994298225901,0.0866314004148724,-0.114814847492919,0.335058010007183,0.223355602035401,0.165044678778639,0.130490968259209,-0.0573137303762771,0.0230776073502688,0.139487934388308,0.0454420306006057
,totalOtherIncomeExpensesNet,-14078000.0,-12415000.0,-22459000.0,-16506000.0,0.0,0.0,-3558000.0,-1794000.0,-30000.0,-376000.0,-2276000.0,-2500000.0,135000.0,-117000.0,545000.0,-16951000.0,654000.0,-1787000.0,1985000.0
,incomeBeforeTax,1040319000.0,77178000.0,63384000.0,-8036000.0,-16199000.0,-9297000.0,-10983000.0,3434000.0,7611000.0,11484000.0,-17420000.0,52149000.0,29769000.0,20524000.0,15030000.0,-5327000.0,1584000.0,10499000.0,2841000.0
,incomeBeforeTaxRatio,0.626069106464107,0.144287610536746,0.121359028116833,-0.0289332224394494,-0.0845446052514835,-0.0474024749017228,-0.0601429236371601,0.0195769910495411,0.0488695976011455,0.0724072054122558,-0.153698197443069,0.317435872463204,0.232330721443511,0.173836446025494,0.141772390699429,-0.057714601458304,0.0201293667636706,0.110393775300983,0.0372477809972074
,incomeTaxExpense,230032000.0,4257000.0,-10799000.0,129000.0,-2391000.0,-3218000.0,-3909000.0,-3956000.0,2618000.0,3851000.0,-6149000.0,19266000.0,10921000.0,6893000.0,-5891000.0,3000000.0,0.0,-9152000.0,1550000.0
,netIncome,810287000.0,72921000.0,74183000.0,-8165000.0,-13808000.0,-6079000.0,-7074000.0,7390000.0,4993000.0,7633000.0,-11271000.0,32883000.0,18848000.0,13631000.0,21718000.0,-9259000.0,-6287000.0,19651000.0,1291000.0
,netIncomeRatio,0.487634714034332,0.136328964833891,0.142035478713729,-0.0293976805896098,-0.0720656774685156,-0.0309949064136359,-0.0387372340716809,0.0421298671683484,0.0320596374750387,0.0481264541023814,-0.0994450277486126,0.200161916704204,0.1470983048731,0.115453351967137,0.204857803141065,-0.100315279688837,-0.079894778310099,0.206624257399716,0.0169260419807796
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EPS,19.24,1.78,1.95,-0.24,-0.42,-0.18,-0.21,0.22,0.15,0.23,-0.39,1.1,0.59,0.43,0.66,-0.28,-0.2,0.67,0.04
,EPSDiluted,18.6,1.73,1.86,-0.24,-0.42,-0.18,-0.21,0.21,0.15,0.23,-0.39,1.08,0.58,0.41,0.63,-0.28,-0.2,0.65,0.04
,weightedAverageShsOut,42124000.0,40860000.0,37995000.0,33734000.0,32708000.0,34104000.0,34451000.0,33836000.0,33068000.0,32903000.0,28582000.0,29964000.0,31853000.0,32028000.0,32985000.0,32525000.0,31487000.0,29177000.0,28824000.0
,weightedAverageShsOutDil,42124000.0,43111000.0,42554000.0,33734000.0,32708000.0,34104000.0,34451000.0,34947000.0,33702000.0,33320000.0,28582000.0,30418000.0,32612000.0,32996000.0,34367000.0,32525000.0,32386000.0,30374000.0,29629000.0
