date,,2021-01-31_FY,2021-01-30_FY,2020-02-01_FY,2019-02-02_FY,2018-02-03_FY,2017-01-28_FY,2016-01-30_FY,2015-01-31_FY,2014-02-01_FY,2013-02-02_FY,2012-01-28_FY,2011-01-29_FY,2010-01-30_FY,2009-01-31_FY,2008-02-02_FY,2008-01-31_FY,2007-02-03_FY,2006-01-28_FY,2005-01-29_FY,2004-01-31_FY,2003-02-01_FY,2002-02-02_FY,2001-02-03_FY,2000-01-29_FY,1999-01-30_FY,1998-01-31_FY,1997-02-01_FY,1996-02-03_FY,1995-01-28_FY,1994-01-31_FY,1993-01-31_FY,1992-01-31_FY,1991-01-31_FY,1990-01-31_FY,1989-01-31_FY,1988-01-31_FY,1987-01-31_FY,1986-10-31_FY,1985-10-31_FY
,revenue,2117070000.0,2117070000.0,2921562000.0,2834846000.0,2785584000.0,2579388000.0,2577430000.0,2571709000.0,2513100000.0,2598100000.0,2582800000.0,2504100000.0,2242000000.0,2276362000.0,2359900000.0,2359909000.0,2470900000.0,2292100000.0,1941800000.0,1832108000.0,1841400000.0,1755800000.0,1684900000.0,1592500000.0,1538500000.0,1567200000.0,1525100000.0,1455900000.0,1461600000.0,1597800000.0,1791200000.0,1727800000.0,1763800000.0,1820500000.0,1706600000.0,1678400000.0,1406500000.0,1400200000.0,1400100000.0
,costOfRevenue,1330021000.0,1330021000.0,1737202000.0,1678502000.0,1616935000.0,1517397000.0,1529627000.0,1531609000.0,1498800000.0,1587700000.0,1586200000.0,1500500000.0,1338800000.0,1394126000.0,1416500000.0,1416510000.0,1500000000.0,1393800000.0,1157400000.0,1073442000.0,1100700000.0,1069400000.0,1002700000.0,967200000.0,925200000.0,961800000.0,958300000.0,948900000.0,949400000.0,1018300000.0,1099700000.0,1060300000.0,1063800000.0,1108600000.0,1035900000.0,1004400000.0,0.0,782600000.0,784800000.0
,grossProfit,787049000.0,787049000.0,1184360000.0,1156344000.0,1168649000.0,1061991000.0,1047803000.0,1040100000.0,1014300000.0,1010400000.0,996600000.0,1003600000.0,903100000.0,882236000.0,943400000.0,943399000.0,970900000.0,898300000.0,784400000.0,758666000.0,740800000.0,686400000.0,682100000.0,625400000.0,613300000.0,605400000.0,566800000.0,507000000.0,512300000.0,579500000.0,691500000.0,667500000.0,700000000.0,711900000.0,670700000.0,674000000.0,0.0,617600000.0,615300000.0
,grossProfitRatio,0.371763333286098,0.371763333286098,0.405385886043151,0.407903639210031,0.419534646953745,0.411722082912691,0.406530148248449,0.404439226988746,0.403605109227647,0.388899580462646,0.385860306643952,0.400782716345194,0.402809991079393,0.387564016619501,0.399762701809399,0.399760753486681,0.392933748836456,0.39191134767244,0.403955093212483,0.414094583943741,0.402302595850983,0.390932908076091,0.404831147249095,0.392715855572998,0.398635034124147,0.386294027565084,0.37164776080257,0.348238203173295,0.350506294471812,0.362686193516085,0.386054041983028,0.386329436277347,0.396870393468647,0.39104641581983,0.393003632954412,0.401572926596759,0.0,0.441079845736323,0.439468609385044
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,0.0,0.0,819920000.0,770516000.0,798416000.0,728853000.0,678755000.0,0.0,691798000.0,725237000.0,768986000.0,732414000.0,708089000.0,0.0,22000.0,0.0,34000.0,27000.0,720000000.0,0.0,660600000.0,630100000.0,610800000.0,558400000.0,551900000.0,559500000.0,521600000.0,494100000.0,448800000.0,529700000.0,632700000.0,602200000.0,608800000.0,620800000.0,581300000.0,565300000.0,0.0,516200000.0,500000000.0
,SellingAndMarketingExpenses,0.0,889489000.0,239973000.0,267584000.0,233860000.0,212156000.0,231141000.0,0.0,217902000.0,193763000.0,168414000.0,190586000.0,151611000.0,0.0,847278000.0,0.0,862766000.0,809673000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,16834000.0,0.0,7934000.0,12408000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,889489000.0,889489000.0,1080547000.0,1156129000.0,1040966000.0,965999000.0,923347000.0,910682000.0,915700000.0,948800000.0,962100000.0,930900000.0,871600000.0,852109000.0,847700000.0,847717000.0,862800000.0,809600000.0,720600000.0,681585000.0,665600000.0,674400000.0,614600000.0,561100000.0,559600000.0,586200000.0,523100000.0,497700000.0,448800000.0,552500000.0,661100000.0,632300000.0,637400000.0,648800000.0,607800000.0,592600000.0,0.0,542100000.0,524300000.0
,costAndExpenses,2219510000.0,2219510000.0,2817749000.0,2834631000.0,2657901000.0,2483396000.0,2452974000.0,2442291000.0,2414500000.0,2536500000.0,2548300000.0,2431400000.0,2210400000.0,2246235000.0,2264200000.0,2264227000.0,2362800000.0,2203400000.0,1878000000.0,1755027000.0,1766300000.0,1743800000.0,1617300000.0,1528300000.0,1484800000.0,1548000000.0,1481400000.0,1446600000.0,1398200000.0,1570800000.0,1760800000.0,1692600000.0,1701200000.0,1757400000.0,1643700000.0,1597000000.0,0.0,1324700000.0,1309100000.0
,interestExpense,48287000.0,48287000.0,6000000.0,18277000.0,18089000.0,15111000.0,16589000.0,20445000.0,21254000.0,23382000.0,26141000.0,19643000.0,19942000.0,17105000.0,15304000.0,0.0,17310000.0,18832000.0,8410000.0,0.0,-11800000.0,-18900000.0,-16600000.0,-15500000.0,-17700000.0,0.0,-18100000.0,-14200000.0,-14300000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,0.0,41.644,65562000.0,62697000.0,64070000.0,56131000.0,51439000.0,51615000.0,55300000.0,54800000.0,59100000.0,50300000.0,51100000.0,54873000.0,50700000.0,52268000.0,41800000.0,40400000.0,31900000.0,25472000.0,24900000.0,26700000.0,24000000.0,25500000.0,26900000.0,26700000.0,25900000.0,23800000.0,22100000.0,22800000.0,28400000.0,30100000.0,28600000.0,28000000.0,26500000.0,27300000.0,0.0,25900000.0,24300000.0
