date,,2021-01-30_FY,2020-02-01_FY,2019-02-02_FY,2018-02-03_FY,2017-01-28_FY,2016-01-30_FY,2015-01-31_FY,2014-02-01_FY,2013-02-02_FY,2012-01-28_FY,2011-01-29_FY,2010-01-30_FY,2009-01-31_FY,2008-02-02_FY,2007-02-03_FY,2006-01-28_FY,2005-01-29_FY,2004-01-31_FY,2003-02-01_FY,2002-02-02_FY,2001-02-03_FY,2000-01-29_FY,1999-01-30_FY,1998-01-31_FY,1997-02-01_FY,1996-02-03_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-64538000.0,-7796000.0,-13531000.0,-18826000.0,-2256000.0,-8408000.0,-12295000.0,-59800000.0,6100000.0,42700000.0,15400000.0,6100000.0,-109257000.0,400000.0,42600000.0,10800000.0,1500000.0,-12061000.0,-38800000.0,-7900000.0,3200000.0,-12500000.0,-18500000.0,-29100000.0,6300000.0,9800000.0
,depreciationAndAmortization,146000.0,24563000.0,28653000.0,31073000.0,30621000.0,28359000.0,24002000.0,20840000.0,15470000.0,12530000.0,13230000.0,15500000.0,17100000.0,17410000.0,15060000.0,12740000.0,9860000.0,9070000.0,6110000.0,4190000.0,4890000.0,6500000.0,9730000.0,11200000.0,10400000.0,8750000.0
,deferredIncomeTax,0.0,0.0,0.0,-2363000.0,26000.0,105000.0,91000.0,45310000.0,5060000.0,-51910000.0,770000.0,770000.0,28617000.0,1860000.0,-23510000.0,-3070000.0,0.0,0.0,7980000.0,7130000.0,2020000.0,-4320000.0,-10210000.0,-5000000.0,-260000.0,-560000.0
,stockBasedCompensation,1446000.0,1922000.0,2004000.0,1636000.0,1256000.0,2195000.0,2996000.0,1893000.0,777000.0,1292000.0,2124000.0,2121000.0,3833000.0,2121000.0,777000.0,489000.0,739000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-34402000.0,-26232000.0,7876000.0,-11397000.0,-4843000.0,-14215000.0,-7892000.0,-32300000.0,4000000.0,15200000.0,17700000.0,25553000.0,-20953000.0,-25800000.0,33500000.0,11100000.0,-26196000.0,52396000.0,-17300000.0,-3100000.0,-3200000.0,-4400000.0,-18100000.0,-30200000.0,7700000.0,8800000.0
,accountsReceivables,-197000.0,-1174000.0,-1374000.0,4068000.0,-2393000.0,-1102000.0,4728000.0,-3340000.0,-1653000.0,-267000.0,-1521000.0,436000.0,254000.0,436000.0,255000.0,-581000.0,1270000.0,0.0,-6500000.0,-500000.0,100000.0,100000.0,-100000.0,0.0,-100000.0,3700000.0
,inventory,17392000.0,4417000.0,-3505000.0,14114000.0,7568000.0,-9794000.0,-9664000.0,-1345000.0,-44000.0,-11278000.0,-2912000.0,-4405000.0,19154000.0,-4405000.0,-22620000.0,-11688000.0,13271000.0,6369000.0,-45500000.0,0.0,-700000.0,900000.0,-2900000.0,12600000.0,-22000000.0,-5400000.0
,accountsPayables,-4672000.0,-2655000.0,431000.0,2729000.0,574000.0,705000.0,-2966000.0,7481000.0,807000.0,7105000.0,-2201000.0,-1181000.0,-10231000.0,-1181000.0,7263000.0,1077000.0,-3414000.0,0.0,-26200000.0,-800000.0,500000.0,1700000.0,-300000.0,0.0,-4000000.0,5000000.0
,otherWorkingCapital,-40905000.0,-6503000.0,19729000.0,11853000.0,23250000.0,28093000.0,42308000.0,50200000.0,82500000.0,78500000.0,63300000.0,45600000.0,20047000.0,41000000.0,66800000.0,33300000.0,22200000.0,48396000.0,-4000000.0,13300000.0,16400000.0,19600000.0,24000000.0,42100000.0,72300000.0,64600000.0
,otherNonCashItems,0.0,4311000.0,6069000.0,5070000.0,548000.0,1549000.0,-1193000.0,680000.0,-960000.0,23010000.0,490000.0,-920000.0,0.0,4370000.0,580000.0,1910000.0,-800000.0,0.0,36640000.0,-4060000.0,-330000.0,730000.0,-1420000.0,100000.0,480000.0,1880000.0
,netCashProvidedByOperatingActivites,-1228000.0,15803000.0,15741000.0,30959000.0,34960000.0,18390000.0,13805000.0,24900000.0,29900000.0,23390000.0,18730000.0,30770000.0,23197000.0,11740000.0,12090000.0,16830000.0,13430000.0,11964000.0,20560000.0,560000.0,6300000.0,-1230000.0,1940000.0,-7000000.0,-1820000.0,10770000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-4243000.0,-13399000.0,-11811000.0,-22565000.0,-29239000.0,-33447000.0,-40927000.0,-54125000.0,-32390000.0,-18038000.0,-9031000.0,-21377000.0,-12595000.0,-21377000.0,-22676000.0,-15656000.0,-20637000.0,-12320000.0,-14470000.0,-4010000.0,-4490000.0,-5050000.0,-510000.0,-7800000.0,-12290000.0,-18020000.0
,acquisitionsNet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,-4000000.0,-1000000.0,-2980000.0,0.0,2000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,-4681000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5900000.0,0.0,0.0
,otherInvestingActivites,0.0,0.0,-1150000.0,4681000.0,0.0,0.0,0.0,0.0,273000.0,258000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-400000.0,0.0,0.0
,netCashUsedForInvestingActivites,-4243000.0,-13399000.0,-12961000.0,-22565000.0,-29239000.0,-33447000.0,-40927000.0,-54130000.0,-32120000.0,-17780000.0,-8630000.0,-4000000.0,-16396000.0,-22210000.0,31520000.0,-15660000.0,-18340000.0,-12320000.0,-175280000.0,-3990000.0,-2070000.0,-7300000.0,-10150000.0,-2300000.0,-6710000.0,-15250000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
