date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY
,revenue,3713460000.0,2012304000.0,2936589000.0,2990734000.0,1676817000.0,1983635000.0,2149154000.0,2509239000.0,1301659000.0,1139775000.0,1285884000.0,1189588000.0,341809000.0,714500000.0,915860000.0,567718000.0,497142000.0,452138000.0,279713000.0,180376000.0,114615000.0,79810561.0,37953909.0
,costOfRevenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,grossProfit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,grossProfitRatio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,95815000.0,82883000.0,71914000.0,58043000.0,53479000.0,0.0,0.0,0.0,0.0,775757000.0,733218000.0,57255000.0,52633000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,0.0,1653000000.0,2330000000.0,2611000000.0,1505000000.0,1605000000.0,1892000000.0,2036000000.0,1238000000.0,1173000000.0,1052000000.0,542000000.0,424000000.0,685000000.0,573000000.0,424000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,costAndExpenses,2897499000.0,1696739000.0,2370847000.0,2674463000.0,1546570000.0,1646321000.0,1953090000.0,2119907000.0,1215670000.0,1006861000.0,1220618000.0,1103424000.0,256503000.0,671661000.0,798935000.0,496824000.0,427601000.0,413193000.0,250762000.0,170923000.0,99997000.0,76714691.0,36949239.0
,interestExpense,1574379000.0,1328865000.0,1651824000.0,2068160000.0,766678000.0,1009141000.0,1522192000.0,1323825000.0,860024000.0,45640000.0,37031000.0,379089000.0,43077000.0,54667000.0,74667000.0,41749000.0,17100000.0,13425000.0,7274000.0,9720000.0,5606000.0,4387232.0,2317488.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,5199000.0,4068000.0,3474000.0,3948000.0,3879000.0,4610000.0,9490000.0,18375000.0,18404000.0,0.0,0.0,93913000.0,43437000.0,-184843000.0,-147136000.0,-118352000.0,-69724000.0,-98967000.0,-93679000.0,23040000.0,8574000.0,70000.0,70000.0
,EBITDA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,EBITDARatio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
