date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2016-03-18_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,94124000.0,-48490000.0,-190071000.0,-158240000.0,-24903000.0,35000.0,217749000.0,52091000.0,17000000.0,-26500000.0,-82700000.0,-2800000.0,3418037.0,12185924.0,12053792.0
,depreciationAndAmortization,245818000.0,206968000.0,176723000.0,141418000.0,121461000.0,107356000.0,107356000.0,42617000.0,23600000.0,14800000.0,18500000.0,10200000.0,6834742.0,6984444.0,6482484.0
,deferredIncomeTax,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,14583000.0,116000.0,-13004000.0,-17200000.0,11778000.0,-40565000.0,3360000.0,18939000.0,-38700000.0,-9500000.0,-19400000.0,-6200000.0,-4502685.0,3609567.0,-13950975.0
,accountsReceivables,19957000.0,-8458000.0,-4298000.0,-1478000.0,26688000.0,9184000.0,13951000.0,-5660000.0,-36104000.0,0.0,-13031294000000.0,-5915254000000.0,2262984.0,1002953.0,2953719.0
,inventory,-615000.0,-346000.0,1535000.0,-1319000.0,564000.0,-1909000.0,-500000.0,-3218000.0,-687000.0,0.0,-1409789000000.0,-853079000000.0,69086.0,-112778.0,18029.0
,accountsPayables,-5094000.0,4019000.0,-1382000.0,3694000.0,-2487000.0,775000.0,-10754000.0,6471000.0,-2021000.0,0.0,-954027000000.0,2600483000000.0,-279628.0,352254.0,-354448.0
,otherWorkingCapital,856000.0,-183253000.0,240141000.0,70289000.0,-227797000.0,42771000.0,0.0,83336000.0,178684000.0,103965000.0,74114836000000.0,74114836000000.0,-1580826.0,0.0,0.0
,otherNonCashItems,65869000.0,50918000.0,84142000.0,75823000.0,70175000.0,0.0,63510000.0,-19731000.0,-7600000.0,19300000.0,71200000.0,3700000.0,-956120.0,2057957.0,1245472.0
,netCashProvidedByOperatingActivites,419381000.0,209512000.0,57790000.0,41801000.0,178511000.0,391975000.0,391975000.0,93916000.0,-5700000.0,-1900000.0,-12500000.0,4900000.0,9305851.0,24837892.0,5830773.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-174477000.0,-206973000.0,-52737000.0,-264233000.0,-126842000.0,31000000.0,-936674000.0,-1403181000.0,-850518000.0,-191490000.0,-122573437.0,-245466077.0,0.0,0.0,0.0
,acquisitionsNet,0.0,0.0,0.0,-23000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,netCashUsedForInvestingActivites,-174477000.0,-206973000.0,-52737000.0,-159923000.0,31333000.0,-703418000.0,-703418000.0,-1158234000.0,-935101000.0,-90155000.0,-122573437.0,-245594809.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-924722000.0,-343351000.0,-865594000.0,-546296000.0,-753431000.0,-226260000.0,0.0,-74674000.0,0.0,0.0,0.0,0.0,-3600000.0,-3600000.0,-3600000.0
,commonStockIssued,2601000.0,50000000.0,0.0,0.0,0.0,0.0,0.0,0.0,983537000.0,0.0,104985555000000.0,207936272000000.0,0.0,0.0,0.0
,commonStockRepurchased,-13115000.0,49666000.0,296687000.0,248949000.0,-16529000.0,0.0,76165000.0,-276336000.0,947800000.0,150600000.0,102100000.0,205300000.0,-207990.0,0.0,0.0
,dividendsPaid,-23302000.0,-21278000.0,-15127000.0,-9561000.0,-86923000.0,0.0,-87056000.0,-70495000.0,-24400000.0,0.0,0.0,0.0,-8661000.0,-18784000.0,-7093500.0
,otherFinancingActivites,-6548000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,netCashUsedProvidedByFinancingActivities,-259696000.0,-393888000.0,402137000.0,204697000.0,-310927000.0,0.0,396270000.0,1101616000.0,932436000.0,142415000.0,103670788.0,308430737.0,-12468990.0,-22384000.0,-10693500.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,-14792000.0,-391349000.0,407190000.0,86575000.0,-101083000.0,0.0,84827000.0,37298000.0,-8300000.0,50300000.0,-31400000.0,67700000.0,-3163139.0,2453892.0,-4862727.0
