Date,2015-12-31,2014-12,2013-12,2012-12,2011-12,2010-12
Depreciation & Amortization,0.0,1000000.0,1000000.0,1000000.0,000000.0,000000.0
Stock-based compensation,101442.0,,,,,
Operating Cash Flow,0.0,-5000000.0,-8000000.0,162000000.0,000000.0,000000.0
Capital Expenditure,0.0,-1000000.0,-1000000.0,000000.0,000000.0,000000.0
Acquisitions and disposals,-0.0,,,,,
Investment purchases and sales,0.0,-2000000,1000000,-4000000,0,0
Investing Cash flow,5875596.0,-4000000.0,-0000000.0,-5000000.0,000000.0,000000.0
Issuance (repayment) of debt,-0.0,000000.0,-5000000.0,-16000000.0,000000.0,000000.0
Issuance (buybacks) of shares,-5875596.0,,,,,
Dividend payments,-0.0,,,,,
Financing Cash Flow,0.0,000000.0,-73000000.0,-73000000.0,000000.0,000000.0
Effect of forex changes on cash,0.0,,,,,
Net cash flow / Change in cash,5875596.0,-9000000.0,-81000000.0,84000000.0,000000.0,000000.0
Free Cash Flow,0.0,-7000000.0,-9000000.0,162000000.0,000000.0,000000.0
Net Cash/Marketcap,0.0,,,,,
