date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,467505000.0,620363000.0,158995000.0,493651000.0,181003000.0
,depreciationAndAmortization,52551000.0,53160000.0,52049000.0,53937000.0,45278000.0
,deferredIncomeTax,58910000.0,78385000.0,-22599000.0,-148777000.0,89086000.0
,stockBasedCompensation,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,186244000.0,0.0,0.0,0.0,0.0
,accountsReceivables,-12577000.0,19425000.0,-40246000.0,-36325000.0,481000.0
,inventory,0.0,0.0,0.0,0.0,0.0
,accountsPayables,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,186244000.0,0.0,0.0,0.0,0.0
,otherNonCashItems,-432747000.0,-245496000.0,307065000.0,97114000.0,86210000.0
,netCashProvidedByOperatingActivites,332463000.0,506412000.0,495510000.0,495925000.0,401577000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-39863000.0,-21402000.0,-17670000.0,-24395000.0,-47301000.0
,acquisitionsNet,-351286000.0,-262569000.0,-151261000.0,-27869000.0,-135208000.0
,purchasesOfInvestments,-2820272000.0,-2105822000.0,-1721278000.0,-2574689000.0,-907152000.0
,salesMaturitiesOfInvestments,2858829000.0,1648064000.0,1334720000.0,1692541000.0,1274467000.0
,otherInvestingActivites,-92731000.0,218006000.0,-329272000.0,-210401000.0,-740054000.0
,netCashUsedForInvestingActivites,-445323000.0,-523723000.0,-884761000.0,-1144813000.0,-555248000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-254294000.0,0.0,0.0,0.0,0.0
,commonStockIssued,0.0,0.0,0.0,0.0,0.0
,commonStockRepurchased,0.0,0.0,0.0,0.0,0.0
,dividendsPaid,-88190000.0,-88243000.0,-88228000.0,-88335000.0,-87741000.0
,otherFinancingActivites,343290000.0,289391000.0,369806000.0,823722000.0,219820000.0
,netCashUsedProvidedByFinancingActivities,806000.0,201148000.0,281578000.0,735387000.0,132079000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,-112054000.0,183837000.0,-107673000.0,86499000.0,-21592000.0
,cashAtEndOfPeriod,339947000.0,452001000.0,268164000.0,375837000.0,289338000.0
,cashAtBeginningOfPeriod,452001000.0,268164000.0,375837000.0,289338000.0,310930000.0
,operatingCashFlow,332463000.0,506412000.0,495510000.0,495925000.0,401577000.0
,capitalExpenditure,-39863000.0,-21402000.0,-17670000.0,-24395000.0,-47301000.0
,freeCashFlow,292600000.0,485010000.0,477840000.0,471530000.0,354276000.0
