date,,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY,1992-12-31_FY,1991-12-31_FY,1990-12-31_FY,1989-12-31_FY,1988-12-31_FY,1987-12-31_FY,1986-12-31_FY
,revenue,22401000000.0,23443000000.0,17656000000.0,17470000000.0,17900000000.0,18031000000.0,18095000000.0,18376000000.0,15351000000.0,7041534000.0,4974239000.0,2599747000.0,2656241000.0,2447730000.0,2479252000.0,2407372000.0,2380745000.0,1971996000.0,2117469000.0,1845926000.0,1676700000.0,1499300000.0,901500000.0,749700000.0,644800000.0,540200000.0,433200000.0,356800000.0,281000000.0,248800000.0,213200000.0,184000000.0,156900000.0,147600000.0
,costOfRevenue,10077000000.0,10862000000.0,8203000000.0,7774000000.0,7778000000.0,7846000000.0,7507000000.0,7639000000.0,6325000000.0,2410048000.0,1752087000.0,955473000.0,937375000.0,888414000.0,821929000.0,755413000.0,1159708000.0,973689000.0,1086166000.0,932457000.0,819800000.0,768700000.0,474300000.0,394400000.0,328200000.0,267200000.0,222200000.0,176400000.0,148600000.0,135600000.0,116100000.0,97900000.0,60500000.0,57200000.0
,grossProfit,12324000000.0,12581000000.0,9453000000.0,9696000000.0,10122000000.0,10185000000.0,10588000000.0,10737000000.0,9026000000.0,4631486000.0,3222152000.0,1644274000.0,1718866000.0,1559316000.0,1657323000.0,1651959000.0,1221037000.0,998307000.0,1031303000.0,913469000.0,856900000.0,730600000.0,427200000.0,355300000.0,316600000.0,273000000.0,211000000.0,180400000.0,132400000.0,113200000.0,97100000.0,86100000.0,96400000.0,90400000.0
,grossProfitRatio,0.550154010981653,0.536663396322996,0.53539873130947,0.555008586147682,0.565474860335196,0.564860517996783,0.585134014921249,0.584294732259469,0.58797472477363,0.657738214428845,0.64776782941069,0.632474621568945,0.647104686660585,0.637045752595262,0.668477024521912,0.686208446388842,0.512880211866454,0.506241899070789,0.487045146823873,0.494856781907834,0.511063398341981,0.487294070566264,0.4738768718802,0.473922902494331,0.491004962779156,0.505368382080711,0.487072945521699,0.505605381165919,0.471174377224199,0.454983922829582,0.455440900562852,0.467934782608696,0.61440407903123,0.612466124661247
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,3715000000.0,4165000000.0,3508000000.0,3449000000.0,3328000000.0,3347000000.0,3502000000.0,3244000000.0,2975000000.0,1137989000.0,1014341000.0,399136000.0,389533000.0,370272000.0,388989000.0,397102000.0,0.0,11275000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,-19000000.0,44000000.0,12000000.0,7000000.0,23000000.0,11000000.0,59000000.0,35000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,8544000000.0,9285000000.0,7444000000.0,7365000000.0,7517000000.0,7775000000.0,8043000000.0,8024000000.0,7001000000.0,2571542000.0,1989051000.0,922922000.0,925788000.0,893778000.0,920920000.0,898006000.0,470641000.0,422901000.0,473384000.0,388056000.0,348800000.0,328600000.0,159500000.0,132000000.0,113800000.0,103600000.0,86200000.0,70800000.0,57300000.0,52100000.0,46500000.0,39700000.0,43900000.0,39600000.0
