Date,2019-04-30,2018-04-30,2017-04-30
Revenue,271653000.0,159935000.0,88177000.0
Revenue Growth,0.698521274267671,0.813794980550484,
Cost of Revenue,78010000.0,40740000.0,19845000.0
Gross Profit,193643000.0,119195000.0,68332000.0
R&D Expenses,101167000.0,55641000.0,32601000.0
SG&A Expense,193832000.0,111548000.0,82903000.0
Operating Expenses,294999000.0,167189000.0,115504000.0
Operating Income,-101356000.0,-47994000.0,-47172000.0
Interest Expense,0.0,0.0,0.0
Earnings before Tax,-97915000.0,-49351000.0,-47755000.0
Income Tax Expense,4388000.0,3376000.0,4213000.0
Net Income - Non-Controlling int,0.0,0.0,0.0
Net Income - Discontinued ops,0.0,0.0,0.0
Net Income,-102303000.0,-52727000.0,-51968000.0
Preferred Dividends,0.0,0.0,0.0
Net Income Com,-102303000.0,-52727000.0,-51968000.0
EPS,-1.86,-1.65,-1.71
EPS Diluted,-1.86,-1.65,-1.71
Weighted Average Shs Out,54893365.0,69493000.0,69493000.0
Weighted Average Shs Out (Dil),54893365.0,32033792.0,30359419.0
Dividend per Share,0.0,0.0,0.0
Gross Margin,0.712832179288,0.7453,0.7749
EBITDA Margin,-0.273462836781,-0.277,-0.506
EBIT Margin,-0.37310834042,-0.3086,-0.5416
Profit Margin,-0.376594405363,-0.33,-0.589
Free Cash Flow margin,-0.100805071175,-0.1487,-0.1922
EBITDA,-74287000.0,-44285000.0,-44605000.0
EBIT,-101356000.0,-49351000.0,-47755000.0
Consolidated Income,-102303000.0,-52727000.0,-51968000.0
Earnings Before Tax Margin,-0.360441445521,-0.3086,-0.5416
Net Profit Margin,-0.376594405363,-0.3297,-0.5894
