date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY
,revenue,318790000.0,245862054.0,193237462.0,156379210.0,133053517.0,116186372.0,86764112.0,63150776.0,43519461.0
,costOfRevenue,185880000.0,131664713.0,103247223.0,83963292.0,72682634.0,61537230.0,44545637.0,35957835.0,22881333.0
,grossProfit,132910000.0,114197341.0,89990239.0,72415918.0,60370883.0,54649142.0,42218475.0,27192941.0,20638128.0
,grossProfitRatio,0.416920229618244,0.464477291806893,0.465697686507599,0.463078934853297,0.453733838542577,0.47035759064755,0.486589144138305,0.430603433915048,0.474227564537162
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,134908000.0,114450263.0,94875776.0,75167168.0,62585833.0,58296814.0,48636167.0,0.0,0.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,87000.0,5079.0,-102337.0,-525404.0,-181850.0,448943.0,-328793.0,-537812.0,-343212.0
,operatingExpenses,134908000.0,114450263.0,94875776.0,75167168.0,62585833.0,58296814.0,48636167.0,0.0,0.0
,costAndExpenses,320788000.0,246114976.0,198122999.0,159130460.0,135268467.0,119834044.0,93181804.0,75531452.0,58266652.0
,interestExpense,1212000.0,990741.0,296234.0,910492.0,698119.0,454567.0,30550779.0,8737142.0,3533319.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,21125000.0,15921695.0,14068037.0,12692355.0,9887168.0,7573535.0,6424813.0,5945077.0,4728005.0
,EBITDA,19127000.0,15668773.0,9182500.0,9941105.0,7672218.0,3925863.0,7121.0,-6435599.0,-10019186.0
,EBITDARatio,0.0599987452554974,0.063729936137278,0.0475192537976927,0.0635705027541704,0.0576626471286738,0.0337893587037901,8.20731041424132e-05,-0.101908470610084,-0.230223117882825
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,-1998000.0,-252922.0,-4885537.0,-2751250.0,-2214950.0,-3647672.0,-6417692.0,-12380676.0,-14747191.0
,operatingIncomeRatio,-0.00626744879073999,-0.00102871506963006,-0.02528255623643,-0.01759345120109,-0.0166470608965564,-0.0313950073249555,-0.0739671259471888,-0.196049467388968,-0.338864284187711
,totalOtherIncomeExpensesNet,87000.0,5079.0,-102337.0,-525404.0,-181850.0,448943.0,-328793.0,-537812.0,-343212.0
,incomeBeforeTax,-3123000.0,-1238584.0,-5284108.0,-4187146.0,-3094919.0,-3653296.0,-37297264.0,-21655630.0,-18623722.0
,incomeBeforeTaxRatio,-0.00979641770444493,-0.00503771924072513,-0.0273451531877396,-0.0267755924844485,-0.0232607079450594,-0.031443412313451,-0.429869713874326,-0.342919459928727,-0.427940088688139
,incomeTaxExpense,65000.0,144151.0,77096.0,75195.0,65754.0,57516.0,41753.0,31525.0,32776.0
,netIncome,-3188000.0,-1382735.0,-5361204.0,-4262341.0,-3160673.0,-3710812.0,-37339017.0,-21687155.0,-18656498.0
,netIncomeRatio,-0.0100003136861257,-0.00562402769156073,-0.0277441234453804,-0.0272564428481254,-0.0237549000677675,-0.0319384445535488,-0.430350938185133,-0.343418662028793,-0.428693223015791
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EPS,-0.0886784318393178,-0.04,-0.15,-0.12,-0.09,-0.11,-9.63,-1.08,-1.281893
,EPSDiluted,-0.0886784318393178,-0.04,-0.15,-0.12,-0.09,-0.11,-9.63,-1.08,-1.281893
,weightedAverageShsOut,40560104.0,35950117.0,35329170.0,34487239.0,33674416.0,33734655.0,13632042.0,19210610.0,20758325.0
,weightedAverageShsOutDil,40560104.0,35950117.0,35329170.0,34487239.0,33674416.0,33734655.0,13632042.0,19210610.0,20758325.0
