date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,41400000.0,41400000.0,1200000.0,-83500000.0,19900000.0,-15400000.0,-7800000.0,-5300000.0,-20300000.0,1500000.0,3500000.0,6100000.0
,depreciationAndAmortization,449400000.0,417700000.0,334100000.0,258900000.0,183900000.0,141500000.0,118000000.0,95200000.0,73400000.0,55500000.0,36200000.0,18000000.0
,deferredIncomeTax,-6900000.0,-7500000.0,0.0,0.0,0.0,0.0,0.0,900000.0,-4500000.0,1600000.0,2400000.0,3900000.0
,stockBasedCompensation,18400000.0,16700000.0,17500000.0,14700000.0,12300000.0,14400000.0,10300000.0,6000000.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-33600000.0,231100000.0,-184200000.0,116400000.0,-84500000.0,-65700000.0,-94300000.0,89500000.0,47400000.0,-26600000.0,9600000.0,-4600000.0
,accountsReceivables,0.0,0.0,-80200000.0,-64300000.0,-51700000.0,-23900000.0,-37000000.0,-15000000.0,-31200000.0,0.0,-4300000.0,0.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,0.0,0.0,3000000.0,17000000.0,7000000.0,7000000.0,6900000.0,18400000.0,-600000.0,3500000.0,4200000.0,0.0
,otherWorkingCapital,-14600000.0,34100000.0,-197000000.0,-12800000.0,-129200000.0,-44700000.0,21000000.0,115300000.0,25800000.0,-21600000.0,5000000.0,-4600000.0
,otherNonCashItems,27300000.0,25500000.0,3400000.0,16500000.0,4800000.0,3400000.0,3400000.0,14800000.0,300000.0,0.0,700000.0,0.0
,netCashProvidedByOperatingActivites,456300000.0,365700000.0,309300000.0,289500000.0,180600000.0,140200000.0,111100000.0,79400000.0,44500000.0,66000000.0,43500000.0,24600000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-228600000.0,0.0,0.0,0.0,0.0
,acquisitionsNet,0.0,0.0,0.0,0.0,0.0,-390000000.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-6500000.0,-3800000.0,-12600000.0,-100000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,144100000.0,199000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,0.0,0.0,0.0,1500000.0,7300000.0,0.0,-216700000.0,-24300000.0,11700000.0,-11200000.0,500000.0
,netCashUsedForInvestingActivites,-772400000.0,-679900000.0,-1341100000.0,-1506800000.0,-729600000.0,-625600000.0,-284200000.0,-222500000.0,-252600000.0,-105800000.0,-40500000.0,-20200000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-2369600000.0,-1585400000.0,-1556900000.0,-1759600000.0,-470600000.0,-15900000.0,-184100000.0,-700000.0,-409000000.0,-23200000.0,-10200000.0,-5500000.0
,commonStockIssued,325700000.0,357200000.0,699600000.0,706000000.0,448700000.0,799500000.0,356000000.0,360500000.0,0.0,0.0,0.0,0.0
,commonStockRepurchased,0.0,0.0,0.0,0.0,0.0,-596400000.0,-355900000.0,360500000.0,0.0,0.0,0.0,0.0
,dividendsPaid,-236200000.0,-210400000.0,-181100000.0,-145700000.0,-114300000.0,-80800000.0,-50900000.0,-31000000.0,-5400000.0,-7800000.0,-3700000.0,-1000000.0
,otherFinancingActivites,-25100000.0,-90700000.0,-5200000.0,-56600000.0,-24500000.0,-7000000.0,-19300000.0,95800000.0,-17200000.0,-100000.0,300000.0,0.0
,netCashUsedProvidedByFinancingActivities,507200000.0,324800000.0,944700000.0,1354600000.0,549300000.0,463200000.0,60800000.0,275400000.0,224000000.0,35500000.0,1900000.0,-4400000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,4100000.0,2700000.0,-400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,195200000.0,13300000.0,-87500000.0,137300000.0,300000.0,-22200000.0,-112300000.0,132300000.0,15900000.0,-4300000.0,0.0,0.0
,cashAtEndOfPeriod,272900000.0,77700000.0,64400000.0,151900000.0,14600000.0,14300000.0,36500000.0,148800000.0,16500000.0,600000.0,4900000.0,0.0
,cashAtBeginningOfPeriod,77700000.0,64400000.0,151900000.0,14600000.0,14300000.0,36500000.0,148800000.0,16500000.0,600000.0,4900000.0,0.0,0.0
,operatingCashFlow,456300000.0,365700000.0,309300000.0,289500000.0,180600000.0,140200000.0,111100000.0,79400000.0,44500000.0,66000000.0,43500000.0,24600000.0
,capitalExpenditure,0.0,-875100000.0,-865700000.0,-1406800000.0,-731100000.0,-234500000.0,-284200000.0,-228600000.0,-228300000.0,-117500000.0,-29300000.0,-20700000.0
,freeCashFlow,456300000.0,365700000.0,309300000.0,-1117300000.0,-550500000.0,-94300000.0,-173100000.0,-149200000.0,-183800000.0,-51500000.0,14200000.0,3900000.0
