date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,5640000.0,-2030000.0,163000.0,2239000.0,-4910000.0,-6461000.0,208000.0,-2635000.0,-2051000.0,-1526000.0,734000.0,213000.0,-576000.0,-1078000.0,-2000000.0,-2329000.0,822000.0,758000.0,-2483000.0,-3369000.0,-6099000.0,-7217000.0,-35215000.0,-9914000.0
,depreciationAndAmortization,2289000.0,1223000.0,799000.0,638000.0,554000.0,651000.0,690000.0,752000.0,897000.0,951000.0,962000.0,1176000.0,1154000.0,1406000.0,1696000.0,1561000.0,1172000.0,2072000.0,2388000.0,1710000.0,1950000.0,2437000.0,7111000.0,5855000.0
,deferredIncomeTax,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34000.0
,stockBasedCompensation,1436000.0,1148000.0,898000.0,559000.0,111000.0,0.0,0.0,0.0,0.0,0.0,31000.0,62000.0,131000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-5753000.0,-3567000.0,-5388000.0,-2013000.0,-1830000.0,-243000.0,-797000.0,2769000.0,-271000.0,-1399000.0,-4263000.0,-1635000.0,-1729000.0,-685000.0,776000.0,-4341000.0,-987000.0,-686000.0,-650000.0,512000.0,-513000.0,-2435000.0,22067000.0,9431000.0
,accountsReceivables,-330000.0,-383000.0,-6096000.0,-2280000.0,-1360000.0,-583000.0,1435000.0,491000.0,1539000.0,2115000.0,-4777000.0,-1271000.0,1252000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,-12820000.0,-6613000.0,-3865000.0,-890000.0,-1503000.0,-487000.0,111000.0,449000.0,325000.0,-2069000.0,-501000.0,-1315000.0,-2214000.0,104000.0,-526000.0,200000.0,-951000.0,204000.0,539000.0,7000.0,-658000.0,878000.0,7974000.0,-774000.0
,accountsPayables,1872000.0,1439000.0,2610000.0,303000.0,592000.0,584000.0,-1594000.0,981000.0,-463000.0,-697000.0,840000.0,-170000.0,787000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,-13000.0,-85000.0,366000.0,0.0,403000.0,0.0,0.0,15000.0,142000.0,1224000.0,-1659000.0,854000.0,-1554000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherNonCashItems,-25000.0,74000.0,-47000.0,93000.0,37000.0,2737000.0,28000.0,554000.0,677000.0,0.0,587000.0,14000.0,703000.0,177000.0,221000.0,0.0,0.0,0.0,0.0,0.0,0.0,306000.0,-1115000.0,0.0
,netCashProvidedByOperatingActivites,3614000.0,-3461000.0,-3858000.0,1722000.0,-4919000.0,-2765000.0,122000.0,1432000.0,-752000.0,-1754000.0,-1864000.0,322000.0,-316000.0,-118000.0,717000.0,-5126000.0,997000.0,1021000.0,-425000.0,-901000.0,-4148000.0,-3510000.0,-3499000.0,5326000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-4947000.0,-4551000.0,-1207000.0,-1777000.0,-411000.0,-374000.0,-328000.0,-370000.0,-688000.0,-218000.0,-603000.0,-261000.0,-498000.0,-353000.0,-236000.0,-411000.0,-349000.0,-49000.0,-85000.0,-236000.0,-1020000.0,-1231000.0,-32000.0,-2259000.0
,acquisitionsNet,0.0,-1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15000.0,-1002000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,17000.0,-56000.0,5000.0,-34000.0,367000.0,-4000.0,394000.0,285000.0,469000.0,365000.0,-1424000.0,24000.0,-194000.0,127000.0,307000.0,27000.0,-23000.0,-1000.0,-50000.0,-127000.0,-243000.0,-308000.0,-243000.0,-7251000.0
,netCashUsedForInvestingActivites,-4930000.0,-5133000.0,-948000.0,-1811000.0,-44000.0,-378000.0,66000.0,-85000.0,-219000.0,147000.0,-2027000.0,-330000.0,-927000.0,-226000.0,71000.0,-750000.0,-1374000.0,-50000.0,-41000.0,-363000.0,-1263000.0,-1539000.0,-275000.0,-8590000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,0.0,0.0,0.0,-575000.0,-4829000.0,-5030000.0,-1528000.0,-1285000.0,-2990000.0,0.0,0.0,-162000.0,-490000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,commonStockIssued,23534000.0,1500000.0,12252000.0,9726000.0,5796000.0,7430000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28000.0,2832000.0,3352000.0,0.0,835000.0,0.0,5007000.0,6434000.0,0.0,1832000.0
,commonStockRepurchased,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
