date,,2020-09-30_FY,2019-09-30_FY,2018-09-30_FY,2017-09-30_FY,2016-09-30_FY,2015-09-30_FY,2014-09-30_FY,2013-09-30_FY,2012-09-30_FY,2011-09-30_FY,2010-09-30_FY,2009-09-30_FY,2008-09-30_FY,2007-09-30_FY,2006-09-30_FY,2005-09-30_FY,2004-09-30_FY,2003-09-30_FY,2002-09-30_FY,2001-09-30_FY,2000-09-30_FY,1999-09-30_FY,1998-09-30_FY,1997-09-30_FY,1996-09-30_FY,1995-09-30_FY,1994-09-30_FY,1993-09-30_FY,1992-09-30_FY,1991-09-30_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-22143000.0,29800000.0,56005800.0,40271085.0,32494507.0,25605815.0,19845294.0,21395246.0,18684495.0,15418198.0,11007515.0,1652901.0,11022895.0,10817638.0,6165588.0,9046822.0,7672635.0,6120343.0,4478145.0,4123054.0,3589397.0,3800000.0,2500000.0,1900000.0,1400000.0,1000000.0,1400000.0,1300000.0,1200000.0,1000000.0
,depreciationAndAmortization,51263000.0,47142000.0,39788010.0,32694009.0,27203918.0,23058744.0,18445326.0,15542937.0,13910385.0,12249416.0,11275679.0,10530768.0,10087318.0,7585304.0,5795924.0,5023730.0,4326026.0,3813932.0,3128420.0,2307806.0,1846142.0,1700000.0,1300000.0,1000000.0,900000.0,900000.0,800000.0,400000.0,200000.0,200000.0
,deferredIncomeTax,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,452000.0,784000.0,433895.0,624706.0,926465.0,448895.0,347002.0,329148.0,593811.0,163150.0,33860.0,77351.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-4934000.0,44114812.0,19993846.0,-25832100.0,103414902.0,-10717253.0,23391509.0,-24910572.0,34723605.0,5434184454.0,-5422749386.0,6891059586.0,8425893352.0,-11369379688.0,-1701250469.0,-2209628598.0,-700000.0,-700000.0,-100000.0,0.0,0.0,0.0,-100000.0,-100000.0,-200000.0,-500000.0,0.0,0.0,0.0,0.0
,accountsReceivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,1951000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,-2052000.0,209908000.0,165793188.0,145799342.0,171631442.0,68216540.0,78933793.0,55542284.0,80452856.0,45729251.0,-5388455203.0,34294183.0,-6856765403.0,-15282658755.0,-3913279067.0,-2212028598.0,-2400000.0,-1700000.0,-1000000.0,-900000.0,-900000.0,-900000.0,-900000.0,-800000.0,-700000.0,-500000.0,0.0,0.0,0.0,0.0
,otherNonCashItems,-1976000.0,-1926000.0,-1972588.0,-463842.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182197.0,79850.0,126325.0,90982.0,36350.0,6825.0,0.0,0.0,0.0,0.0,-100000.0,0.0,0.0,0.0,400000.0,0.0,0.0,-100000.0
,netCashProvidedByOperatingActivites,98829000.0,101622000.0,85529162.0,73867866.0,54699500.0,38062285.0,34774997.0,27095310.0,26808821.0,22126819.0,18995659.0,19591455.0,17438835.0,13224299.0,11991556.0,11429276.0,10385410.0,9725898.0,6792043.0,4785236.0,4583749.0,4500000.0,3400000.0,2600000.0,2200000.0,2300000.0,1300000.0,900000.0,1500000.0,1100000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6029693.0,-1437395.0,-885829.0,-8237478.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,acquisitionsNet,0.0,-6000000.0,0.0,0.0,-2000000.0,-4000000.0,-3000000.0,-2000000.0,-2000000.0,-2000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,-55010000.0,-64979698.0,-71494810.0,-19055956.0,-16188760.0,-27840200.0,-13504751.0,-32718667.0,-20347387.0,-19001455.0,-5890534.0,-17897269.0,-5250641.0,-552290.0,-2290363.0,-8033630.0,-16286262.0,-5706901.0,-828963.0,-5690807.0,-11000000.0,-800000.0,-2800000.0,-500000.0,0.0,0.0,0.0,-100000.0,-600000.0
,salesMaturitiesOfInvestments,251000.0,0.0,2620166.0,17274946.0,22774768.0,16201480.0,14279391.0,33476767.0,24358392.0,16090362.0,13236770.0,2406354.0,962822.0,4225963.0,3999595.0,14060356.0,10973706.0,8092425.0,4643905.0,7497270.0,1406805.0,0.0,1800000.0,600000.0,200000.0,100000.0,500000.0,1200000.0,600000.0,0.0
,otherInvestingActivites,0.0,0.0,0.0,0.0,0.0,0.0,15329.0,22041.0,0.0,-5711202.0,-49174130.0,0.0,76843.0,10188.0,-359636.0,-31188507.0,0.0,0.0,2019270.0,25000.0,125135.0,100000.0,0.0,-1000000.0,100000.0,0.0,3500000.0,6500000.0,-1400000.0,700000.0
,netCashUsedForInvestingActivites,-180676000.0,-214508000.0,-332513200.0,-339071013.0,-227845089.0,-194469735.0,-131794368.0,-59931043.0,-80640038.0,-30247168.0,-55701769.0,-11655914.0,-39831002.0,-25526868.0,-32691106.0,-19643014.0,-15215218.0,-35417062.0,-30564641.0,-32301411.0,-8283278.0,-24100000.0,-12000000.0,-12700000.0,-2800000.0,-3600000.0,-6100000.0,-5000000.0,-1100000.0,-100000.0
