date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,138417000.0,68996000.0,279082000.0,158383000.0,70276000.0,79413000.0,46952000.0,33715000.0,19513000.0,12842000.0,0.0
,depreciationAndAmortization,176737000.0,181549000.0,199080000.0,112970000.0,68472000.0,63079000.0,43332000.0,33281000.0,30263000.0,26591000.0,3100000.0
,deferredIncomeTax,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200000.0
,stockBasedCompensation,7907000.0,9819000.0,7648000.0,8359000.0,7496000.0,6123000.0,9851000.0,7819000.0,8279000.0,4600000.0,335000.0
,changeInWorkingCapital,-2740000.0,-47588000.0,-518268000.0,548569000.0,-210232000.0,10478000.0,159141000.0,182135000.0,-21965000.0,87194000.0,2600000.0
,accountsReceivables,-6398000.0,-9639000.0,-6753000.0,-16734000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3276000.0
,otherWorkingCapital,0.0,153864000.0,201452000.0,719720000.0,171151000.0,381383000.0,370905000.0,211764000.0,29629000.0,51594000.0,-35600000.0
,otherNonCashItems,1609000.0,-22160000.0,-36307000.0,-22859000.0,-17779000.0,-20708000.0,-17011000.0,-11150000.0,-1069000.0,10750000.0,600000.0
,netCashProvidedByOperatingActivites,354852000.0,372475000.0,358543000.0,133486000.0,176739000.0,121101000.0,85337000.0,62099000.0,56252000.0,44705000.0,6600000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-204500000.0,0.0
,acquisitionsNet,0.0,0.0,0.0,78000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,-5313000.0,-2749000.0,-7348000.0,-12804000.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,2442000.0,5302000.0,1058000.0,15191000.0,206287000.0,-38644000.0,-65300000.0,-165960000.0,-12180000.0,-86000.0,0.0
,netCashUsedForInvestingActivites,-136451000.0,262844000.0,-258494000.0,-240072000.0,142363000.0,-489226000.0,-826472000.0,-297509000.0,-218650000.0,-204586000.0,67100000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-3072000.0,-1472436000.0,-157338000.0,-4145000.0,-243768000.0,-3132000.0,-300360000.0,-225244000.0,-104726000.0,-3027000.0,0.0
,commonStockIssued,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163242000.0,0.0
,commonStockRepurchased,0.0,0.0,-143750000.0,0.0,-1289000.0,0.0,0.0,0.0,0.0,0.0,0.0
,dividendsPaid,-278299000.0,-335435000.0,-325220000.0,-182089000.0,-119264000.0,-109897000.0,-81489000.0,-58151000.0,-48929000.0,-31640000.0,0.0
,otherFinancingActivites,-830000.0,-26416000.0,-494000.0,-15749000.0,-5937000.0,-1273000.0,-19131000.0,-10254000.0,-6800000.0,-677000.0,0.0
,netCashUsedProvidedByFinancingActivities,-202109000.0,-646180000.0,-627301000.0,598817000.0,-300898000.0,314078000.0,798620000.0,222617000.0,137249000.0,127898000.0,500000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,88000.0,346000.0,-539000.0,738000.0,25000.0,-312000.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,16380000.0,-10515000.0,-527791000.0,492969000.0,18229000.0,-54359000.0,57485000.0,-12793000.0,-25149000.0,-31983000.0,74200000.0
,cashAtEndOfPeriod,65523000.0,49143000.0,59658000.0,518632000.0,25663000.0,7434000.0,61793000.0,4308000.0,17101000.0,42250000.0,74200000.0
,cashAtBeginningOfPeriod,49143000.0,59658000.0,587449000.0,25663000.0,7434000.0,61793000.0,4308000.0,17101000.0,42250000.0,74233000.0,0.0
,operatingCashFlow,354852000.0,372475000.0,358543000.0,133486000.0,176739000.0,121101000.0,85337000.0,62099000.0,56252000.0,44705000.0,6600000.0
,capitalExpenditure,0.0,252463000.0,93352000.0,-334128000.0,-56576000.0,-437778000.0,-745686000.0,-124511000.0,-206470000.0,-204500000.0,0.0
,freeCashFlow,354852000.0,372475000.0,358543000.0,133486000.0,176739000.0,121101000.0,85337000.0,62099000.0,56252000.0,-159795000.0,6600000.0
