date,,2020-09-30_FY,2019-09-30_FY,2018-09-30_FY,2017-09-30_FY,2016-09-30_FY,2015-09-30_FY,2014-09-30_FY,2013-09-30_FY,2012-09-30_FY,2011-09-30_FY,2010-09-30_FY,2009-09-30_FY,2008-09-30_FY,2007-09-30_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,83317000.0,80237000.0,85407000.0,88877000.0,80553000.0,72591000.0,65891000.0,55959000.0,11479000.0,9340000.0,11338000.0,14395000.0,54490000.0,25611000.0
,depreciationAndAmortization,32820000.0,22950000.0,25187000.0,20885000.0,19369000.0,17453000.0,13285000.0,21315000.0,22767000.0,19404000.0,18465000.0,18504000.0,8846000.0,6878000.0
,deferredIncomeTax,21802000.0,21936000.0,3949000.0,3548000.0,11099000.0,9185000.0,9659000.0,6486000.0,-19270000.0,-8243000.0,-10542000.0,-15510000.0,1106000.0,-22966000.0
,stockBasedCompensation,12117000.0,11780000.0,11356000.0,11252000.0,13436000.0,13980000.0,12157000.0,11356000.0,11115000.0,10138000.0,13141000.0,13169000.0,0.0,0.0
,changeInWorkingCapital,663000.0,3629000.0,3323000.0,37053000.0,76412000.0,-26295000.0,-105084000.0,-23226000.0,13945000.0,-447457000.0,440469000.0,177698000.0,-696022000.0,206430000.0
,accountsReceivables,-17970000.0,-13202000.0,-6812000.0,-1383000.0,-13087000.0,-2173000.0,-2392000.0,16908000.0,10180000.0,18732000.0,0.0,0.0,0.0,0.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,-6289000.0,272540000.0,268911000.0,265588000.0,228535000.0,152123000.0,178418000.0,283502000.0,306728000.0,292783000.0,740240000.0,299771000.0,122073000.0,818095000.0
,otherNonCashItems,1187000.0,-2359000.0,748000.0,4225000.0,-3926000.0,4062000.0,2201000.0,8260000.0,19603000.0,821000.0,2380000.0,1352000.0,34977000.0,56996000.0
,netCashProvidedByOperatingActivites,121798000.0,103001000.0,146991000.0,108693000.0,84914000.0,102102000.0,103508000.0,140810000.0,155626000.0,135568000.0,116524000.0,272017000.0,29003000.0,273441000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-3207000.0,-3778000.0,-8373000.0,-4150000.0,-9125000.0,-5522000.0,-2816000.0,-2819000.0,-7332000.0,-2616000.0,-4397000.0,-4244000.0,0.0,0.0
,acquisitionsNet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-171464000.0,-158012000.0,-151600000.0,-183518000.0,-95176000.0,-171125000.0,-250832000.0,-276454000.0,-227997000.0,-14715000.0,-390403000.0,-36757000.0,-231277000.0,-848683000.0
,salesMaturitiesOfInvestments,268565000.0,152560000.0,139846000.0,153315000.0,154520000.0,153945000.0,157389000.0,206388000.0,214122000.0,274074000.0,318710000.0,283943000.0,263441000.0,150012000.0
,otherInvestingActivites,-30335000.0,-7578000.0,-3554000.0,-19345000.0,201000.0,-28275000.0,-4766000.0,-116000.0,8000.0,-1093000.0,128000.0,399000.0,-1182124000.0,-613127000.0
,netCashUsedForInvestingActivites,147576000.0,-341982000.0,-474855000.0,-754809000.0,-454377000.0,-600388000.0,-668647000.0,145188000.0,-741363000.0,-392397000.0,-125866000.0,118968000.0,-1155128000.0,-1303380000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-350110000.0,-420709000.0,-281809000.0,-208100000.0,-186349000.0,-15136000.0,-51048000.0,-10342000.0,-3000000.0,-15000000.0,0.0,-497870000.0,0.0,-25000000.0
,commonStockIssued,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,commonStockRepurchased,-413000.0,-10625000.0,-21513000.0,-56533000.0,-136058000.0,-176657000.0,-101363000.0,0.0,0.0,0.0,-1810000.0,-103144000.0,0.0,0.0
,dividendsPaid,-55465000.0,-50465000.0,-37629000.0,-27709000.0,-23414000.0,-19490000.0,-4886000.0,0.0,0.0,0.0,-15561000.0,-19677000.0,-13803000.0,0.0
,otherFinancingActivites,-66633000.0,-150644000.0,-1717000.0,-5502000.0,9127000.0,6431000.0,-16106000.0,-48270000.0,-14691000.0,-125732000.0,181972000.0,24968000.0,10725000.0,-101330000.0
,netCashUsedProvidedByFinancingActivities,-46484000.0,244349000.0,329421000.0,683095000.0,445333000.0,472252000.0,460546000.0,-308264000.0,599153000.0,-192065000.0,446036000.0,-216318000.0,428789000.0,1606727000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,222890000.0,5368000.0,1557000.0,36979000.0,75870000.0,-26034000.0,-104593000.0,-22266000.0,13416000.0,-448894000.0,436694000.0,174667000.0,-697336000.0,576788000.0
,cashAtEndOfPeriod,498033000.0,275143000.0,269775000.0,268218000.0,231239000.0,155369000.0,181403000.0,285996000.0,308262000.0,294846000.0,743740000.0,307046000.0,132379000.0,829715000.0
