date,,2020-05-31_FY,2019-05-31_FY,2018-05-31_FY,2017-05-31_FY,2016-05-31_FY,2016-05-30_FY,2015-05-31_FY,2014-05-31_FY,2013-05-31_FY,2012-05-31_FY,2011-05-31_FY,2010-05-31_FY,2009-05-31_FY,2008-05-31_FY,2007-05-31_FY,2006-05-31_FY,2005-05-31_FY,2004-05-31_FY,2003-05-31_FY,2002-05-31_FY,2001-05-31_FY,2000-05-31_FY,1999-05-31_FY,1998-05-31_FY,1997-05-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-2802000.0,-5235000.0,528000.0,-5653000.0,-6785000.0,-6785000.0,-6647000.0,422000.0,-3419000.0,-3389000.0,-3373000.0,-481000.0,-29971000.0,10573000.0,2428000.0,810000.0,-4870000.0,-3959000.0,-4544000.0,-5267000.0,-141000.0,-2605000.0,-2330000.0,2405000.0,3300000.0
,depreciationAndAmortization,384000.0,431000.0,417000.0,271000.0,203000.0,380000.0,135000.0,141000.0,322000.0,491000.0,573000.0,690000.0,644000.0,474000.0,323000.0,340000.0,323000.0,384000.0,582000.0,662000.0,651000.0,703000.0,453000.0,479000.0,600000.0
,deferredIncomeTax,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,4943000.0,-4943000.0,0.0,0.0,0.0,0.0,0.0,1613000.0,0.0,0.0,-456000.0,-102000.0,-1000000.0
,stockBasedCompensation,910000.0,905000.0,996000.0,999000.0,1016000.0,1016000.0,997000.0,829000.0,601000.0,709000.0,947000.0,1733000.0,1270000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-561000.0,-1735000.0,-3234000.0,-313000.0,-881000.0,-881000.0,3258000.0,-1973000.0,2186000.0,-1713000.0,-2305000.0,945000.0,-1857000.0,-3470000.0,-4618000.0,277000.0,1778000.0,2615000.0,-233000.0,-2800000.0,-1648000.0,-616000.0,-5869000.0,28985000.0,0.0
,accountsReceivables,1161000.0,-2043000.0,1260000.0,-3507000.0,887000.0,-887000.0,1774000.0,-720000.0,-206000.0,-1285000.0,-501000.0,267000.0,-3612000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,1164000.0,-112000.0,-2073000.0,430000.0,70000.0,-70000.0,-1008000.0,-740000.0,702000.0,-1114000.0,-1322000.0,837000.0,5721000.0,-492000.0,-2454000.0,-37000.0,849000.0,1278000.0,-64000.0,1497000.0,1090000.0,-1891000.0,2740000.0,-1627000.0,-2900000.0
,accountsPayables,-1024000.0,210000.0,-1095000.0,1686000.0,564000.0,564000.0,-850000.0,707000.0,243000.0,570000.0,-353000.0,-446000.0,-1986000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,13786000.0,14522000.0,18308000.0,21494000.0,4068000.0,4068000.0,7776000.0,6556000.0,4821000.0,6073000.0,8031000.0,9827000.0,7299000.0,33362000.0,20370000.0,17323000.0,15342000.0,18944000.0,21974000.0,25952000.0,28752000.0,30400000.0,31016000.0,36885000.0,7900000.0
,otherNonCashItems,0.0,0.0,0.0,148000.0,177000.0,0.0,31000.0,0.0,0.0,-3389000.0,-3373000.0,59000.0,13655000.0,987000.0,717000.0,-9000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0
,netCashProvidedByOperatingActivites,-2024000.0,-5637000.0,-1351000.0,-4495000.0,-6281000.0,-6281000.0,-2256000.0,-607000.0,-310000.0,-4875000.0,-4142000.0,3247000.0,-11036000.0,3624000.0,-1109000.0,1501000.0,-2543000.0,-800000.0,-3815000.0,-226000.0,1011000.0,-5956000.0,342000.0,-664000.0,3000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-163000.0,-173000.0,-572000.0,-477000.0,-919000.0,-919000.0,-118000.0,-339000.0,-127000.0,-45000.0,-15000.0,-69000.0,-1113000.0,-1056000.0,-1103000.0,-149000.0,-296000.0,-159000.0,-261000.0,-954000.0,-122000.0,-1357000.0,-755000.0,-315000.0,-600000.0
,acquisitionsNet,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-500000.0,-14206000.0,-11900000.0,-17286000.0,-4164000.0,-607000.0,-4239000.0,-1655000.0,0.0,-2392000.0,-16227000.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1375000.0,0.0,0.0,0.0,3488000.0,12820000.0,14532000.0,20850000.0,0.0,5574000.0,2250000.0,3601000.0,10185000.0,1732000.0,0.0,0.0
,otherInvestingActivites,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5000.0,-4000.0,-5000.0,416000.0,-87000.0,-19000.0,-787000.0,-274000.0,9000.0,-213000.0,400000.0
,netCashUsedForInvestingActivites,-163000.0,-173000.0,-572000.0,-477000.0,-919000.0,-919000.0,-118000.0,-289000.0,-127000.0,1330000.0,-15000.0,-69000.0,-1113000.0,1932000.0,-2494000.0,2479000.0,3263000.0,-3907000.0,4619000.0,-2962000.0,1037000.0,8554000.0,-1406000.0,-16755000.0,-200000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,0.0,-6110000.0,0.0,0.0,-6000.0,-0.0,-777000.0,-324000.0,-307000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,commonStockIssued,0.0,559000.0,925000.0,21131000.0,512000.0,512000.0,2574000.0,715000.0,1138000.0,168000.0,343000.0,176000.0,503000.0,2343000.0,766000.0,514000.0,247000.0,960000.0,159000.0,395000.0,1272000.0,662000.0,483000.0,27409000.0,0.0
