date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY,1992-12-31_FY,1991-12-31_FY,1990-12-31_FY,1989-12-31_FY,1988-12-31_FY,1987-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,154905000.0,78615000.0,47523000.0,48659000.0,55478000.0,-6204000.0,29753000.0,63026000.0,109182000.0,2348000.0,-12582000.0,-50975000.0,-241860000.0,-40220000.0,43252000.0,88765000.0,82518000.0,123755000.0,94480000.0,48686000.0,606000.0,28422000.0,47038000.0,15288000.0,14437000.0,7007000.0,9700000.0,23700000.0,14600000.0,1700000.0,200000.0,100000.0,3700000.0,11700000.0
,depreciationAndAmortization,19216000.0,22526000.0,24932000.0,25878000.0,30044000.0,30298000.0,24226000.0,17920000.0,17783000.0,19542000.0,21422000.0,28064000.0,40959000.0,41125000.0,37747000.0,33954000.0,31025000.0,25240000.0,21383000.0,22648000.0,20951000.0,18100000.0,14600000.0,12100000.0,11000000.0,9900000.0,7800000.0,7100000.0,6600000.0,6300000.0,5800000.0,5900000.0,0.0,0.0
,deferredIncomeTax,-9747000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8175000.0,-4232000.0,-9158000.0,7391000.0,9375000.0,12775000.0,0.0,0.0,3524000.0,4142000.0,-1886000.0,596000.0,1344000.0,-1800000.0,-6500000.0,-6500000.0,-3700000.0,-1600000.0,-900000.0,0.0,0.0
,stockBasedCompensation,5751000.0,2097000.0,4809000.0,5303000.0,2982000.0,4445000.0,4020000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,489897000.0,-586892000.0,-33276000.0,11594000.0,5945000.0,565908000.0,2092000.0,-466446000.0,-52505000.0,15162000.0,-211586000.0,-104744000.0,40788000.0,-71961000.0,-16725000.0,60663000.0,17929000.0,109296000.0,72612000.0,64370000.0,8540000.0,1505000.0,34876000.0,17498000.0,-15669000.0,-148541000.0,295400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsReceivables,-6598000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13378000.0,-21050000.0,-23893000.0,-1354000.0,-9848000.0,-18785000.0,-1660000.0,576000.0,-900000.0,-14400000.0,-300000.0,-3600000.0,2000000.0,3300000.0,-4500000.0,-3200000.0,-600000.0,200000.0,-1300000.0,0.0,0.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20323000.0,-8244000.0,22077000.0,15954000.0,-3317000.0,30818000.0,18450000.0,-3138000.0,-1500000.0,17200000.0,1400000.0,3000000.0,-1800000.0,-10000000.0,4100000.0,3000000.0,4200000.0,-400000.0,-1500000.0,0.0,0.0
,otherWorkingCapital,105730000.0,-384167000.0,202725000.0,236001000.0,224407000.0,218462000.0,-347446000.0,-349538000.0,116908000.0,169413000.0,154251000.0,365837000.0,470581000.0,429793000.0,501754000.0,518479000.0,457816000.0,439887000.0,330591000.0,257979000.0,193609000.0,185069000.0,183564000.0,148688000.0,131190000.0,146859000.0,295400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherNonCashItems,34015000.0,-4480000.0,-9230000.0,12973000.0,9335000.0,-8250000.0,197000.0,-5909000.0,21581000.0,10428000.0,512000.0,36359000.0,75789000.0,7291000.0,41981000.0,1604000.0,-12157000.0,25051000.0,-5099000.0,-8211000.0,5831000.0,-323000.0,1563000.0,-3325000.0,-2441000.0,-2852000.0,25600000.0,31000000.0,22000000.0,7100000.0,7000000.0,12200000.0,0.0,0.0
,netCashProvidedByOperatingActivites,275806000.0,166359000.0,84177000.0,108068000.0,122962000.0,80514000.0,63989000.0,87187000.0,120522000.0,23409000.0,41194000.0,-16952000.0,-105158000.0,4578000.0,99731000.0,173508000.0,170410000.0,193940000.0,162551000.0,108186000.0,31913000.0,57875000.0,86467000.0,33828000.0,36750000.0,20568000.0,27900000.0,54500000.0,36300000.0,18600000.0,11000000.0,11700000.0,8900000.0,10800000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-14992000.0,-17075000.0,-10675000.0,-16396000.0,-18155000.0,-19658000.0,-19537000.0,-17282000.0,-16752000.0,-17704000.0,-16339000.0,-11032000.0,-17968000.0,-31383000.0,-42021000.0,-33931000.0,-32410000.0,-37236000.0,-30165000.0,-23452000.0,-19191000.0,-25307000.0,-20473000.0,-13209000.0,-12670000.0,-6700000.0,-12200000.0,-8700000.0,-7800000.0,-3900000.0,-4000000.0,-2100000.0,0.0,0.0
,acquisitionsNet,-199537000.0,0.0,-19000000.0,-17000000.0,1000000.0,-4000000.0,-40000000.0,-15000000.0,-1000000.0,-8000000.0,0.0,0.0,0.0,-8000000.0,-45000000.0,-18000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-118301000.0,-78128000.0,-43057000.0,-181956000.0,-148976000.0,-162361000.0,-224714000.0,-160500000.0,-207690000.0,-336118000.0,-303517000.0,-369366000.0,-811782000.0,-403147000.0,-407674000.0,-681680000.0,-473421000.0,-417587000.0,-200946000.0,-138787000.0,-91237000.0,-88456000.0,-106333000.0,-51198000.0,-105318000.0,-91466000.0,-145500000.0,-86300000.0,-50800000.0,-53800000.0,-17600000.0,-56600000.0,0.0,0.0
