Date,2018-12-31,2017-12-31
Revenue,94576000.0,81242000.0
Revenue Growth,0.164126929420743,
Cost of Revenue,0.0,0.0
Gross Profit,94576000.0,81242000.0
R&D Expenses,0.0,0.0
SG&A Expense,29110000.0,22359000.0
Operating Expenses,38575000.0,31192000.0
Operating Income,56001000.0,50050000.0
Interest Expense,0.0,0.0
Earnings before Tax,56001000.0,50050000.0
Income Tax Expense,14667000.0,18153000.0
Net Income - Non-Controlling int,0.0,0.0
Net Income - Discontinued ops,0.0,0.0
Net Income,41334000.0,31897000.0
Preferred Dividends,0.0,0.0
Net Income Com,41334000.0,31897000.0
EPS,1.71,1.34
EPS Diluted,1.69,1.32
Weighted Average Shs Out,25305378.0,
Weighted Average Shs Out (Dil),25305378.0,
Dividend per Share,0.0,0.0
Gross Margin,1.0,1.0
EBITDA Margin,0.602,0.623
EBIT Margin,0.5921,0.6161
Profit Margin,0.437,0.393
Free Cash Flow margin,-1.7317,1.7959
EBITDA,56900000.0,50643000.0
EBIT,56001000.0,50050000.0
Consolidated Income,41334000.0,31897000.0
Earnings Before Tax Margin,0.5921,0.6161
Net Profit Margin,0.437,0.3926
