Date,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12-31,2013-12,2012-12-31
Revenue,321716000.0,322000000.0,264455000.0,264000000.0,234298000.0,234000000.0,164010000.0,164000000.0,137759000.0,138000000.0,0.0
Revenue Growth,-0.000881987577639752,0.217598457204439,0.00172348484848485,0.12677018156365,0.00127350427350427,0.426742271812694,0.0000609756097560976,0.19048483220697,-0.0017463768115942,0.0,0.0
Cost of Revenue,63953000.0,64000000.0,53832000.0,54000000.0,47580000.0,48000000.0,36583000.0,37000000.0,29696000.0,30000000.0,0.0
Gross Profit,257763000.0,258000000.0,210623000.0,211000000.0,186718000.0,187000000.0,127427000.0,127000000.0,108063000.0,108000000.0,0.0
R&D Expenses,63452000.0,63000000.0,62402000.0,62000000.0,53376000.0,53000000.0,43052000.0,43000000.0,27556000.0,28000000.0,0.0
SG&A Expense,206613000.0,207000000.0,207725000.0,208000000.0,179732000.0,180000000.0,140881000.0,141000000.0,105936000.0,106000000.0,0.0
Operating Expenses,271446000.0,271000000.0,279653000.0,272000000.0,234516000.0,235000000.0,185202000.0,185000000.0,133492000.0,133000000.0,0.0
Operating Income,-13683000.0,-13000000.0,-69030000.0,-61000000.0,-47798000.0,-48000000.0,-57775000.0,-58000000.0,-25429000.0,-25000000.0,0.0
Interest Expense,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
Earnings before Tax,23330000.0,23000000.0,-69107000.0,-69000000.0,-48200000.0,-48000000.0,-57995000.0,-58000000.0,-25554000.0,-26000000.0,0.0
Income Tax Expense,461000.0,0000000.0,1172000.0,1000000.0,682000.0,1000000.0,1181000.0,1000000.0,777000.0,1000000.0,987000.0
Net Income - Non-Controlling int,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
Net Income - Discontinued ops,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
Net Income,22869000.0,23000000.0,-70279000.0,-70000000.0,-48882000.0,-49000000.0,-58963000.0,-59000000.0,-25178000.0,-25000000.0,0.0
Preferred Dividends,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
Net Income Com,22869000.0,23000000.0,-70279000.0,-70000000.0,-48882000.0,-49000000.0,-58963000.0,-59000000.0,-25178000.0,-25000000.0,0.0
EPS,0.68,0.68,-2.18,-2.18,-1.64,-1.64,-2.28,-2.28,-1.04,-1.04,0.0
EPS Diluted,0.67,0.67,-2.18,-2.18,-1.64,-1.64,-2.28,-2.28,-1.04,-1.04,0.0
Weighted Average Shs Out,33724000.0,34000000.0,32284000.0,32000000.0,29849000.0,30000000.0,25805632.0,26000000.0,24300198.0,24000000.0,0.0
Weighted Average Shs Out (Dil),34238000.0,34000000.0,32284000.0,32000000.0,29849000.0,30000000.0,25805632.0,26000000.0,24300198.0,24000000.0,0.0
Dividend per Share,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
Gross Margin,0.801212870979,0.80124223602484,0.79644173867,0.79924242424242,0.796925283186,0.7991452991453,0.776946527651,0.77439024390244,0.784435136724,0.78260869565217,0.0
EBITDA Margin,-0.00656479627995,-0.0031055900621118,-0.227388402564,-0.1969696969697,-0.178571733433,-0.17948717948718,-0.322712029754,-0.32317073170732,-0.170050595605,-0.16666666666667,0.0
EBIT Margin,-0.0425313008989,0.071428571428571,-0.261027395965,-0.26136363636364,-0.204005155827,-0.20512820512821,-0.352265105786,-0.35365853658537,-0.184590480477,-0.17391304347826,0.0
Profit Margin,0.0710844347188,0.071428571428571,-0.265750316689,-0.26515151515152,-0.208631742482,-0.20940170940171,-0.359508566551,-0.35975609756098,-0.182768457959,-0.18115942028986,0.0
Free Cash Flow margin,0.165462706238,,0.0215726683179,,0.0673800032437,,-0.00911529784769,,0.0522288924862,,0.0
EBITDA,-2112000.0,-1000000.0,-60134000.0,-52000000.0,-41839000.0,-42000000.0,-52928000.0,-53000000.0,-23426000.0,-23000000.0,0.0
EBIT,-13683000.0,23000000,-69030000.0,-69000000,-47798000.0,-48000000,-57775000.0,-58000000,-25429000.0,-24000000,0.0
Consolidated Income,22869000.0,23000000.0,-70279000.0,-70000000.0,-48882000.0,-49000000.0,-58963000.0,-59000000.0,-25178000.0,-25000000.0,0.0
Earnings Before Tax Margin,0.0725173755735,0.071428571428571,-0.261318560814,-0.26136363636364,-0.205720919513,-0.20512820512821,-0.353606487409,-0.35365853658537,-0.185497862209,-0.18840579710145,0.0
Net Profit Margin,0.0710844347188,0.071428571428571,-0.265750316689,-0.26515151515152,-0.208631742482,-0.20940170940171,-0.359508566551,-0.35975609756098,-0.182768457959,-0.18115942028986,0.0
