date,,2020-10-31_FY,2019-10-31_FY,2018-10-31_FY,2017-10-31_FY,2016-10-31_FY,2015-10-31_FY,2014-10-31_FY,2013-10-31_FY,2012-10-31_FY,2011-10-31_FY,2010-10-31_FY,2009-10-31_FY,2008-10-31_FY,2007-10-31_FY,2006-12-06_FY,2006-10-31_FY,2005-10-31_FY,2004-10-31_FY,2003-10-31_FY,2002-10-31_FY,2001-10-31_FY,2000-10-31_FY,1999-10-31_FY,1998-10-31_FY,1997-10-31_FY,1996-10-31_FY,1995-10-31_FY,1994-10-31_FY,1993-10-31_FY
,revenue,18662000000.0,18611000000.0,17834000000.0,16280000000.0,15035000000.0,13856000000.0,13376000000.0,12783000000.0,12549000000.0,12249000000.0,12085000000.0,9928000000.0,3714000000.0,12066000000.0,11332000000.0,11332000000.0,12473000000.0,11883000000.0,11576000000.0,11041000000.0,11162000000.0,12079000000.0,10136000000.0,9141000000.0,8497000000.0,7355000000.0,6285000000.0,6210000000.0,5611000000.0
,costOfRevenue,0.0,0.0,7440000000.0,4616000000.0,3726000000.0,3568000000.0,4018000000.0,4356000000.0,4581000000.0,3749000000.0,2891000000.0,3903000000.0,8956000000.0,11223000000.0,0.0,8834000000.0,6319000000.0,4822000000.0,5546000000.0,6014000000.0,10225000000.0,11045000000.0,9997000000.0,10663000000.0,8374000000.0,7928000000.0,6898000000.0,5004000000.0,5233000000.0
,grossProfit,0.0,18611000000.0,17834000000.0,16280000000.0,15035000000.0,13856000000.0,13376000000.0,12783000000.0,12549000000.0,12249000000.0,12085000000.0,9928000000.0,3714000000.0,12066000000.0,11332000000.0,11332000000.0,12473000000.0,11883000000.0,11576000000.0,11041000000.0,11162000000.0,12079000000.0,10136000000.0,9141000000.0,8497000000.0,7355000000.0,6285000000.0,6210000000.0,5611000000.0
,grossProfitRatio,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,6567000000.0,12142000000.0,11128000000.0,10400000000.0,10022000000.0,9632000000.0,9462000000.0,8735000000.0,8506000000.0,8191000000.0,8073000000.0,8309000000.0,7974000000.0,8215000000.0,0.0,8017000000.0,11546000000.0,8879000000.0,9271000000.0,10629000000.0,9326000000.0,9316000000.0,8748000000.0,7605000000.0,5982000000.0,5064000000.0,4624000000.0,4743000000.0,4427000000.0
,SellingAndMarketingExpenses,271000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,0.0,4649000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,15123000000.0,22288000000.0,18568000000.0,15016000000.0,13748000000.0,13200000000.0,13480000000.0,13091000000.0,13087000000.0,11940000000.0,10964000000.0,12212000000.0,16930000000.0,19438000000.0,14812000000.0,14812000000.0,17865000000.0,13701000000.0,14817000000.0,16643000000.0,19551000000.0,20361000000.0,18745000000.0,18268000000.0,14356000000.0,12992000000.0,11522000000.0,9747000000.0,9660000000.0
,costAndExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,interestExpense,6478000000.0,10146000000.0,7440000000.0,4616000000.0,3726000000.0,3568000000.0,4018000000.0,4356000000.0,4581000000.0,3749000000.0,2891000000.0,3903000000.0,8956000000.0,11223000000.0,0.0,8834000000.0,6319000000.0,4822000000.0,5546000000.0,6014000000.0,10225000000.0,11045000000.0,9997000000.0,10663000000.0,8374000000.0,7928000000.0,6898000000.0,5004000000.0,5233000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,1311000000.0,838000000.0,657000000.0,542000000.0,462000000.0,435000000.0,813000000.0,354000000.0,357000000.0,356000000.0,375000000.0,403000000.0,245000000.0,253000000.0,206000000.0,235000000.0,226000000.0,280000000.0,295000000.0,365000000.0,359000000.0,360000000.0,368000000.0,294000000.0,257000000.0,256000000.0,241000000.0,234000000.0,218000000.0
,EBITDA,0.0,7307000000.0,7363000000.0,6422000000.0,5475000000.0,4659000000.0,4727000000.0,4402000000.0,4400000000.0,4414000000.0,4387000000.0,2022000000.0,-4015000000.0,4104000000.0,3521000000.0,3550000000.0,1153000000.0,3284000000.0,2600000000.0,777000000.0,2195000000.0,3123000000.0,1756000000.0,1830000000.0,2772000000.0,2547000000.0,1902000000.0,1701000000.0,1402000000.0
