date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY,1992-12-31_FY,1991-12-31_FY,1990-12-31_FY,1989-12-31_FY,1988-12-31_FY,1987-12-31_FY,1986-12-31_FY,1985-12-31_FY
,revenue,3777000000.0,3610000000.0,3440000000.0,3357000000.0,3302000000.0,3159000000.0,3011328000.0,2901858000.0,2876889000.0,2666236000.0,2710606000.0,2440703000.0,2336928000.0,2214215000.0,2093067000.0,2136746000.0,1438887000.0,1350590000.0,1260857000.0,1017800000.0,954200000.0,894600000.0,802800000.0,770200000.0,717500000.0,657400000.0,633000000.0,570700000.0,527500000.0,511900000.0,483400000.0,466500000.0,429700000.0
,costOfRevenue,1622000000.0,1544000000.0,1479000000.0,1378000000.0,1504000000.0,1404000000.0,1349864000.0,1312724000.0,1350040000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,664549000.0,592634000.0,552963000.0,437100000.0,421600000.0,418200000.0,396700000.0,385000000.0,355800000.0,333200000.0,318300000.0,294700000.0,285600000.0,271600000.0,246500000.0,232700000.0,213000000.0
,grossProfit,2155000000.0,2066000000.0,1961000000.0,1979000000.0,1798000000.0,1755000000.0,1661464000.0,1589134000.0,1526849000.0,2666236000.0,2710606000.0,2440703000.0,0.0,0.0,0.0,0.0,774338000.0,757956000.0,707894000.0,580700000.0,532600000.0,476400000.0,406100000.0,385200000.0,361700000.0,324200000.0,314700000.0,276000000.0,241900000.0,240300000.0,236900000.0,233800000.0,216700000.0
,grossProfitRatio,0.570558644426794,0.572299168975069,0.570058139534884,0.589514447423295,0.544518473652332,0.555555555555556,0.55173797075576,0.547626382820937,0.530729200883315,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.538150667842576,0.561203622120703,0.56143876744151,0.570544311259579,0.558163906937749,0.53252850435949,0.505854509217738,0.500129836406128,0.50411149825784,0.493154852449042,0.497156398104265,0.483616611179254,0.458578199052133,0.469427622582536,0.490070335126189,0.50117899249732,0.504305329299511
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5980000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5400000.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,71000000.0,49000000.0,39000000.0,17000000.0,15000000.0,15000000.0,-3196000.0,-4045000.0,-926000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,907000000.0,862000000.0,822000000.0,751000000.0,728000000.0,683000000.0,660816000.0,642360000.0,602715000.0,1864093000.0,1962515000.0,1817094000.0,2530093000.0,2211279000.0,1839557000.0,0.0,982056000.0,894412000.0,841263000.0,659700000.0,622000000.0,602100000.0,559900000.0,538700000.0,498800000.0,122000000.0,110400000.0,99100000.0,86700000.0,80300000.0,77100000.0,73100000.0,73600000.0
,costAndExpenses,2529000000.0,2406000000.0,2301000000.0,2129000000.0,2232000000.0,2087000000.0,2010680000.0,1955084000.0,1952755000.0,1864093000.0,1962515000.0,1817094000.0,2530093000.0,2211279000.0,1839557000.0,0.0,1646605000.0,1487046000.0,1394226000.0,1096800000.0,1043600000.0,1020300000.0,956600000.0,923700000.0,854600000.0,455200000.0,428700000.0,393800000.0,372300000.0,351900000.0,323600000.0,305800000.0,286600000.0
,interestExpense,0.0,0.0,0.0,0.0,0.0,0.0,309259000.0,319917000.0,323446000.0,323357000.0,315043000.0,296545000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,604000000.0,582000000.0,545000000.0,492000000.0,470000000.0,440000000.0,424084000.0,407718000.0,381503000.0,351821000.0,354650000.0,294240000.0,0.0,0.0,0.0,0.0,187974000.0,176559000.0,165626000.0,129800000.0,112500000.0,101900000.0,87000000.0,80600000.0,75100000.0,58400000.0,52100000.0,47000000.0,39700000.0,35500000.0,35000000.0,32800000.0,29600000.0
,EBITDA,1852000000.0,1786000000.0,1684000000.0,1720000000.0,1540000000.0,1512000000.0,1424732000.0,1354492000.0,1305637000.0,1153964000.0,1102741000.0,917849000.0,113215000.0,261411000.0,516883000.0,2136746000.0,-19744000.0,40103000.0,32257000.0,50800000.0,23100000.0,-23800000.0,-66800000.0,-72900000.0,-62000000.0,260600000.0,256400000.0,223900000.0,194900000.0,195500000.0,194800000.0,193500000.0,172700000.0
