Date,2018-09-30,2017-09-30
Cash and cash equivalents,10900000.0,7800000.0
Short-term investments,0.0,0.0
Cash and short-term investments,10900000.0,7800000.0
Receivables,87200000.0,63000000.0
Inventories,61600000.0,85700000.0
Total current assets,163700000.0,165800000.0
Property Plant & Equipment Net,11900000.0,9900000.0
Goodwill and Intangible Assets,384600000.0,407400000.0
Long-term investments,0.0,0.0
Tax assets,0.0,0.0
Total non-current assets,396700000.0,417400000.0
Total assets,560400000.0,583200000.0
Payables,58700000.0,48400000.0
Short-term debt,0.0,0.0
Total current liabilities,94300000.0,76600000.0
Long-term debt,0.0,0.0
Total debt,0.0,0.0
Deferred revenue,0.0,0.0
Tax Liabilities,13600000.0,22200000.0
Deposit Liabilities,0.0,0.0
Total non-current liabilities,14400000.0,22200000.0
Total liabilities,108700000.0,98800000.0
Other comprehensive income,-1400000.0,-1000000.0
Retained earnings (deficit),,
Total shareholders equity,451700000.0,484400000.0
Investments,0.0,0.0
Net Debt,-10900000.0,-7800000.0
Other Assets,4000000.0,9300000.0
Other Liabilities,35600000.0,28200000.0
