date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY
,revenue,20908000000.0,20023000000.0,19636000000.0
,costOfRevenue,15669000000.0,14582000000.0,14244000000.0
,grossProfit,5239000000.0,5441000000.0,5392000000.0
,grossProfitRatio,0.25057394298833,0.271737501872846,0.274597677734773
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,498000000.0,508000000.0,539000000.0
,SellingAndMarketingExpenses,2813000000.0,2505000000.0,2337000000.0
,otherExpenses,-183000000.0,-56000000.0,-40000000.0
,operatingExpenses,0.0,3305000000.0,3126000000.0
,costAndExpenses,19217000000.0,17887000000.0,17370000000.0
,interestExpense,488000000.0,559000000.0,555000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,1989000000.0,1799000000.0,1592000000.0
,EBITDA,3680000000.0,3935000000.0,3858000000.0
,EBITDARatio,0.176009183087813,0.196523997402987,0.196475860664086
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,1691000000.0,2136000000.0,2266000000.0
,operatingIncomeRatio,0.0808781327721446,0.106677321080757,0.115400285190466
,totalOtherIncomeExpensesNet,-822000000.0,-274000000.0,-1852000000.0
,incomeBeforeTax,382000000.0,1308000000.0,-124000000.0
,incomeBeforeTaxRatio,0.0182705184618328,0.065324876392149,-0.00631493175799552
,incomeTaxExpense,-77000000.0,316000000.0,-93000000.0
,netIncome,459000000.0,992000000.0,3573000000.0
,netIncomeRatio,0.0219533193036158,0.0495430255206512,0.1819617029945
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EPS,0.788295444201907,1.70367991426643,5.72
,EPSDiluted,0.788295444201907,1.70124609416534,5.72
,weightedAverageShsOut,582269000.0,582269000.0,624900000.0
,weightedAverageShsOutDil,582269000.0,583102000.0,624900000.0
