date,,2020-03-31_FY,2019-03-31_FY,2018-03-31_FY,2017-03-31_FY,2015-12-31_FY,2014-11-30_FY,2013-11-30_FY,2012-11-30_FY,2011-11-30_FY
,revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,costOfRevenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,grossProfit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,grossProfitRatio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,12955879.0,14719481.0,8839661.0,6111587.0,3823966.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,12804493.0,14586165.0,10520217.0,9095194.0,4775806.0,53913.0,56586.0,27429.0,2100.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,0.0,82562.0,390385.0,0.0,376255.0,0.0,0.0,0.0,0.0
,operatingExpenses,25760372.0,29305646.0,19359878.0,15206781.0,8599772.0,53913.0,56586.0,27429.0,0.0
,costAndExpenses,25760372.0,29305646.0,19359878.0,15206781.0,8599772.0,53913.0,56586.0,27429.0,2100.0
,interestExpense,114243.0,0.0,0.0,0.0,3503301.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,5182.0,8420.0,4296.0,4281.0,4292.0,0.0,0.0,0.0,0.0
,EBITDA,-25755190.0,-29297226.0,-19355582.0,-15202500.0,-8595480.0,-53913.0,-56586.0,-27429.0,-2100.0
,EBITDARatio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,-25760372.0,-29305646.0,-19359878.0,-15206781.0,-8599772.0,-53913.0,-56586.0,-27429.0,-2100.0
,operatingIncomeRatio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,totalOtherIncomeExpensesNet,3644601.0,-3677469.0,390385.0,0.0,376255.0,0.0,0.0,0.0,0.0
,incomeBeforeTax,-22000556.0,-32983115.0,-18969493.0,-15206781.0,-11726818.0,-53913.0,-56586.0,-27429.0,-2100.0
,incomeBeforeTaxRatio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,incomeTaxExpense,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,netIncome,-22000556.0,-32983115.0,-18969493.0,-15206781.0,-11726818.0,-53913.0,-56586.0,-27429.0,-2100.0
,netIncomeRatio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EPS,-0.19,-0.32,-0.21,-0.18,-0.15,-0.001037,-0.001088,-0.000576283540326044,0.0
,EPSDiluted,-0.19,-0.32,-0.21,-0.18,-0.15,-0.001037,-0.001088,-0.000576283540326044,0.0
,weightedAverageShsOut,114533102.0,102354050.0,90567476.0,84454587.0,77848850.0,52000800.0,52000800.0,47596362.0,39000600.0
,weightedAverageShsOutDil,114533102.0,102354050.0,90567476.0,84454587.0,77848850.0,52000800.0,52000800.0,47596362.0,39000600.0
