Date,2018-12-31,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12-31,2013-12,2012-12-31,2011-12-31
Revenue,87009000.0,80602000.0,81000000.0,82139000.0,82000000.0,78238000.0,78000000.0,60972000.0,61000000.0,56173000.0,56000000.0,61084000.0,59875000.0
Revenue Growth,0.079489342696211,-0.00491358024691358,-0.0138667380903103,0.00169512195121951,0.0480840512283034,0.00305128205128205,0.279275733123401,-0.000459016393442623,0.0859309632741709,0.00308928571428571,-0.0832296509724314,0.0201920668058455,0.0
Cost of Revenue,59974000.0,57924000.0,58000000.0,56803000.0,57000000.0,51403000.0,51000000.0,42657000.0,43000000.0,38584000.0,39000000.0,40728000.0,37961000.0
Gross Profit,27035000.0,22678000.0,23000000.0,25336000.0,25000000.0,26835000.0,27000000.0,18315000.0,18000000.0,17589000.0,18000000.0,20356000.0,21914000.0
R&D Expenses,3996000.0,1517000.0,2000000.0,1188000.0,1000000.0,1215000.0,1000000.0,1521000.0,2000000.0,1959000.0,2000000.0,1237000.0,0.0
SG&A Expense,18219000.0,15635000.0,16000000.0,16588000.0,17000000.0,15711000.0,16000000.0,14606000.0,15000000.0,15011000.0,15000000.0,14651000.0,15475000.0
Operating Expenses,22215000.0,17152000.0,17000000.0,17776000.0,18000000.0,16926000.0,17000000.0,16127000.0,16000000.0,16970000.0,17000000.0,15888000.0,15475000.0
Operating Income,4820000.0,5526000.0,6000000.0,7560000.0,8000000.0,9909000.0,10000000.0,2188000.0,2000000.0,619000.0,1000000.0,4468000.0,6439000.0
Interest Expense,176000.0,249000.0,0000000.0,242000.0,0000000.0,248000.0,0000000.0,127000.0,0000000.0,9000.0,0000000.0,56000.0,0.0
Earnings before Tax,4605000.0,5441000.0,5000000.0,7526000.0,8000000.0,9736000.0,10000000.0,2415000.0,2000000.0,623000.0,1000000.0,4931000.0,6791000.0
Income Tax Expense,888000.0,1815000.0,2000000.0,2343000.0,2000000.0,2805000.0,3000000.0,-261000.0,-0000000.0,-543000.0,-1000000.0,1262000.0,2372000.0
Net Income - Non-Controlling int,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Net Income - Discontinued ops,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Net Income,3717000.0,3626000.0,4000000.0,5183000.0,5000000.0,6931000.0,7000000.0,2676000.0,3000000.0,1166000.0,1000000.0,3669000.0,4419000.0
Preferred Dividends,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Net Income Com,3717000.0,3626000.0,4000000.0,5183000.0,5000000.0,6931000.0,7000000.0,2676000.0,3000000.0,1166000.0,1000000.0,3669000.0,4419000.0
EPS,0.47,0.46,0.46,0.65,0.65,0.87,0.87,0.34,0.34,0.15,0.15,0.45,0.54
EPS Diluted,0.46,0.45,0.45,0.64,0.64,0.86,0.86,0.33,0.33,0.15,0.15,0.45,0.53
Weighted Average Shs Out,7970000.0,7930000.0,8000000.0,7929000.0,8000000.0,7926000.0,8000000.0,7916000.0,8000000.0,7942000.0,8000000.0,8199000.0,8199000.0
Weighted Average Shs Out (Dil),8051000.0,8045000.0,8000000.0,8042000.0,8000000.0,8040000.0,8000000.0,8015000.0,8000000.0,8029000.0,8000000.0,8225000.0,8207000.0
Dividend per Share,0.120481927711,0.118334369173,,0.11825416563,,0.0,,0.0,,0.0,,0.18188449848,0.182283416596
Gross Margin,0.310714983507,0.281357782685,0.28395061728395,0.308452744738,0.30487804878049,0.342991896521,0.34615384615385,0.30038378272,0.29508196721311,0.313121962509,0.32142857142857,0.333246021872,0.365995824635
EBITDA Margin,0.10979323978,0.125642043622,0.12345679012346,0.135769853541,0.13414634146341,0.160855338838,0.16666666666667,0.0820540576002,0.081967213114754,0.054207537429,0.053571428571429,0.111109292122,0.141762004175
EBIT Margin,0.0553965681711,0.0685590928265,0.074074074074074,0.0920391044449,0.085365853658537,0.126652010532,0.12820512820513,0.0358853244112,0.049180327868852,0.0110195289552,0,0.0731451771331,0.107540709812
Profit Margin,0.0427197186498,0.0449864767624,0.049382716049383,0.0631003542775,0.060975609756098,0.0885886653544,0.08974358974359,0.0438889982287,0.049180327868852,0.0207573033308,0.017857142857143,0.0600648287604,0.0738037578288
Free Cash Flow margin,0.0561666034548,0.0715366864346,,-0.101389108706,,0.0808047240471,,0.0557304992456,,-0.102896409307,,0.0662530286163,0.127665970772
EBITDA,9553000.0,10127000.0,10000000.0,11152000.0,11000000.0,12585000.0,13000000.0,5003000.0,5000000.0,3045000.0,3000000.0,6787000.0,8488000.0
EBIT,4820000.0,5526000.0,6000000,7560000.0,7000000,9909000.0,10000000,2188000.0,3000000,619000.0,0,4468000.0,6439000.0
Consolidated Income,3717000.0,3626000.0,4000000.0,5183000.0,5000000.0,6931000.0,7000000.0,2676000.0,3000000.0,1166000.0,1000000.0,3669000.0,4419000.0
Earnings Before Tax Margin,0.0529255594249,0.0675045284236,0.061728395061728,0.0916251719646,0.097560975609756,0.124440808814,0.12820512820513,0.039608344814,0.032786885245902,0.0110907375429,0.017857142857143,0.0807249034117,0.113419624217
Net Profit Margin,0.0427197186498,0.0449864767624,0.049382716049383,0.0631003542775,0.060975609756098,0.0885886653544,0.08974358974359,0.0438889982287,0.049180327868852,0.0207573033308,0.017857142857143,0.0600648287604,0.0738037578288
