date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,152142000.0,148884000.0,57020000.0,76178000.0,111808000.0,19378000.0,34988000.0,966383000.0,1235688000.0,97348000.0
,depreciationAndAmortization,41248000.0,39459000.0,28517000.0,32809000.0,37455000.0,55275000.0,36129000.0,49532000.0,14177000.0,19568000.0
,deferredIncomeTax,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,122986000.0,97691000.0,89724000.0,69711000.0,39065000.0,32244000.0,83230000.0,28836000.0,51987000.0,20949000.0
,changeInWorkingCapital,60673000.0,-383200000.0,331460000.0,-86373000.0,-192455000.0,16932000.0,320949000.0,276905000.0,330383000.0,-534957000.0
,accountsReceivables,-24351000.0,-103962000.0,29578000.0,-90444000.0,-28306000.0,20611000.0,38079000.0,32825000.0,-71284000.0,-13548000.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,0.0,0.0,2262000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,-80850000.0,-7171000.0,115849000.0,-107561000.0,126292000.0,-250984000.0,-49122000.0,183500000.0,540792000.0,-299672000.0
,otherNonCashItems,-34297000.0,-8383000.0,-4509000.0,-26357000.0,-29960000.0,-30539000.0,-74492000.0,-36894000.0,-242392000.0,-246720000.0
,netCashProvidedByOperatingActivites,-425659000.0,-2083021000.0,-1417102000.0,-1863095000.0,-625655000.0,-527986000.0,1532588000.0,2174892000.0,2747921000.0,2489292000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-15942000.0,-16796000.0,-18419000.0,-33160000.0,-11913000.0,-10676000.0,-16664000.0,-12055000.0,-12913000.0,-31867000.0
,acquisitionsNet,0.0,0.0,0.0,0.0,0.0,-64000000.0,-60000000.0,-50000000.0,0.0,-11000000.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,netCashUsedForInvestingActivites,-136764000.0,-16796000.0,-18419000.0,-33160000.0,-11913000.0,-75113000.0,-76664000.0,-62372000.0,-12913000.0,-42424000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-1050055000.0,-1535710000.0,-1888738000.0,-1685010000.0,-973468000.0,-504119000.0,-4482773000.0,-5326205000.0,-3687891000.0,-1979816000.0
,commonStockIssued,383154000.0,206705000.0,105333000.0,0.0,0.0,0.0,209189000.0,0.0,0.0,0.0
,commonStockRepurchased,0.0,-10449000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,dividendsPaid,-468480000.0,-345367000.0,-334346000.0,-283356000.0,-212839000.0,-217760000.0,-329893000.0,-420189000.0,-230612000.0,-258949000.0
,otherFinancingActivites,-215976000.0,39803000.0,-103543000.0,116880000.0,-26240000.0,2906000.0,-1012418000.0,-889903000.0,-1708183000.0,-1448410000.0
,netCashUsedProvidedByFinancingActivities,943895000.0,2122330000.0,1405339000.0,1654958000.0,880764000.0,581537000.0,-1364106000.0,-2113925000.0,-2708102000.0,-2486151000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,19956000.0,5624000.0,21500000.0,17365000.0,-21818000.0,-5813000.0,-32762000.0,22750000.0,7129000.0,-14756000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,401428000.0,28137000.0,-8682000.0,-223932000.0,221378000.0,-27375000.0,59056000.0,21345000.0,34035000.0,-54039000.0
,cashAtEndOfPeriod,539812000.0,138384000.0,110247000.0,118929000.0,342861000.0,121483000.0,148858000.0,89802000.0,68457000.0,34422000.0
,cashAtBeginningOfPeriod,138384000.0,110247000.0,118929000.0,342861000.0,121483000.0,148858000.0,89802000.0,68457000.0,34422000.0,88461000.0
,operatingCashFlow,-425659000.0,-2083021000.0,-1417102000.0,-1863095000.0,-625655000.0,-527986000.0,1532588000.0,2174892000.0,2747921000.0,2489292000.0
,capitalExpenditure,-15942000.0,-16796000.0,-18419000.0,-33160000.0,-11913000.0,-10676000.0,-16664000.0,-12055000.0,-12913000.0,-31867000.0
,freeCashFlow,-441601000.0,-2099817000.0,-1435521000.0,-1896255000.0,-637568000.0,-538662000.0,1515924000.0,2162837000.0,2735008000.0,2457425000.0
