date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY,1992-12-31_FY,1991-12-31_FY,1990-12-31_FY,1989-12-31_FY,1988-12-31_FY,1987-12-31_FY,1986-12-31_FY,1985-12-31_FY
,revenue,488198000.0,479604000.0,717489000.0,617583000.0,498860000.0,459244000.0,498834000.0,444306000.0,392502000.0,418027000.0,427546000.0,268785000.0,291443477.0,258286495.0,231200591.0,229629736.0,177955441.0,162298007.0,142229535.0,330320958.0,335407036.0,230900000.0,183600000.0,122800000.0,119300000.0,104000000.0,98600000.0,85900000.0,75900000.0,69800000.0,86600000.0,80200000.0,58600000.0,55800000.0,49700000.0,45900000.0
,costOfRevenue,295580000.0,308023000.0,563569000.0,478186000.0,368005000.0,339407000.0,390019000.0,343796000.0,303169000.0,246898000.0,260975000.0,161748000.0,0.0,0.0,0.0,0.0,0.0,0.0,74153193.0,266355278.0,273635709.0,176700000.0,136000000.0,77800000.0,72500000.0,58500000.0,59000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,grossProfit,192618000.0,171581000.0,153920000.0,139397000.0,130855000.0,119837000.0,108815000.0,100510000.0,89333000.0,171129000.0,166571000.0,107037000.0,291443477.0,258286495.0,231200591.0,229629736.0,177955441.0,162298007.0,68076342.0,63965680.0,61771327.0,54200000.0,47600000.0,45000000.0,46800000.0,45500000.0,39600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,grossProfitRatio,0.394548933014883,0.357755565007798,0.214525936983006,0.225713790696959,0.262308062382231,0.260944073303081,0.218138699447111,0.226217966896688,0.227598840260687,0.409373078772424,0.389597844442469,0.398225347396618,1.0,1.0,1.0,1.0,1.0,1.0,0.478637169136495,0.193647052815825,0.184168250423942,0.234733650931139,0.259259259259259,0.366449511400651,0.392288348700754,0.4375,0.401622718052738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,3352000.0,-1830000.0,-615000.0,-765000.0,-441000.0,293000.0,101000.0,372000.0,271000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
