date,,2020-12-31_FY,2019-12-31_FY,2019-10-31_FY,2018-12-31_FY,2018-10-31_FY,2017-12-31_FY,2017-10-31_FY,2016-12-31_FY,2016-10-31_FY,2015-12-31_FY,2015-10-31_FY,2014-12-31_FY,2014-10-31_FY,2013-10-31_FY,2012-10-31_FY,2011-10-31_FY,2010-10-31_FY,2009-10-31_FY,2008-10-31_FY,2007-10-31_FY,2005-10-31_FY,2004-10-31_FY
,revenue,106799267.0,209836036.0,1683252000.0,-33220396.0,1702249000.0,148344648.0,1529010000.0,17300000.0,1342860000.0,17180000.0,1403563000.0,17290000.0,1450294000.0,1357503000.0,1209036000.0,1260031000.0,1121661000.0,890371000.0,1095800000.0,1084100000.0,753175000.0,661813000.0
,costOfRevenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9260000.0,0.0,9820000.0,0.0,9820000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,grossProfit,0.0,0.0,1683252000.0,0.0,1702249000.0,0.0,1529010000.0,8040000.0,1342860000.0,7360000.0,1403563000.0,7460000.0,1450294000.0,1357503000.0,1209036000.0,1260031000.0,1121661000.0,890371000.0,1095800000.0,1084100000.0,753175000.0,661813000.0
,grossProfitRatio,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.464739884393064,1.0,0.428405122235157,1.0,0.431463273568537,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,1047831.0,962664.0,626513000.0,907677.0,604631000.0,776374.0,553952000.0,370000.0,491115000.0,360000.0,483827000.0,360000.0,461438000.0,447134000.0,385395000.0,369927000.0,348897000.0,0.0,0.0,0.0,0.0,0.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,0.0,0.0,535868000.0,0.0,542416000.0,0.0,492300000.0,80000.0,437477000.0,80000.0,519289000.0,100000.0,468999000.0,457362000.0,430649000.0,452447000.0,419482000.0,116023000.0,107017000.0,84074000.0,61726000.0,49381000.0
,operatingExpenses,0.0,980844.0,1162381000.0,926447.0,1147047000.0,795119.0,1046252000.0,460000.000000001,928592000.0,439999.999999999,1003116000.0,459999.999999999,930437000.0,904496000.0,816044000.0,822374000.0,768379000.0,0.0,0.0,0.0,0.0,0.0
,costAndExpenses,0.0,0.0,1162381000.0,0.0,1147047000.0,0.0,1046252000.0,9720000.0,928592000.0,10260000.0,1003116000.0,10280000.0,930437000.0,904496000.0,816044000.0,822374000.0,768379000.0,0.0,0.0,0.0,0.0,0.0
