date,,2020-03-31_FY,2019-03-31_FY,2018-03-31_FY,2017-03-31_FY,2015-12-31_FY,2014-11-30_FY,2013-11-30_FY,2012-11-30_FY,2011-11-30_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-22000556.0,-32983115.0,-18969493.0,-15206781.0,-11726818.0,-53913.0,-56586.0,-27429.0,-2100.0
,depreciationAndAmortization,5182.0,8420.0,4296.0,4281.0,4292.0,0.0,0.0,0.0,0.0
,deferredIncomeTax,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,6085673.0,8951661.0,7689334.0,7721837.0,810859.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,12666580.0,-16637769.0,19084457.0,4381534.0,3099265.0,-53913.0,-56586.0,0.0,2000.0
,accountsReceivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,-865006.0,654229.0,-131378.0,1271550.0,278390.0,-3757.0,9114.0,0.0,0.0
,otherWorkingCapital,22497539.0,9830959.0,26468728.0,7384271.0,3002737.0,-96528.0,-42615.0,13971.0,0.0
,otherNonCashItems,0.0,8563379.0,7689334.0,350250.0,4290000.0,0.0,0.0,0.0,0.0
,netCashProvidedByOperatingActivites,-19560311.0,-20116101.0,-11879260.0,-5861127.0,-6610156.0,-57670.0,-47472.0,-27429.0,-100.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,-15544.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,acquisitionsNet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,netCashUsedForInvestingActivites,0.0,-15544.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-597339.0,-480093.0,0.0,-232100.0,0.0,0.0,0.0,0.0,0.0
,commonStockIssued,32555738.0,5668244.0,30161577.0,10470895.0,7230950.0,0.0,0.0,34500.0,9000.0
,commonStockRepurchased,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,dividendsPaid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherFinancingActivites,0.0,0.0,174998.0,0.0,2855766.0,57670.0,31501.0,0.0,0.0
,netCashUsedProvidedByFinancingActivities,31958399.0,5458151.0,30372105.0,10238795.0,11046716.0,57670.0,31501.0,34500.0,9000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,12398088.0,-14673494.0,18492845.0,4377668.0,4436560.0,0.0,0.0,7071.0,0.0
,cashAtEndOfPeriod,26700416.0,14302328.0,28975822.0,10482977.0,4446284.0,0.0,0.0,15971.0,8900.0
,cashAtBeginningOfPeriod,14302328.0,28975822.0,10482977.0,6105309.0,9724.0,0.0,15971.0,8900.0,0.0
,operatingCashFlow,-19560311.0,-20116101.0,-11879260.0,-5861127.0,-6610156.0,-57670.0,-47472.0,-27429.0,-100.0
,capitalExpenditure,0.0,-15544.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,freeCashFlow,-19560311.0,-20131645.0,-11879260.0,-5861127.0,-6610156.0,-57670.0,-47472.0,-27429.0,-100.0
