Date,2018-12-31,2017-12-31
Cash and cash equivalents,5205000.0,1658000.0
Short-term investments,0.0,0.0
Cash and short-term investments,5205000.0,1658000.0
Receivables,0.0,0.0
Inventories,0.0,0.0
Total current assets,5404000.0,1914000.0
Property Plant & Equipment Net,445000.0,70000.0
Goodwill and Intangible Assets,0.0,0.0
Long-term investments,0.0,0.0
Tax assets,0.0,0.0
Total non-current assets,977000.0,70000.0
Total assets,6381000.0,1984000.0
Payables,327000.0,473000.0
Short-term debt,141000.0,0.0
Total current liabilities,1965000.0,1700000.0
Long-term debt,4824000.0,94000.0
Total debt,4965000.0,94000.0
Deferred revenue,0.0,0.0
Tax Liabilities,0.0,0.0
Deposit Liabilities,0.0,0.0
Total non-current liabilities,4900000.0,188000.0
Total liabilities,6865000.0,1888000.0
Other comprehensive income,0.0,0.0
Retained earnings (deficit),-14826000.0,-7480000.0
Total shareholders equity,-12132000.0,-5432000.0
Investments,0.0,0.0
Net Debt,-240000.0,-1564000.0
Other Assets,199000.0,256000.0
Other Liabilities,1497000.0,1227000.0
