Date,2018-12-31,2017-12-31
Revenue,84981000.0,64540000.0
Revenue Growth,0.316718314223737,
Cost of Revenue,13436000.0,9480000.0
Gross Profit,71545000.0,55060000.0
R&D Expenses,21363000.0,17672000.0
SG&A Expense,52114000.0,39650000.0
Operating Expenses,73477000.0,57322000.0
Operating Income,-1932000.0,-2262000.0
Interest Expense,0.0,0.0
Earnings before Tax,-2979000.0,-1995000.0
Income Tax Expense,1283000.0,797000.0
Net Income - Non-Controlling int,0.0,0.0
Net Income - Discontinued ops,0.0,0.0
Net Income,-4262000.0,-2792000.0
Preferred Dividends,0.0,0.0
Net Income Com,-4262000.0,-2792000.0
EPS,-0.53,-0.35
EPS Diluted,-0.53,-0.35
Weighted Average Shs Out,32437000.0,32437000.0
Weighted Average Shs Out (Dil),8045647.0,7872545.0
Dividend per Share,0.0,0.0
Gross Margin,0.8419,0.8531
EBITDA Margin,-0.024,-0.025
EBIT Margin,-0.0351,-0.0309
Profit Margin,-0.05,-0.043
Free Cash Flow margin,0.0346,-0.0204
EBITDA,-2023000.0,-1627000.0
EBIT,-2979000.0,-1995000.0
Consolidated Income,-4262000.0,-2792000.0
Earnings Before Tax Margin,-0.0351,-0.0309
Net Profit Margin,-0.0502,-0.0433
