date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,8877000.0,98999000.0,67239000.0,72876000.0,81702000.0,143764000.0,115100000.0,103100000.0,81100000.0,87600000.0,81200000.0,116929000.0,99779000.0
,depreciationAndAmortization,108892000.0,113653000.0,104438000.0,104877000.0,107722000.0,106627000.0,109811000.0,89958000.0,80333000.0,78803000.0,70887000.0,75756000.0,77342000.0
,deferredIncomeTax,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,3655000.0,3879000.0,3755000.0,3866000.0,4951000.0,8623000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,20487000.0,569000.0,-43338000.0,-20297000.0,-18860000.0,-4859000.0,8636000.0,-8709000.0,-2315000.0,25660000.0,-28530000.0,-22981000.0,53212000.0
,accountsReceivables,3852000.0,7417000.0,-14368000.0,-578000.0,-10000.0,1254000.0,13705000.0,-22737000.0,-87000.0,0.0,0.0,0.0,0.0
,inventory,91000.0,474000.0,-134000.0,1753000.0,-837000.0,987000.0,-560000.0,-1607000.0,-63000.0,199000.0,1945000.0,1108000.0,-1303000.0
,accountsPayables,1367000.0,-2371000.0,1926000.0,2466000.0,-199000.0,-2249000.0,482000.0,-68000.0,1825000.0,-71000.0,-4694000.0,4996000.0,-4406000.0
,otherWorkingCapital,7719000.0,-1576000.0,-28742000.0,-19121000.0,-14143000.0,-6470000.0,-2227000.0,11981000.0,-5811000.0,27756000.0,-13406000.0,-6743000.0,-27141000.0
,otherNonCashItems,11768000.0,12588000.0,9418000.0,9148000.0,13874000.0,8523000.0,11921000.0,9653000.0,9336000.0,0.0,0.0,0.0,0.0
,netCashProvidedByOperatingActivites,274284000.0,250391000.0,140784000.0,190987000.0,226559000.0,244663000.0,243270000.0,186681000.0,168114000.0,195179000.0,127946000.0,161893000.0,247518000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-101917000.0,-61975000.0,-142993000.0,-64231000.0,-2792000.0,-2758000.0,-88042000.0,-642284000.0,-265232000.0,-338582000.0,-54611000.0,-56767000.0,-104194000.0
,acquisitionsNet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16000000.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-56881000.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6082000.0,8030000.0,21421000.0,21674000.0
,otherInvestingActivites,2228000.0,7407000.0,19575000.0,0.0,46000.0,0.0,0.0,0.0,0.0,0.0,-3830000.0,0.0,0.0
,netCashUsedForInvestingActivites,-36397000.0,-8858000.0,-112645000.0,-42670000.0,-34390000.0,-42984000.0,-119263000.0,-621056000.0,-236509000.0,-283758000.0,-23850000.0,12811000.0,-138301000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-451038000.0,-597607000.0,-500173000.0,-253804000.0,-357401000.0,-210359000.0,-366218000.0,-163669000.0,-170170000.0,-124610000.0,-97112000.0,-124505000.0,-879668000.0
,commonStockIssued,0.0,0.0,111224000.0,91675000.0,69037000.0,96616000.0,96523000.0,48042000.0,194131000.0,0.0,0.0,0.0,0.0
,commonStockRepurchased,-1684000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3284000.0,0.0,0.0
,dividendsPaid,-65470000.0,-58655000.0,-49143000.0,-37758000.0,-75003000.0,-102287000.0,-93074000.0,-81515000.0,-73089000.0,-61506000.0,-10000000.0,-161230000.0,-279778000.0
,otherFinancingActivites,-9573000.0,-3891000.0,-3441000.0,4033000.0,13143000.0,1367000.0,-7244000.0,-11781000.0,-1791000.0,-13376000.0,150508000.0,3051000.0,-24496000.0
,netCashUsedProvidedByFinancingActivities,-241862000.0,-212153000.0,-80533000.0,-134229000.0,-127376000.0,-214663000.0,-104297000.0,260433000.0,237720000.0,26801000.0,43396000.0,-252684000.0,-22529000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,-3975000.0,29380000.0,-52394000.0,14088000.0,64793000.0,-12984000.0,19710000.0,-173942000.0,169325000.0,-61778000.0,147492000.0,-77980000.0,86688000.0
,cashAtEndOfPeriod,191896000.0,195871000.0,166491000.0,178986000.0,164898000.0,100105000.0,113089000.0,93379000.0,267321000.0,97996000.0,159774000.0,12282000.0,90262000.0
,cashAtBeginningOfPeriod,195871000.0,166491000.0,218885000.0,164898000.0,100105000.0,113089000.0,93379000.0,267321000.0,97996000.0,159774000.0,12282000.0,90262000.0,3574000.0
,operatingCashFlow,274284000.0,250391000.0,140784000.0,190987000.0,226559000.0,244663000.0,243270000.0,186681000.0,168114000.0,195179000.0,127946000.0,161893000.0,247518000.0
