Date,2018-12-30,2017-12-31,2017-12,2017-01-01,2016-12,2016-01-03,2015-12,2014-12-28,2014-12,2013-12-29,2013-12
Depreciation & Amortization,101568000.0,100280000.0,98000000.0,89526000.0,87000000.0,71546000.0,69000000.0,67469000.0,64000000.0,60759000.0,61000000.0
Stock-based compensation,12350000.0,11560000.0,12000000.0,9803000.0,10000000.0,10003000.0,10000000.0,11329000.0,11000000.0,0.0,000000.0
Operating Cash Flow,141217000.0,169495000.0,169000000.0,97093000.0,97000000.0,145391000.0,145000000.0,125337000.0,125000000.0,107517000.0,108000000.0
Capital Expenditure,116172000.0,149347000.0,-164000000.0,148043000.0,-151000000.0,132738000.0,-137000000.0,114933000.0,-117000000.0,-55008000.0,-55000000.0
Acquisitions and disposals,-0.0,-0.0,000000.0,-0.0,000000.0,-0.0,000000.0,-0.0,-0000000.0,0.0,000000.0
Investment purchases and sales,0.0,-12873000.0,0,-33524000.0,0,-129000.0,0,0.0,0,0.0,0
Investing Cash flow,-131507000.0,-162587000.0,-163000000.0,-153252000.0,-153000000.0,-196616000.0,-197000000.0,-117370000.0,-117000000.0,-55319000.0,-55000000.0
Issuance (repayment) of debt,-0.0,-0.0,,-0.0,,-0.0,,-120880000.0,,-12228000.0,
Issuance (buybacks) of shares,-67217000.0,-12873000.0,,-33524000.0,,-129000.0,,-106768000.0,,1700000.0,
Dividend payments,-0.0,-0.0,,-0.0,,-0.0,,-0.0,,0.0,
Financing Cash Flow,-14164000.0,10528000.0,11000000.0,51067000.0,51000000.0,3705000.0,4000000.0,45181000.0,45000000.0,-34486000.0,-34000000.0
Effect of forex changes on cash,0.0,0.0,,0.0,,0.0,,0.0,,0.0,
Net cash flow / Change in cash,-4454000.0,17436000.0,17000000.0,54235000.0,-5000000.0,59327000.0,-48000000.0,106847000.0,53000000.0,17712000.0,18000000.0
Free Cash Flow,25045000.0,20148000.0,6000000.0,-50950000.0,-54000000.0,12653000.0,8000000.0,10404000.0,8000000.0,52509000.0,52000000.0
Net Cash/Marketcap,0.0,0.0,,0.0,,0.0,,0.0,,-0.4927,
