Date,2018-12-31,2017-12-31,2016-12-31
Revenue,1046359.0,201182.0,270000.0
Revenue Growth,4.20105675458043,-0.254881481481481,
Cost of Revenue,684105.0,1487905.0,497000.0
Gross Profit,362254.0,-1286723.0,-1191000.0
R&D Expenses,17197.0,61543.0,142000.0
SG&A Expense,16505257.0,13607142.0,11175000.0
Operating Expenses,16522454.0,13668685.0,
Operating Income,-16160200.0,-14955408.0,-12365000.0
Interest Expense,4468692.0,0.0,
Earnings before Tax,-20626816.0,-14955408.0,-12365000.0
Income Tax Expense,0.0,0.0,
Net Income - Non-Controlling int,0.0,0.0,
Net Income - Discontinued ops,0.0,0.0,
Net Income,-20626816.0,-14955408.0,
Preferred Dividends,0.0,0.0,
Net Income Com,-20626816.0,-14955408.0,-12365000.0
EPS,-4.48,-3.52,-1.48
EPS Diluted,-4.48,-3.52,-1.48
Weighted Average Shs Out,8338020.0,8338000.0,8338000.0
Weighted Average Shs Out (Dil),4606951.0,4246626.0,
Dividend per Share,0.0,0.0,
Gross Margin,0.3462,-6.3958,-4.4111
EBITDA Margin,-14.385,-68.186,
EBIT Margin,-15.4422,-74.3377,
Profit Margin,-19.713,-74.338,
Free Cash Flow margin,-10.9463,-46.7535,
EBITDA,-15052135.0,-13717800.0,
EBIT,-16158124.0,-14955408.0,
Consolidated Income,-20626816.0,-14955408.0,
Earnings Before Tax Margin,-19.7129,-74.3377,-45.7963
Net Profit Margin,-19.7129,-74.3377,
