Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31
Cash and cash equivalents,800000.0,1834000.0,926000.0,4265000.0,647000.0
Short-term investments,0.0,0.0,0.0,0.0,0.0
Cash and short-term investments,800000.0,1834000.0,926000.0,4265000.0,647000.0
Receivables,2585000.0,703000.0,1681000.0,455000.0,1203000.0
Inventories,807000.0,1016000.0,1173000.0,583000.0,904000.0
Total current assets,4307000.0,3895000.0,4184000.0,6028000.0,3372000.0
Property, Plant & Equipment Net,107992000.0,115774000.0,121341000.0,130501000.0,117445000.0
Goodwill and Intangible Assets,0.0,0.0,0.0,0.0,0.0
Long-term investments,3404000.0,4859000.0,4857000.0,4357000.0,1000000.0
Tax assets,0.0,0.0,0.0,0.0,0.0
Total non-current assets,112310000.0,120918000.0,126556000.0,135694000.0,118567000.0
Total assets,116617000.0,124813000.0,130740000.0,141722000.0,121939000.0
Payables,8148000.0,4418000.0,5068000.0,1224000.0,702000.0
Short-term debt,4333000.0,7304000.0,6813000.0,7095000.0,5529000.0
Total current liabilities,13545000.0,12531000.0,12870000.0,11200000.0,7047000.0
Long-term debt,63129000.0,64126000.0,69117000.0,75956000.0,60991000.0
Total debt,67462000.0,71430000.0,75930000.0,83051000.0,66520000.0
Deferred revenue,0.0,0.0,0.0,0.0,0.0
Tax Liabilities,0.0,0.0,0.0,0.0,0.0
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,63129000.0,64126000.0,69117000.0,75956000.0,60991000.0
Total liabilities,76674000.0,76657000.0,81987000.0,87156000.0,68038000.0
Other comprehensive income,0.0,0.0,0.0,0.0,0.0
Retained earnings (deficit),-34845000.0,-26631000.0,-21388000.0,-15575000.0,-19080000.0
Total shareholders equity,39943000.0,48156000.0,48753000.0,54566000.0,53901000.0
Investments,3404000.0,4859000.0,4857000.0,4357000.0,1000000.0
Net Debt,66662000.0,,,,
Other Assets,115000.0,,,,
Other Liabilities,1064000.0,809000.0,989000.0,2881000.0,816000.0
