Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31
Revenue,43491000.0,34990000.0,34470000.0,34792000.0,22699000.0,18774000.0,18539000.0
Revenue Growth,0.243,0.0151,-0.0093,0.5328,0.2091,0.0127,
Cost of Revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gross Profit,43491000.0,34990000.0,34470000.0,34792000.0,22699000.0,18774000.0,18539000.0
R&D Expenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG&A Expense,25977000.0,19677000.0,18700000.0,17879000.0,12100000.0,10499000.0,10223000.0
Operating Expenses,34901000.0,25172000.0,23778000.0,22929000.0,16798000.0,13358000.0,13287000.0
Operating Income,8590000.0,9818000.0,10692000.0,11863000.0,5901000.0,5416000.0,5252000.0
Interest Expense,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Earnings before Tax,8590000.0,9818000.0,10692000.0,11863000.0,5901000.0,5416000.0,5252000.0
Income Tax Expense,1538000.0,2874000.0,3112000.0,3443000.0,1609000.0,1160000.0,1035000.0
Net Income - Non-Controlling int,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income - Discontinued ops,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income,7052000.0,6944000.0,7580000.0,8420000.0,4292000.0,4256000.0,4217000.0
Preferred Dividends,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income Com,7052000.0,6944000.0,7580000.0,8420000.0,4292000.0,4256000.0,4217000.0
EPS,1.42,1.7,1.86,2.07,1.63,1.73,1.73
EPS Diluted,1.4,1.69,1.86,2.07,1.63,1.72,1.7
Weighted Average Shs Out,5414299.0,4088025.0,4081017.0,4071462.0,4385994.0,,
Weighted Average Shs Out (Dil),4981814.0,4088191.0,4081247.0,4071855.0,2633871.0,2463571.0,2438281.0
Dividend per Share,0.89,0.88,0.88,0.85,0.21,0.84,0.84
Gross Margin,1.0,1.0,1.0,1.0,1.0,1.0,1.0
EBITDA Margin,0.268,0.352,0.4,0.415,0.294,0.322,0.309
EBIT Margin,0.1975,0.2806,0.3102,0.341,0.26,0.2885,0.2833
Profit Margin,0.162,0.198,0.22,0.242,0.189,0.227,0.227
Free Cash Flow margin,0.2123,0.2217,0.233,1.4647,-0.3917,0.4162,0.3031
EBITDA,11635000.0,12317000.0,13784000.0,14435000.0,6664000.0,6045000.0,5736000.0
EBIT,8590000.0,9818000.0,10692000.0,11863000.0,5901000.0,5416000.0,5252000.0
Consolidated Income,7052000.0,6944000.0,7580000.0,8420000.0,4292000.0,4256000.0,4217000.0
Earnings Before Tax Margin,0.1975,0.2806,0.3102,0.341,0.26,0.2885,0.2833
Net Profit Margin,0.1621,0.1985,0.2199,0.242,0.1891,0.2267,0.2275
