date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-9276000.0,2066000.0,-5665000.0,-14533000.0,-18885000.0
,depreciationAndAmortization,1090000.0,1149000.0,577000.0,567000.0,589000.0
,deferredIncomeTax,0.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,1322000.0,1234000.0,645000.0,1363000.0,3171000.0
,changeInWorkingCapital,-61000.0,4492000.0,-1008000.0,-2446000.0,1982000.0
,accountsReceivables,1386000.0,-3553000.0,-211000.0,28000.0,-107000.0
,inventory,141000.0,67000.0,206000.0,-1042000.0,873000.0
,accountsPayables,-1096000.0,1355000.0,-536000.0,-135000.0,331000.0
,otherWorkingCapital,0.0,0.0,0.0,0.0,0.0
,otherNonCashItems,30000.0,-652000.0,-6703000.0,-1406000.0,-3302000.0
,netCashProvidedByOperatingActivites,-6895000.0,8289000.0,-12154000.0,-16455000.0,-16445000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-923000.0,-792000.0,-522000.0,-1045000.0,-671000.0
,acquisitionsNet,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,-5050000.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,1163000.0,0.0
,otherInvestingActivites,18308000.0,-1055000.0,-16518000.0,319000.0,2487000.0
,netCashUsedForInvestingActivites,17385000.0,-6897000.0,-17040000.0,437000.0,1816000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-508000.0,0.0,0.0,0.0,0.0
,commonStockIssued,0.0,0.0,0.0,22658000.0,0.0
,commonStockRepurchased,0.0,0.0,0.0,0.0,0.0
,dividendsPaid,0.0,0.0,0.0,0.0,0.0
,otherFinancingActivites,-121000.0,-1006000.0,46000.0,337000.0,907000.0
,netCashUsedProvidedByFinancingActivities,-629000.0,-1006000.0,46000.0,22995000.0,907000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,273000.0,140000.0,-205000.0,226000.0,86000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,10134000.0,526000.0,-29353000.0,7203000.0,-13636000.0
,cashAtEndOfPeriod,17376000.0,7242000.0,6716000.0,36069000.0,28866000.0
,cashAtBeginningOfPeriod,7242000.0,6716000.0,36069000.0,28866000.0,42502000.0
,operatingCashFlow,-6895000.0,8289000.0,-12154000.0,-16455000.0,-16445000.0
,capitalExpenditure,-923000.0,-792000.0,-534000.0,-1075000.0,-701000.0
,freeCashFlow,-7818000.0,7497000.0,-12688000.0,-17530000.0,-17146000.0
