Date,2018-12-31,2017-12-31
Revenue,31281878.0,21874915.0
Revenue Growth,0.430034265276002,
Cost of Revenue,0.0,0.0
Gross Profit,31281878.0,21874915.0
R&D Expenses,0.0,0.0
SG&A Expense,15864731.0,12536217.0
Operating Expenses,19979096.0,15658150.0
Operating Income,11302782.0,6216765.0
Interest Expense,0.0,0.0
Earnings before Tax,11302782.0,6216765.0
Income Tax Expense,2093598.0,2334555.0
Net Income - Non-Controlling int,0.0,0.0
Net Income - Discontinued ops,0.0,0.0
Net Income,9209184.0,3882210.0
Preferred Dividends,0.0,0.0
Net Income Com,9209184.0,3882210.0
EPS,1.38,0.81
EPS Diluted,1.38,0.81
Weighted Average Shs Out,8179868.0,
Weighted Average Shs Out (Dil),6652979.0,4778748.0
Dividend per Share,0.0,0.0
Gross Margin,1.0,1.0
EBITDA Margin,0.415,0.344
EBIT Margin,0.3613,0.2842
Profit Margin,0.294,0.177
Free Cash Flow margin,0.3596,0.1943
EBITDA,12971958.0,7521013.0
EBIT,11302782.0,6216765.0
Consolidated Income,9209184.0,3882210.0
Earnings Before Tax Margin,0.3613,0.2842
Net Profit Margin,0.2944,0.1775
