date,,2020-03-31_FY,2019-03-31_FY,2018-03-31_FY,2017-03-31_FY,2016-03-31_FY,2015-03-31_FY,2014-03-31_FY,2013-03-31_FY,2012-03-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-155079000.0,-648443000.0,-60232000.0,-274454000.0,147037000.0,79528000.0,133257000.0,64692000.0,10660000.0
,depreciationAndAmortization,67858000.0,77503000.0,89759000.0,93779000.0,72614000.0,66551000.0,44902000.0,25128000.0,24490000.0
,deferredIncomeTax,-4521000.0,-22718000.0,-78989000.0,-22470000.0,-457000.0,-947000.0,8746000.0,-483000.0,-3371000.0
,stockBasedCompensation,6810000.0,6599000.0,9299000.0,12648000.0,12279000.0,3012000.0,0.0,0.0,0.0
,changeInWorkingCapital,-159955000.0,-91207000.0,-49986000.0,82695000.0,-76386000.0,-48217000.0,-23160000.0,-13903000.0,-1096000.0
,accountsReceivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,-7675000.0,-7102000.0,155526000.0,-85680000.0,-31065000.0,40991000.0,8970000.0,-44045000.0,-24573000.0
,accountsPayables,-12543000.0,540000.0,-1633000.0,-54055000.0,3398000.0,-37837000.0,-32277000.0,11073000.0,-747000.0
,otherWorkingCapital,462310000.0,622265000.0,713472000.0,763458000.0,680763000.0,757149000.0,1686000.0,16527000.0,21256000.0
,otherNonCashItems,6087000.0,10573000.0,3026000.0,4125000.0,2501000.0,2447000.0,897000.0,0.0,0.0
,netCashProvidedByOperatingActivites,76745000.0,97475000.0,252355000.0,154688000.0,198002000.0,154338000.0,172310000.0,75363000.0,78730000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-23768000.0,-42242000.0,-66627000.0,-90665000.0,-41526000.0,-43189000.0,0.0,0.0,0.0
,acquisitionsNet,157000000.0,155000000.0,0.0,-458000000.0,-462000000.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,netCashUsedForInvestingActivites,133076000.0,112718000.0,-66499000.0,-548679000.0,-503204000.0,-42869000.0,-1341747000.0,-23395000.0,-23600000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-607891000.0,-905834000.0,-457000000.0,-412000000.0,-377500000.0,-70087000.0,-206362000.0,0.0,0.0
,commonStockIssued,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,commonStockRepurchased,0.0,0.0,0.0,-151850000.0,-143194000.0,-5097000.0,0.0,0.0,0.0
,dividendsPaid,0.0,0.0,0.0,0.0,0.0,-214000000.0,0.0,0.0,0.0
,otherFinancingActivites,-3116000.0,5000.0,-6374000.0,-10796000.0,2121000.0,5310000.0,194405000.0,-52417000.0,-54976000.0
,netCashUsedProvidedByFinancingActivities,-200058000.0,-211110000.0,-208550000.0,287929000.0,192600000.0,116126000.0,1209316000.0,-52417000.0,-54976000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,-323000.0,-18000.0,489000.0,-555000.0,343000.0,-3648000.0,58000.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,9440000.0,-935000.0,-22205000.0,-106617000.0,-112259000.0,223947000.0,39937000.0,-449000.0,154000.0
,cashAtEndOfPeriod,31375000.0,21935000.0,22870000.0,45075000.0,151692000.0,263951000.0,40004000.0,67000.0,516000.0
,cashAtBeginningOfPeriod,21935000.0,22870000.0,45075000.0,151692000.0,263951000.0,40004000.0,67000.0,516000.0,362000.0
,operatingCashFlow,76745000.0,97475000.0,252355000.0,154688000.0,198002000.0,154338000.0,172310000.0,75363000.0,78730000.0
,capitalExpenditure,-23768000.0,-42242000.0,-66627000.0,-90665000.0,-41526000.0,-43189000.0,-40234000.0,-23395000.0,-23611000.0
,freeCashFlow,52977000.0,55233000.0,185728000.0,64023000.0,156476000.0,111149000.0,132076000.0,51968000.0,55119000.0
