date,,2020-12-27_FY,2019-12-29_FY,2018-12-30_FY,2017-12-31_FY,2016-12-25_FY,2015-12-27_FY,2014-12-28_FY,2013-12-29_FY,2012-12-30_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-3294000.0,6215000.0,5539000.0,28956000.0,17244000.0,12896000.0,11491000.0,11069000.0,5457000.0,0.0,3291000.0,2653000.0
,depreciationAndAmortization,29264000.0,21756000.0,19804000.0,17560000.0,15081000.0,12827000.0,10310000.0,8858000.0,6528000.0,4448000.0,2732000.0,1549000.0
,deferredIncomeTax,-5205000.0,-5096000.0,-3837000.0,-7331000.0,3488000.0,3074000.0,3060000.0,-314000.0,1760000.0,1198000.0,1218000.0,882000.0
,stockBasedCompensation,3702000.0,3286000.0,3096000.0,2880000.0,2193000.0,1718000.0,1054000.0,531000.0,329000.0,352000.0,310000.0,235000.0
,changeInWorkingCapital,70659000.0,-10503000.0,-9842000.0,1346000.0,7368000.0,-2962000.0,-23000.0,-2100000.0,1558000.0,-5119000.0,3678000.0,674000.0
,accountsReceivables,-81000.0,628000.0,642000.0,-1564000.0,-14000.0,-196000.0,-286000.0,-72000.0,-117000.0,-44000.0,-188000.0,135000.0
,inventory,208000.0,-116000.0,64000.0,-154000.0,-265000.0,-268000.0,-221000.0,-84000.0,-4000.0,-204000.0,-107000.0,-100000.0
,accountsPayables,-1302000.0,-2594000.0,-1454000.0,-2248000.0,-1471000.0,-1708000.0,-770000.0,-610000.0,1381000.0,204000.0,217000.0,152000.0
,otherWorkingCapital,51243000.0,-19416000.0,-8913000.0,929000.0,-417000.0,-7785000.0,-4823000.0,-4800000.0,-2700000.0,-4258000.0,861000.0,-2817000.0
,otherNonCashItems,-52412000.0,27773000.0,33122000.0,971000.0,-2736000.0,17840000.0,3243000.0,6197000.0,8892000.0,16324000.0,523000.0,299000.0
,netCashProvidedByOperatingActivites,42714000.0,43431000.0,47882000.0,44382000.0,42638000.0,45393000.0,29135000.0,24241000.0,24524000.0,17203000.0,11752000.0,6292000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-12149000.0,-32870000.0,-44087000.0,-49185000.0,-41566000.0,-31628000.0,-33936000.0,-30905000.0,-26834000.0,-20452000.0,-16370000.0,-11613000.0
,acquisitionsNet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,-404000.0,-434000.0,51000.0,-319000.0,-372000.0,-388000.0,-293000.0,-412000.0,-230000.0,-276000.0,-3975000.0
,netCashUsedForInvestingActivites,-12149000.0,-33274000.0,-44521000.0,-49134000.0,-41885000.0,-32000000.0,-34324000.0,-31198000.0,-27246000.0,-20682000.0,-16646000.0,-15588000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-25000000.0,-5000000.0,0.0,0.0,-2000000.0,-9750000.0,-1500000.0,-2000000.0,-86950000.0,-31732000.0,-1232000.0,-750000.0
,commonStockIssued,48167000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81104000.0,183000.0,0.0,0.0
,commonStockRepurchased,-2107000.0,-8670000.0,-4400000.0,-497000.0,-324000.0,-57000.0,0.0,0.0,-22474000.0,0.0,0.0,0.0
,dividendsPaid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19010000.0,0.0,0.0
,otherFinancingActivites,25118000.0,5388000.0,453000.0,340000.0,6736000.0,1128000.0,5181000.0,8425000.0,34070000.0,53528000.0,7401000.0,10500000.0
,netCashUsedProvidedByFinancingActivities,46178000.0,-8282000.0,-3947000.0,-157000.0,4412000.0,-8679000.0,3681000.0,6425000.0,5750000.0,2969000.0,6169000.0,9750000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,76743000.0,1875000.0,-586000.0,-4909000.0,5165000.0,4714000.0,-1508000.0,-532000.0,3028000.0,-510000.0,1275000.0,454000.0
,cashAtEndOfPeriod,86817000.0,10074000.0,8199000.0,8785000.0,13694000.0,8529000.0,3815000.0,5323000.0,5855000.0,2827000.0,3337000.0,2062000.0
,cashAtBeginningOfPeriod,10074000.0,8199000.0,8785000.0,13694000.0,8529000.0,3815000.0,5323000.0,5855000.0,2827000.0,3337000.0,2062000.0,1608000.0
,operatingCashFlow,42714000.0,43431000.0,47882000.0,44382000.0,42638000.0,45393000.0,29135000.0,24241000.0,24524000.0,17203000.0,11752000.0,6292000.0
,capitalExpenditure,-12149000.0,-32870000.0,-44087000.0,-49185000.0,-41566000.0,-31628000.0,-33936000.0,-30905000.0,-26834000.0,-20452000.0,-16370000.0,-11613000.0
,freeCashFlow,30565000.0,10561000.0,3795000.0,-4803000.0,1072000.0,13765000.0,-4801000.0,-6664000.0,-2310000.0,-3249000.0,-4618000.0,-5321000.0
