Date,2018-12,2017-12,2016-12,2015-12,2014-12-31,2014-12,2013-12-31,2012-12-31,2011-12-31,2010-12-31
Revenue,14212000000.0,12607000000.0,10630000000.0,10337000000.0,33260000000.0,12301000000.0,31754000000.0,29740000000.0,27226000000.0,24102000000.0
Revenue Growth,0.127310224478464,0.185983066792098,0.0283447808842024,-0.689206253758268,1.70384521583611,-0.612615733450904,0.0677202420981843,0.0923382061264967,0.129615799518712,0.0
Cost of Revenue,11062000000.0,9499000000.0,7832000000.0,7776000000.0,22371000000.0,9226000000.0,21111000000.0,19447000000.0,17958000000.0,16523000000.0
Gross Profit,3150000000.0,3108000000.0,2798000000.0,2561000000.0,10889000000.0,3075000000.0,10643000000.0,10293000000.0,9268000000.0,7579000000.0
R&D Expenses,,,,,0.0,,0.0,0.0,0.0,0.0
SG&A Expense,,,,,2113000000.0,,2002000000.0,1815000000.0,1576000000.0,1445000000.0
Operating Expenses,1566000000.0,1421000000.0,1346000000.0,1216000000.0,5761000000.0,1497000000.0,5493000000.0,5208000000.0,4639000000.0,3683000000.0
Operating Income,1584000000.0,1687000000.0,1452000000.0,1345000000.0,5128000000.0,1578000000.0,5150000000.0,5085000000.0,4629000000.0,3896000000.0
Interest Expense,559000000.0,536000000.0,472000000.0,450000000.0,0.0,429000000.0,0.0,0.0,0.0,0.0
Earnings before Tax,,,,,4448000000.0,,4488000000.0,4442000000.0,3984000000.0,3514000000.0
Income Tax Expense,98000000.0,175000000.0,271000000.0,230000000.0,1673000000.0,364000000.0,1603000000.0,1465000000.0,1348000000.0,1202000000.0
Net Income - Non-Controlling int,,,,,0.0,,0.0,0.0,0.0,0.0
Net Income - Discontinued ops,,,,,0.0,,0.0,0.0,0.0,0.0
Net Income,1120000000.0,1134000000.0,868000000.0,727000000.0,2756000000.0,905000000.0,2859000000.0,2949000000.0,2609000000.0,2198000000.0
Preferred Dividends,,,,,0.0,,0.0,0.0,0.0,0.0
Net Income Com,1120000000.0,1134000000.0,868000000.0,727000000.0,2756000000.0,905000000.0,2859000000.0,2949000000.0,2609000000.0,2198000000.0
EPS,,,,,5.46,,5.22,4.62,3.49,0.0
EPS Diluted,,,,,5.4,,5.17,4.58,3.47,0.0
Weighted Average Shs Out,,,,,505000000.0,,548000000.0,638000000.0,747000000.0,880000000.0
Weighted Average Shs Out (Dil),,,,,510000000.0,,553000000.0,644000000.0,752000000.0,886000000.0
Dividend per Share,,,,,0.0,,0.0,0.0,0.0,0.0
Gross Margin,0.221643681396,0.24652970571904,0.26321730950141,0.2477507981039,0.327390258569,0.24997967644907,0.335170372237,0.346099529254,0.340409902299,0.314455231931
EBITDA Margin,0.20398254995778,0.22630284762434,0.24016933207902,0.21785817935571,0.242663860493,0.23160718640761,0.251243937772,0.25292535306,0.256299125836,0.161646336404
EBIT Margin,0.12503518153673,0.14634726739113,0.15155221072437,0.13611299216407,0.154179194227,0.13803755792212,0.162184291743,0.170981842636,0.170021303166,0.161646336404
Profit Margin,0.078806642274135,0.089950027762354,0.081655691439323,0.070329882944762,0.0828622970535,0.073571254369563,0.0900359009889,0.0991593813046,0.0958275178139,0.0911957513899
Free Cash Flow margin,,,,,0.103096812989,,0.0940039050198,0.0899125756557,0.0830456181591,0.0
EBITDA,2899000000.0,2853000000.0,2553000000.0,2252000000.0,8071000000.0,2849000000.0,7978000000.0,7522000000.0,6978000000.0,3896000000.0
EBIT,1777000000,1845000000,1611000000,1407000000,5128000000.0,1698000000,5150000000.0,5085000000.0,4629000000.0,3896000000.0
Consolidated Income,1120000000.0,1134000000.0,868000000.0,727000000.0,2756000000.0,905000000.0,2859000000.0,2949000000.0,2609000000.0,2198000000.0
Earnings Before Tax Margin,0,0,0,0,0.133734215274,0,0.141336524532,0.149361129792,0.146330713289,0.145797029292
Net Profit Margin,0.078806642274135,0.089950027762354,0.081655691439323,0.070329882944762,0.0828622970535,0.073571254369563,0.0900359009889,0.0991593813046,0.0958275178139,0.0911957513899
