date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-67475000.0,-54121000.0,-36726000.0,-18898000.0,-28643000.0,-24850000.0,-10833000.0,-5269855.0,-1408545.0
,depreciationAndAmortization,334000.0,278000.0,127000.0,126000.0,23000.0,11000.0,5000.0,9790.0,17902.0
,deferredIncomeTax,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,7642000.0,5672000.0,4788000.0,2880000.0,3077000.0,2108000.0,698000.0,236365.0,120599.0
,changeInWorkingCapital,-2042000.0,19072000.0,15205000.0,29611000.0,-28117000.0,2223000.0,2729000.0,-1542133.0,72460.0
,accountsReceivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,0.0,86103000.0,67031000.0,51826000.0,22215000.0,50332000.0,48109000.0,0.0,0.0
,otherNonCashItems,626000.0,94000.0,0.0,4000.0,7000.0,7000.0,4000.0,90498.0,305206.0
,netCashProvidedByOperatingActivites,-60912000.0,-48633000.0,-27842000.0,-18816000.0,-24769000.0,-20129000.0,-8589000.0,-6628021.0,-1228428.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,-388000.0,-83000.0,-450000.0,-644000.0,-352000.0,-33000.0,-17119.0,-5472.0
,acquisitionsNet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-8931000.0,-2725000.0,0.0,-24892000.0,-2434000.0,-7705000.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,8193000.0,6994000.0,20000000.0,3922000.0,4474000.0,1743000.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,netCashUsedForInvestingActivites,-738000.0,3881000.0,19917000.0,-21420000.0,1396000.0,-6314000.0,-33000.0,-17119.0,-5472.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,0.0,0.0,-193000.0,-5247000.0,-2128000.0,-206000.0,0.0,0.0,0.0
,commonStockIssued,108196000.0,0.0,0.0,0.0,0.0,0.0,41202000.0,0.0,0.0
,commonStockRepurchased,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,dividendsPaid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherFinancingActivites,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500000.0,0.0
,netCashUsedProvidedByFinancingActivities,109216000.0,67968000.0,42121000.0,47589000.0,-2171000.0,28445000.0,48305000.0,8048488.0,8881778.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,47566000.0,23216000.0,34196000.0,7353000.0,-25544000.0,2002000.0,39683000.0,1403348.0,7647878.0
,cashAtEndOfPeriod,138509000.0,90943000.0,67727000.0,33531000.0,26178000.0,51722000.0,49720000.0,10037123.0,8633775.0
,cashAtBeginningOfPeriod,90943000.0,67727000.0,33531000.0,26178000.0,51722000.0,49720000.0,10037000.0,8633775.0,985897.0
,operatingCashFlow,-60912000.0,-48633000.0,-27842000.0,-18816000.0,-24769000.0,-20129000.0,-8589000.0,-6628021.0,-1228428.0
,capitalExpenditure,0.0,-388000.0,-83000.0,-450000.0,-644000.0,-352000.0,-33000.0,-17119.0,-5472.0
,freeCashFlow,-60912000.0,-49021000.0,-27925000.0,-19266000.0,-25413000.0,-20481000.0,-8622000.0,-6645140.0,-1233900.0
