date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2009-09-30_FY,2008-09-30_FY,2007-09-30_FY,2006-09-30_FY
,revenue,113025138.0,195702831.0,120065361.0,66699700.0,30850248.0,31013892.0,38089443.0,10315701.0,1757444.0,2624.0,8269.0,0.0,0.0,0.0,0.0,0.0
,costOfRevenue,86403995.0,114756090.0,72457968.0,39648704.0,22855734.0,26602244.0,18561166.0,3968584.0,1375740.0,600.0,9892.0,0.0,0.0,0.0,0.0,0.0
,grossProfit,26621143.0,80946741.0,47607393.0,27050996.0,7994514.0,4411648.0,19528277.0,6347117.0,381704.0,2024.0,-1623.0,0.0,0.0,0.0,0.0,0.0
,grossProfitRatio,0.235532939583759,0.413620695144671,0.396512304660459,0.405563983046401,0.259139375476009,0.142247480580638,0.512695263094291,0.615287027028023,0.217192695755882,0.771341463414634,-0.196275244890555,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,16874050.0,19866706.0,12867686.0,10515887.0,8027077.0,7995395.0,6803029.0,6682760.0,2392645.0,323008.0,54424.0,117958.0,117958.0,123760.0,109177.0,0.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,17780666.0,20810413.0,13474145.0,11083855.0,8514259.0,8413779.0,6958002.0,6736441.0,2413551.0,328478.0,57349.0,122997.0,122997.0,123760.0,115130.0,0.0
,costAndExpenses,104184661.0,135566503.0,85932113.0,50732559.0,31369993.0,35016023.0,25519168.0,10705025.0,3789291.0,329078.0,67241.0,0.0,122997.0,123760.0,115130.0,28094.0
,interestExpense,17617614.0,13865556.0,427898.0,0.0,649009.0,749134.0,0.0,9890.0,218805.0,0.0,0.0,0.0,0.0,1455.0,4034.0,173.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1199.0,1199.0,1099.0,1099.0,0.0,0.0,0.0
,EBITDA,51851145.0,116354108.0,73255989.0,36776004.0,11020067.0,11180644.0,24464033.0,1919473.0,-1520752.0,-325255.0,-57773.0,-121898.0,-121898.0,-124413.0,-107213.0,-28094.0
