Date,2018-12-31,2018-12,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12-31
Depreciation & Amortization,184553000.0,174000000.0,171179000.0,167000000.0,160374000.0,154000000.0,213501000.0,205000000.0,187393000.0,182000000.0,116344000.0
Stock-based compensation,1381000.0,1000000.0,6260000.0,6000000.0,7425000.0,7000000.0,7562000.0,8000000.0,4040000.0,5000000.0,10838000.0
Operating Cash Flow,64108000.0,64000000.0,59008000.0,59000000.0,25700000.0,26000000.0,69030000.0,69000000.0,265423000.0,265000000.0,163896000.0
Capital Expenditure,0.0,-199000000.0,0.0,-246000000.0,0.0,-265000000.0,0.0,-312000000.0,-15709000.0,-476000000.0,193496000.0
Acquisitions and disposals,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,,-0.0
Investment purchases and sales,0.0,0,0.0,0,0.0,0,0.0,0,-358000.0,0,0.0
Investing Cash flow,-240893000.0,-241000000.0,-110004000.0,-110000000.0,-130862000.0,-131000000.0,-168401000.0,-168000000.0,-463903000.0,-464000000.0,-383600000.0
Issuance (repayment) of debt,-0.0,-231000000.0,-0.0,-129000000.0,-0.0,-147000000.0,-0.0,-335000000.0,-468000000.0,-468000000.0,-172000000.0
Issuance (buybacks) of shares,-58464000.0,,-11139000.0,,30804000.0,,100886000.0,,-358000.0,,148661000.0
Dividend payments,-0.0,,-3368000.0,,-1615000.0,,-0.0,,-0.0,,-0.0
Financing Cash Flow,215777000.0,216000000.0,35826000.0,36000000.0,117911000.0,118000000.0,107698000.0,108000000.0,188226000.0,188000000.0,219798000.0
Effect of forex changes on cash,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
Net cash flow / Change in cash,38992000.0,39000000.0,-15170000.0,-15000000.0,12749000.0,13000000.0,8327000.0,8000000.0,-10254000.0,-10000000.0,94000.0
Free Cash Flow,64108000.0,-135000000.0,59008000.0,-187000000.0,25700000.0,-239000000.0,69030000.0,-243000000.0,281132000.0,-211000000.0,-29600000.0
Net Cash/Marketcap,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
