date,,2018-12-31_FY,2017-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,1069000000.0,827000000.0
,depreciationAndAmortization,1272000000.0,833000000.0
,deferredIncomeTax,-149000000.0,-666000000.0
,stockBasedCompensation,-46000000.0,110000000.0
,changeInWorkingCapital,47000000.0,252000000.0
,accountsReceivables,-150000000.0,-21000000.0
,inventory,0.0,0.0
,accountsPayables,141000000.0,-226000000.0
,otherWorkingCapital,660000000.0,613000000.0
,otherNonCashItems,0.0,0.0
,netCashProvidedByOperatingActivites,2300000000.0,1050000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-1975000000.0,-1796000000.0
,acquisitionsNet,-476000000.0,-682000000.0
,purchasesOfInvestments,-250000000.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0
,otherInvestingActivites,660000000.0,759000000.0
,netCashUsedForInvestingActivites,-1565000000.0,-1037000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,0.0,0.0
,commonStockIssued,0.0,0.0
,commonStockRepurchased,-250000000.0,-719000000.0
,dividendsPaid,-56000000.0,-57000000.0
,otherFinancingActivites,-90000000.0,637000000.0
,netCashUsedProvidedByFinancingActivities,-396000000.0,-139000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,-10000000.0,11000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,339000000.0,-115000000.0
,cashAtEndOfPeriod,1058000000.0,719000000.0
,cashAtBeginningOfPeriod,719000000.0,834000000.0
,operatingCashFlow,2300000000.0,1050000000.0
,capitalExpenditure,-1975000000.0,-1796000000.0
,freeCashFlow,325000000.0,-746000000.0
