date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-115976000.0,-133746000.0,-109954000.0,-120324000.0,-97230000.0,-73294000.0,-13994000.0
,depreciationAndAmortization,3959000.0,2830000.0,3254000.0,2683000.0,1202000.0,471000.0,157000.0
,deferredIncomeTax,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,23156000.0,27243000.0,26598000.0,23364000.0,16881000.0,3513000.0,55000.0
,changeInWorkingCapital,-43002000.0,65005000.0,43384000.0,141392000.0,16040000.0,133505000.0,4071000.0
,accountsReceivables,-5630000.0,0.0,649000.0,-591000.0,931000.0,-1019000.0,0.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,855000.0,0.0,1780000.0,-1515000.0,3251000.0,-1436000.0,2191000.0
,otherWorkingCapital,360879000.0,403881000.0,338876000.0,295492000.0,154100000.0,138060000.0,4555000.0
,otherNonCashItems,27604000.0,-2928000.0,11174000.0,14200000.0,10559000.0,306000.0,749000.0
,netCashProvidedByOperatingActivites,-179843000.0,-40669000.0,-45707000.0,-9417000.0,-49926000.0,-5403000.0,-8655000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-7162000.0,-6167000.0,-4754000.0,-2059000.0,-3493000.0,-1431000.0,-1217000.0
,acquisitionsNet,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-458404000.0,-342183000.0,-459370000.0,-375266000.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,325032000.0,360500000.0,411000000.0,193500000.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,0.0,0.0,0.0,-1619000.0,0.0,0.0
,netCashUsedForInvestingActivites,-140522000.0,12252000.0,-53087000.0,-183810000.0,-5092000.0,-1431000.0,-1217000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,0.0,0.0,-857000.0,-1364000.0,-560000.0,-2080000.0,0.0
,commonStockIssued,203726000.0,116341000.0,76789000.0,154143000.0,97488000.0,6000.0,41000.0
,commonStockRepurchased,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,dividendsPaid,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherFinancingActivites,0.0,0.0,0.0,0.0,-560000.0,-1746000.0,0.0
,netCashUsedProvidedByFinancingActivities,224122000.0,131824000.0,86940000.0,154534000.0,97161000.0,139391000.0,18483000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,-96243000.0,103407000.0,-11854000.0,-38693000.0,42143000.0,132557000.0,8611000.0
,cashAtEndOfPeriod,143559000.0,239802000.0,136395000.0,148249000.0,185323000.0,143180000.0,10623000.0
,cashAtBeginningOfPeriod,239802000.0,136395000.0,148249000.0,186942000.0,143180000.0,10623000.0,2012000.0
,operatingCashFlow,-179843000.0,-40669000.0,-45707000.0,-9417000.0,-49926000.0,-5403000.0,-8655000.0
,capitalExpenditure,-7162000.0,-6167000.0,-4754000.0,-2059000.0,-3493000.0,-1431000.0,-1217000.0
,freeCashFlow,-187005000.0,-46836000.0,-50461000.0,-11476000.0,-53419000.0,-6834000.0,-9872000.0
