date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY,1992-12-31_FY,1991-12-31_FY,1990-12-31_FY
,revenue,2323817000.0,2423518000.0,2359392000.0,1921131000.0,1699195000.0,1905670000.0,1309999000.0,2222337000.0,1819232000.0,1983946000.0,1899701000.0,1997754000.0,2109178000.0,2143706000.0,2237395000.0,2209482000.0,1984282000.0,1910698000.0,1704007000.0,1542501000.0,1447859000.0,1326400000.0,1164200000.0,1031600000.0,886800000.0,757500000.0,676700000.0,617300000.0,564700000.0,539600000.0,355200000.0
,costOfRevenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,grossProfit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,grossProfitRatio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,865134000.0,917300000.0,880478000.0,747376000.0,791953000.0,777358000.0,713490000.0,794208000.0,762775000.0,584859000.0,676720000.0,706288000.0,737032000.0,668189000.0,668671000.0,622689000.0,571018000.0,526444000.0,488741000.0,425142000.0,394176000.0,386700000.0,337400000.0,306900000.0,273200000.0,249100000.0,225700000.0,215900000.0,188200000.0,180600000.0,131300000.0
,SellingAndMarketingExpenses,57608000.0,75372000.0,65918000.0,58445000.0,53014000.0,52076000.0,54016000.0,60476000.0,61576000.0,44421000.0,0.0,0.0,0.0,115388000.0,129965000.0,100434000.0,75708000.0,73277000.0,61451000.0,50783000.0,46791000.0,45900000.0,39400000.0,33600000.0,26200000.0,17800000.0,16300000.0,16600000.0,12500000.0,10700000.0,9000000.0
,otherExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-640802000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
