Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31
Depreciation & Amortization,1285000.0,1872000.0,6402000.0,16778.0,0.0
Stock-based compensation,4057000.0,5583000.0,3792000.0,0.0,0.0
Operating Cash Flow,-37190000.0,-31970000.0,-29661000.0,-34724.0,0.0
Capital Expenditure,1552000.0,877000.0,173000.0,0.0,0.0
Acquisitions and disposals,-0.0,-0.0,-0.0,-0.0,-0.0
Investment purchases and sales,0.0,0.0,0.0,0.0,0.0
Investing Cash flow,-1552000.0,-692000.0,-39000.0,8643.0,8643.0
Issuance (repayment) of debt,-0.0,-0.0,-0.0,-0.0,-0.0
Issuance (buybacks) of shares,10004000.0,22831000.0,15529000.0,5082.0,-8643.0
Dividend payments,-0.0,-0.0,-0.0,-0.0,-0.0
Financing Cash Flow,60539000.0,48757000.0,36777000.0,45699.0,0.0
Effect of forex changes on cash,0.0,0.0,0.0,0.0,0.0
Net cash flow / Change in cash,47758000.0,16095000.0,7077000.0,19618.0,8643.0
Free Cash Flow,-38742000.0,-32847000.0,-29834000.0,-34724.0,0.0
Net Cash/Marketcap,0.0,0.0,0.0,0.0,0.0
