date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,5900000.0,-95100000.0,44000000.0,46400000.0,-381800000.0,87500000.0,134500000.0,131000000.0,126900000.0
,depreciationAndAmortization,41100000.0,38300000.0,58700000.0,61200000.0,64700000.0,61900000.0,65800000.0,69900000.0,67300000.0
,deferredIncomeTax,27500000.0,11400000.0,9100000.0,-31900000.0,-102000000.0,-25400000.0,22400000.0,-10300000.0,-26300000.0
,stockBasedCompensation,9500000.0,12500000.0,15700000.0,15900000.0,18900000.0,5400000.0,0.0,0.0,0.0
,changeInWorkingCapital,-124200000.0,208400000.0,-13300000.0,-43400000.0,21800000.0,-81200000.0,-61400000.0,535600000.0,-20700000.0
,accountsReceivables,26400000.0,61600000.0,-2000000.0,48600000.0,22900000.0,47400000.0,64400000.0,35400000.0,-144500000.0
,inventory,18900000.0,10100000.0,-18800000.0,1100000.0,18400000.0,-2500000.0,-9600000.0,13100000.0,63200000.0
,accountsPayables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,442300000.0,566500000.0,358100000.0,371400000.0,414800000.0,393000000.0,474200000.0,535600000.0,0.0
,otherNonCashItems,400000.0,1000000.0,-4500000.0,-18200000.0,-45000000.0,28300000.0,600000.0,1600000.0,-600000.0
,netCashProvidedByOperatingActivites,112700000.0,173300000.0,105600000.0,205000000.0,-27900000.0,213600000.0,302600000.0,263300000.0,150600000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,acquisitionsNet,-5000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2900000.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,5800000.0,5000000.0,0.0,37200000.0,4000000.0,12200000.0,6700000.0,-725700000.0,12400000.0
,netCashUsedForInvestingActivites,-21900000.0,-23500000.0,-25500000.0,17800000.0,-40000000.0,-44800000.0,-34000000.0,-752000000.0,-45300000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-308800000.0,-263900000.0,-306500000.0,-472600000.0,-1088200000.0,-180400000.0,-10600000.0,-25500000.0,-41400000.0
,commonStockIssued,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,commonStockRepurchased,-19900000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,dividendsPaid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherFinancingActivites,-32700000.0,-12500000.0,-7800000.0,-5500000.0,-20600000.0,-461800000.0,-292900000.0,263200000.0,33200000.0
,netCashUsedProvidedByFinancingActivities,-361700000.0,-55800000.0,-136300000.0,-218600000.0,21100000.0,-68100000.0,-297800000.0,388300000.0,1800000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,13500000.0,2600000.0,5600000.0,44400000.0,-34000000.0,-21400000.0,-12000000.0,-4800000.0,5200000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,138200000.0,89100000.0,-50600000.0,48600000.0,-80800000.0,79300000.0,-41200000.0,-105200000.0,112300000.0
,cashAtEndOfPeriod,441600000.0,303400000.0,214300000.0,263700000.0,215100000.0,295900000.0,216600000.0,257800000.0,363000000.0
,cashAtBeginningOfPeriod,303400000.0,214300000.0,264900000.0,215100000.0,295900000.0,216600000.0,257800000.0,363000000.0,250700000.0
,operatingCashFlow,112700000.0,173300000.0,105600000.0,205000000.0,-27900000.0,213600000.0,302600000.0,263300000.0,150600000.0
,capitalExpenditure,-22400000.0,-28500000.0,-25500000.0,-19400000.0,-44000000.0,-57000000.0,-40700000.0,-23400000.0,-26300000.0
,freeCashFlow,90300000.0,144800000.0,80100000.0,185600000.0,-71900000.0,156600000.0,261900000.0,239900000.0,124300000.0
