Date,2017-12-31,2017-12,2017-01-01,2016-12,2016-01-03,2015-12,2014-12,2013-12
Cash and cash equivalents,38342000.0,38000000.0,31275000.0,31000000.0,24919000.0,25000000.0,19000000.0,16000000.0
Short-term investments,0.0,,0.0,,0.0,,,
Cash and short-term investments,38342000.0,,31275000.0,,24919000.0,,,
Receivables,10646000.0,11000000.0,10082000.0,10000000.0,9198000.0,9000000.0,10000000.0,11000000.0
Inventories,5017000.0,5000000.0,4647000.0,5000000.0,4586000.0,5000000.0,5000000.0,6000000.0
Total current assets,60165000.0,482000000.0,51227000.0,471000000.0,47761000.0,440000000.0,438000000.0,444000000.0
Property Plant & Equipment Net,173545000.0,174000000.0,158850000.0,159000000.0,136687000.0,137000000.0,113000000.0,108000000.0
Goodwill and Intangible Assets,303872000.0,305000000,307101000.0,308000000,298327000.0,299000000,320000000,332000000
Long-term investments,0.0,,0.0,,0.0,,,
Tax assets,92000.0,0000000.0,344000.0,0000000.0,2918000.0,0000000.0,000000.0,000000.0
Total non-current assets,482448000.0,181000000.0,471168000.0,196000000.0,439734000.0,203000000.0,282000000.0,286000000.0
Total assets,542613000.0,543000000.0,522395000.0,522000000.0,487495000.0,487000000.0,477000000.0,482000000.0
Payables,35628000.0,11000000.0,29457000.0,10000000.0,28907000.0,15000000.0,11000000.0,18000000.0
Short-term debt,0.0,000000.0,0.0,000000.0,0.0,000000.0,5000000.0,2000000.0
Total current liabilities,43015000.0,43000000.0,35801000.0,36000000.0,34071000.0,34000000.0,41000000.0,46000000.0
Long-term debt,138000000.0,138000000.0,150000000.0,150000000.0,165000000.0,165000000.0,238000000.0,250000000.0
Total debt,138000000.0,138000000.0,150000000.0,150000000.0,165000000.0,165000000.0,238000000.0,250000000.0
Deferred revenue,7387000.0,7000000.0,6344000.0,6000000.0,5164000.0,5000000.0,5000000.0,5000000.0
Tax Liabilities,0.0,14000000.0,0.0,22000000.0,0.0,16000000.0,30000000.0,26000000.0
Deposit Liabilities,0.0,,0.0,,0.0,,,
Total non-current liabilities,178824000.0,181000000.0,193735000.0,196000000.0,200870000.0,203000000.0,282000000.0,286000000.0
Total liabilities,223604000.0,224000000.0,231751000.0,232000000.0,236884000.0,237000000.0,323000000.0,332000000.0
Other comprehensive income,276021000,-46000000.0,275518999.99,-45000000.0,274344000,-59000000.0,-30000000.0,-15000000.0
Retained earnings (deficit),88677000.0,89000000.0,59888000.0,60000000.0,35451000.0,35000000.0,8000000.0,-10000000.0
Total shareholders equity,319009000.0,319000000.0,290644000.0,291000000.0,250611000.0,251000000.0,154000000.0,150000000.0
Investments,0.0,,0.0,,0.0,,,
Net Debt,99658000.0,100000000,118725000.0,119000000,140081000.0,140000000,224000000,236000000
Other Assets,0.0,6000000,0.0,5000000,0.0,7000000,4000000,4000000
Other Liabilities,1765000.0,36000000,2215000.0,30000000,1943000.0,29000000,22000000,20000000
