date,,2019-12-28_FY,2018-12-29_FY,2017-12-30_FY,2016-12-31_FY,2016-01-02_FY,2015-01-03_FY,2013-12-28_FY,2012-12-29_FY,2011-12-31_FY,2011-04-02_FY,2011-01-01_FY,2010-01-02_FY,2009-01-03_FY,2007-12-29_FY,2006-12-31_FY,2006-12-30_FY,2005-12-31_FY,2005-01-01_FY,2004-01-03_FY,2002-12-28_FY,2001-12-29_FY,2000-12-30_FY,2000-01-01_FY,1999-01-02_FY,1998-01-03_FY,1996-12-28_FY,1995-12-30_FY,1994-12-31_FY
,revenue,14442200000.0,13982400000.0,12966600000.0,11406900000.0,11171800000.0,11339000000.0,11001000000.0,10191000000.0,10376400000.0,0.0,8410000000.0,3737000000.0,4426000000.0,4484000000.0,4018600000.0,4019000000.0,3285300000.0,3043000000.0,2678000000.0,2593000000.0,2624000000.0,2749000000.0,2752000000.0,2729000000.0,2670000000.0,2671000000.0,2624000000.0,2510900000.0
,costOfRevenue,9596700000.0,9065300000.0,8141300000.0,7139700000.0,7099800000.0,7236000000.0,7068000000.0,6486000000.0,6582900000.0,0.0,5461000000.0,2229000000.0,2755000000.0,2792000000.0,2560100000.0,2560000000.0,2104000000.0,1931000000.0,1785000000.0,1757000000.0,1701000000.0,1752000000.0,1814000000.0,1793000000.0,1783000000.0,1796000000.0,1790000000.0,1602200000.0
,grossProfit,4845500000.0,4917100000.0,4825300000.0,4267200000.0,4072000000.0,4103000000.0,3933000000.0,3705000000.0,3793500000.0,0.0,2949000000.0,1508000000.0,1671000000.0,1692000000.0,1458500000.0,1459000000.0,1181300000.0,1112000000.0,893000000.0,836000000.0,923000000.0,997000000.0,938000000.0,936000000.0,886000000.0,875000000.0,835000000.0,908700000.0
,grossProfitRatio,0.335509825372866,0.35166351985353,0.372133018678759,0.374089366962102,0.36448916020695,0.361848487520945,0.357512953367876,0.363556078893141,0.365589221695386,0.0,0.350653983353151,0.403532245116404,0.377541798463624,0.377341659232828,0.362937341362664,0.363025628265738,0.359571424223054,0.365428853105488,0.333457804331591,0.322406478981874,0.351753048780488,0.362677337213532,0.340843023255814,0.342982777574203,0.331835205992509,0.327592661924373,0.318216463414634,0.36190210681429
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,255200000.0,275800000.0,252300000.0,0.0,188000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,2646800000.0,2737900000.0,2708900000.0,2602000000.0,2298400000.0,2596000000.0,2715000000.0,2520000000.0,2536000000.0,0.0,2169000000.0,1028000000.0,1108000000.0,1058000000.0,955200000.0,955000000.0,736800000.0,694000000.0,638000000.0,547000000.0,594000000.0,657000000.0,703000000.0,685000000.0,628000000.0,609000000.0,592000000.0,560400000.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,215000000.0,196000000.0,257900000.0,-196900000.0,222000000.0,240000000.0,287000000.0,302000000.0,0.0,0.0,200000000.0,139000000.0,104000000.0,90000000.0,0.0,58000000.0,0.0,47000000.0,41000000.0,-8000000.0,-5000000.0,20000000.0,-3000000.0,13000000.0,22000000.0,22000000.0,14000000.0,0.0
,operatingExpenses,3481000000.0,3702800000.0,3166500000.0,2623900000.0,2756000000.0,2854000000.0,3199000000.0,3043000000.0,2829400000.0,0.0,2611000000.0,1164000000.0,1297000000.0,1161000000.0,955200000.0,1027000000.0,736800000.0,749000000.0,732000000.0,539000000.0,661000000.0,676000000.0,679000000.0,698000000.0,889000000.0,678000000.0,691000000.0,642200000.0
,costAndExpenses,13077700000.0,12768100000.0,11307800000.0,9763600000.0,9855800000.0,10090000000.0,10267000000.0,9529000000.0,9412300000.0,0.0,8072000000.0,3393000000.0,4052000000.0,3953000000.0,3515300000.0,3587000000.0,2840800000.0,2680000000.0,2517000000.0,2296000000.0,2362000000.0,2428000000.0,2493000000.0,2491000000.0,2672000000.0,2474000000.0,2481000000.0,2244400000.0
,interestExpense,-284000000.0,277900000.0,222600000.0,194500000.0,180400000.0,177200000.0,160400000.0,144200000.0,140300000.0,0.0,-101000000.0,-63000000.0,-82000000.0,-85000000.0,0.0,-65000000.0,0.0,-38000000.0,-34000000.0,-25000000.0,-26000000.0,-27000000.0,-28000000.0,-23000000.0,-17000000.0,-23000000.0,-30000000.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,560200000.0,506500000.0,460700000.0,408000000.0,414000000.0,449800000.0,441300000.0,445300000.0,410100000.0,0.0,348700000.0,200100000.0,183000000.0,162200000.0,121200000.0,121200000.0,96500000.0,95000000.0,86500000.0,71200000.0,82900000.0,83300000.0,85600000.0,79700000.0,72400000.0,74700000.0,81200000.0,81800000.0
,EBITDA,1924700000.0,1720800000.0,2119500000.0,2051300000.0,1730000000.0,1697800000.0,1175300000.0,1107300000.0,1374200000.0,0.0,686700000.0,544100000.0,557000000.0,693200000.0,624500000.0,553200000.0,541000000.0,459000000.0,247500000.0,368200000.0,344900000.0,404300000.0,344600000.0,318700000.0,70400000.0,271700000.0,224200000.0,348300000.0
,EBITDARatio,0.13326916951711,0.123069001029866,0.163458423950766,0.179829752167548,0.154854186433699,0.149731016844519,0.106835742205254,0.108654695319399,0.13243514128214,0.0,0.0816527942925089,0.145598073320846,0.125847266154541,0.154594112399643,0.155402378937939,0.137646180641951,0.164672937022494,0.150837988826816,0.092419716206124,0.141997686077902,0.131440548780488,0.147071662422699,0.125218023255814,0.116782704287285,0.0263670411985019,0.101722201422688,0.0854420731707317,0.138715201720499
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,1364500000.0,1214300000.0,1658800000.0,1643300000.0,1316000000.0,1248000000.0,734000000.0,662000000.0,964100000.0,0.0,338000000.0,344000000.0,374000000.0,531000000.0,503300000.0,432000000.0,444500000.0,364000000.0,161000000.0,297000000.0,262000000.0,321000000.0,259000000.0,239000000.0,-2000000.0,197000000.0,143000000.0,266500000.0
,operatingIncomeRatio,0.0944800653640027,0.086844890719762,0.127928678296546,0.144061927429889,0.11779659499812,0.110062615750948,0.0667212071629852,0.0649592777941321,0.0929127635788906,0.0,0.0401902497027348,0.092052448488092,0.0845006778129236,0.118421052631579,0.12524262180859,0.107489425230157,0.135299668219036,0.119618797239566,0.0601194921583271,0.114539143848824,0.0998475609756098,0.116769734448891,0.0941133720930233,0.0875778673506779,-0.000749063670411985,0.0737551478846874,0.0544969512195122,0.106137241626508
,totalOtherIncomeExpensesNet,0.0,0.0,0.0,-245900000.0,0.0,240000000.0,287000000.0,302000000.0,-71000000.0,0.0,200000000.0,139000000.0,104000000.0,90000000.0,-71300000.0,58000000.0,-52500000.0,47000000.0,41000000.0,-8000000.0,-5000000.0,20000000.0,-3000000.0,13000000.0,22000000.0,22000000.0,14000000.0,-35700000.0
,incomeBeforeTax,1130000000.0,1022100000.0,1527800000.0,1226100000.0,1150800000.0,1085000000.0,587000000.0,528000000.0,779800000.0,0.0,237000000.0,283000000.0,301000000.0,451000000.0,367100000.0,367000000.0,358200000.0,329000000.0,133000000.0,273000000.0,237000000.0,294000000.0,231000000.0,215000000.0,-19000000.0,174000000.0,113000000.0,201800000.0
,incomeBeforeTaxRatio,0.0782429269778843,0.0730990387916238,0.117825798590224,0.107487573310891,0.103009362860058,0.0956874503924508,0.0533587855649486,0.0518104209596703,0.0751513048841602,0.0,0.0281807372175981,0.0757291945410757,0.0680072300045187,0.100579839429081,0.0913502214701637,0.0913162478228415,0.109031138708794,0.108116989812685,0.049663928304705,0.105283455457,0.0903201219512195,0.106947981084031,0.0839389534883721,0.0787834371564676,-0.00711610486891386,0.0651441407712467,0.0430640243902439,0.0803695885937313
,incomeTaxExpense,160800000.0,216700000.0,277300000.0,261200000.0,248600000.0,227000000.0,69000000.0,79000000.0,88600000.0,0.0,39000000.0,55000000.0,76000000.0,115000000.0,76400000.0,76000000.0,86500000.0,89000000.0,36000000.0,88000000.0,78000000.0,99000000.0,81000000.0,78000000.0,23000000.0,77000000.0,54000000.0,76500000.0
,netIncome,955800000.0,605200000.0,1227300000.0,965300000.0,883700000.0,761000000.0,490000000.0,884000000.0,674600000.0,0.0,198000000.0,224000000.0,313000000.0,337000000.0,289500000.0,290000000.0,269600000.0,367000000.0,108000000.0,185000000.0,158000000.0,194000000.0,150000000.0,138000000.0,-42000000.0,97000000.0,59000000.0,125300000.0
,netIncomeRatio,0.0661810527481963,0.0432829843231491,0.0946508722409884,0.0846242186746618,0.0791009506077803,0.0671135020724932,0.0445414053267885,0.0867432047885389,0.0650129139200493,0.0,0.0235434007134364,0.0599411292480599,0.0707184816990511,0.0751561106155219,0.0720400139352013,0.0721572530480219,0.0820625209265516,0.120604666447585,0.0403286034353996,0.0713459313536444,0.0602134146341463,0.0705711167697344,0.0545058139534884,0.0505679736167094,-0.0157303370786517,0.0363159865219019,0.022484756097561,0.0499024254251464
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EPS,6.34838,3.99095,8.05056,6.61,5.78694,4.75625,3.08176,5.29341,4.06,0.0,1.32,2.8,3.9125,4.0119,3.54,3.45238,3.23,4.36905,1.27059,2.10227,1.81609,2.20455,1.66667,1.53333,-0.47191,1.07778,0.65556,1.4
,EPSDiluted,6.34838,3.99095,8.05056,6.51,5.78694,4.75625,3.08176,5.29341,3.97,0.0,1.32,2.8,3.9125,4.0119,3.46,3.45238,3.16,4.36905,1.27059,2.10227,1.81609,2.20455,1.66667,1.53333,-0.47191,1.07778,0.65556,1.39812541843339
,weightedAverageShsOut,150558000.0,151643000.0,152449000.0,146041000.0,152706000.0,160000000.0,159000000.0,167000000.0,165832000.0,150000000.0,150000000.0,80000000.0,80000000.0,84000000.0,81779661.0,84000000.0,83467492.0,84000000.0,85000000.0,88000000.0,87000000.0,88000000.0,90000000.0,90000000.0,89000000.0,90000000.0,90000000.0,89500000.0
,weightedAverageShsOutDil,150558000.0,151643000.0,152449000.0,148207000.0,152706000.0,160000000.0,159000000.0,167000000.0,170105000.0,150000000.0,150000000.0,80000000.0,80000000.0,84000000.0,83670520.0,84000000.0,85316456.0,84000000.0,85000000.0,88000000.0,87000000.0,88000000.0,90000000.0,90000000.0,89000000.0,90000000.0,90000000.0,89620000.0
