date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY,1992-12-31_FY,1991-12-31_FY,1990-12-31_FY,1989-12-31_FY,1988-12-31_FY,1987-12-31_FY,1986-12-31_FY
,revenue,993198000.0,973759000.0,947870000.0,780934000.0,902244000.0,949432000.0,1164704000.0,1081790000.0,1109440000.0,1274274000.0,1393603000.0,1344089000.0,996087000.0,923227000.0,908800000.0,788124000.0,836454000.0,789866000.0,780071000.0,803808000.0,794625000.0,589594000.0,373341000.0,252080000.0,182089000.0,131418000.0,107831000.0,39900000.0,17700000.0,16800000.0,15400000.0,15800000.0,9300000.0,8200000.0,5900000.0
,costOfRevenue,283910000.0,316670000.0,352253000.0,263003000.0,306531000.0,357715000.0,497232000.0,460588000.0,521648000.0,731377000.0,802856000.0,750316000.0,348152000.0,0.0,36929000.0,40922000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5700000.0,5900000.0,5000000.0,4300000.0,2900000.0,2600000.0,2100000.0
,grossProfit,709288000.0,657089000.0,595617000.0,517931000.0,595713000.0,591717000.0,667472000.0,621202000.0,587792000.0,542897000.0,590747000.0,593773000.0,647935000.0,0.0,871871000.0,747202000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12000000.0,10700000.0,10400000.0,11600000.0,6400000.0,5500000.0,3900000.0
,grossProfitRatio,0.714145618497017,0.674796330508884,0.628374144133689,0.663219939201008,0.660257092316491,0.623232627507815,0.573082946396681,0.574235295205169,0.529809633689068,0.426044163186253,0.423899058770683,0.441766133046249,0.650480329529449,0.0,0.959365096830986,0.948076698590577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.677966101694915,0.636904761904762,0.675324675324675,0.734177215189873,0.688172043010753,0.670731707317073,0.661016949152542
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,62404000.0,60889000.0,56218000.0,54944000.0,55389000.0,58565000.0,49362000.0,42673000.0,46424000.0,0.0,50532000.0,0.0,0.0,37680000.0,35834000.0,27835000.0,26390000.0,22144000.0,25353000.0,15559000.0,21144000.0,16556000.0,11573000.0,6530000.0,4719000.0,2169000.0,2145000.0,3400000.0,600000.0,600000.0,500000.0,500000.0,300000.0,300000.0,300000.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,4312000.0,2259000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,435918000.0,405832000.0,372027000.0,331059000.0,377071000.0,381841000.0,434003000.0,435653000.0,423022000.0,374794000.0,400827000.0,397315000.0,350785000.0,643571000.0,547513000.0,495102000.0,673423000.0,605177000.0,556078000.0,526551000.0,554022000.0,392885000.0,251752000.0,167717000.0,126214000.0,91141000.0,77029000.0,-19200000.0,12700000.0,12700000.0,11700000.0,11500000.0,3800000.0,2900000.0,2400000.0
,costAndExpenses,719828000.0,722502000.0,724280000.0,594062000.0,683602000.0,739556000.0,931235000.0,896241000.0,944670000.0,1106171000.0,1203683000.0,1147631000.0,698937000.0,643571000.0,584442000.0,536024000.0,673423000.0,605177000.0,556078000.0,526551000.0,554022000.0,392885000.0,251752000.0,167717000.0,126214000.0,91141000.0,77029000.0,-19200000.0,18400000.0,18600000.0,16700000.0,15800000.0,6700000.0,5500000.0,4500000.0
,interestExpense,93442000.0,89756000.0,85006000.0,87003000.0,141576000.0,173574000.0,219613000.0,228895000.0,245170000.0,223053000.0,239383000.0,220239000.0,195148000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,353013000.0,327223000.0,312217000.0,273561000.0,317818000.0,317329000.0,384412000.0,393450000.0,375965000.0,330450000.0,349064000.0,338975000.0,311279000.0,271623000.0,244129000.0,226503000.0,224649000.0,193441000.0,174902000.0,159714000.0,159888000.0,110764000.0,68766000.0,44806000.0,32571000.0,24337000.0,18036000.0,7400000.0,4000000.0,3800000.0,3500000.0,3200000.0,1900000.0,1700000.0,1400000.0
,EBITDA,626383000.0,578480000.0,535807000.0,460433000.0,536460000.0,527205000.0,617881000.0,578999000.0,540735000.0,498553000.0,538984000.0,535433000.0,608429000.0,551279000.0,568487000.0,478603000.0,387680000.0,378130000.0,398895000.0,436971000.0,400491000.0,307473000.0,190355000.0,129169000.0,88446000.0,64614000.0,48838000.0,66500000.0,3300000.0,2000000.0,2200000.0,2900000.0,4600000.0,4300000.0,2900000.0
,EBITDARatio,0.63067283663479,0.594068963675817,0.565274773966894,0.589592718462764,0.594584170135795,0.55528463333867,0.530504746270297,0.535223102450568,0.487394541390251,0.39124474014223,0.386755769038959,0.398361269231427,0.610819135276336,0.59712183460839,0.625535871478873,0.607268653156102,0.463480358752543,0.478726771376411,0.511357299527863,0.543626089812492,0.504,0.521499540361673,0.509868993761735,0.512412726118692,0.485729505900961,0.491667808062822,0.452912427780508,1.66666666666667,0.186440677966102,0.119047619047619,0.142857142857143,0.183544,0.494623655913978,0.524390243902439,0.491525423728814
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,273370000.0,251257000.0,223590000.0,186872000.0,218642000.0,209876000.0,233469000.0,185549000.0,164770000.0,168103000.0,189920000.0,196458000.0,297150000.0,279656000.0,324358000.0,252100000.0,163031000.0,184689000.0,223993000.0,277257000.0,240603000.0,196709000.0,121589000.0,84363000.0,55875000.0,40277000.0,30802000.0,59100000.0,-700000.0,-1800000.0,-1300000.0,0.0,2700000.0,2600000.0,1500000.0
,operatingIncomeRatio,0.275242197426898,0.25802791039672,0.235886777722683,0.239292949212097,0.242331342740988,0.221054272449212,0.200453505783444,0.17152035053014,0.148516368618402,0.131920607341906,0.13627984440332,0.146164428099627,0.298317315656163,0.302911418318572,0.35690801056338,0.319873522440631,0.194907311101388,0.233823205455103,0.287144375319682,0.344929386122059,0.302788107597924,0.333634670637761,0.325678133395475,0.33466756585211,0.306855438823872,0.306480086441736,0.285650694141759,1.4812030075188,-0.0395480225988701,-0.107142857142857,-0.0844155844155844,0.0,0.290322580645161,0.317073170731707,0.254237288135593
,totalOtherIncomeExpensesNet,115888000.0,269443000.0,236378000.0,175645000.0,231581000.0,144308000.0,210023000.0,97925000.0,-8003000.0,50061000.0,77279000.0,-260583000.0,-9745000.0,23628000.0,0.0,-1207000.0,-5043000.0,15040000.0,182000.0,43126000.0,57094000.0,8922000.0,1046000.0,692000.0,4532000.0,283000.0,0.0,0.0,100000.0,200000.0,700000.0,-300000.0,-1800000.0,-600000.0,-300000.0
,incomeBeforeTax,297537000.0,440885000.0,392196000.0,290235000.0,312682000.0,185277000.0,225125000.0,56466000.0,-87889000.0,-4231000.0,28350000.0,-283135000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-700000.0,-1600000.0,-600000.0,-300000.0,900000.0,2000000.0,1200000.0
,incomeBeforeTaxRatio,0.299574707158089,0.452766033484671,0.413765600768038,0.371651125447221,0.346560353961899,0.195145097279215,0.193289453801137,0.0521968219340168,-0.0792192457456014,-0.00332032200296012,0.0203429527634484,-0.210651973195227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0395480225988701,-0.0952380952380952,-0.038961038961039,-0.0189873417721519,0.0967741935483871,0.24390243902439,0.203389830508475
