date,,2020-09-30_FY,2019-09-30_FY,2018-09-30_FY,2017-09-30_FY,2016-09-30_FY,2015-09-30_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,113649000.0,-9523000.0,6135000.0,2163000.0,11639000.0,-86051000.0
,depreciationAndAmortization,107268000.0,98236000.0,85860000.0,77886000.0,69289000.0,58139000.0
,deferredIncomeTax,-1234000.0,1948000.0,-6232000.0,1273000.0,-21215000.0,45254000.0
,stockBasedCompensation,10509000.0,19903000.0,15742000.0,2251000.0,1999000.0,1587000.0
,changeInWorkingCapital,-1303000.0,34231000.0,60500000.0,86867000.0,-98640000.0,157000.0
,accountsReceivables,-6844000.0,-13235000.0,-3139000.0,-44047000.0,-3973000.0,9496000.0
,inventory,-7604000.0,-1469000.0,-12051000.0,-5948000.0,2484000.0,-44000.0
,accountsPayables,8017000.0,9408000.0,24945000.0,4707000.0,15682000.0,-14941000.0
,otherWorkingCapital,3766000.0,315072000.0,280841000.0,220341000.0,133474000.0,232114000.0
,otherNonCashItems,4026000.0,2612000.0,8073000.0,8511000.0,4121000.0,3514000.0
,netCashProvidedByOperatingActivites,158358000.0,125196000.0,81017000.0,28502000.0,31919000.0,41944000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-94985000.0,-95295000.0,-82663000.0,-62689000.0,-47976000.0,-48784000.0
,acquisitionsNet,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,0.0,0.0,0.0,0.0,0.0
,netCashUsedForInvestingActivites,11992000.0,-94532000.0,-207035000.0,-134895000.0,-344610000.0,-46866000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-130572000.0,-320709000.0,-252944000.0,-431380000.0,-82144000.0,-6700000.0
,commonStockIssued,18927000.0,363000.0,137605000.0,5521000.0,10282000.0,847000.0
,commonStockRepurchased,0.0,0.0,-230000.0,-1474000.0,-723000.0,-410000.0
,dividendsPaid,0.0,0.0,0.0,0.0,0.0,0.0
,otherFinancingActivites,-2360000.0,-5116000.0,-18060000.0,-4750000.0,4270000.0,0.0
,netCashUsedProvidedByFinancingActivities,-89449000.0,5744000.0,150641000.0,114519000.0,191389000.0,-6263000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,2219000.0,-1601000.0,-1512000.0,766000.0,2637000.0,-5225000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,83120000.0,27516000.0,23111000.0,8892000.0,-118665000.0,-16410000.0
,cashAtEndOfPeriod,193001000.0,109881000.0,82365000.0,59254000.0,50362000.0,169027000.0
,cashAtBeginningOfPeriod,109881000.0,82365000.0,59254000.0,50362000.0,169027000.0,185437000.0
,operatingCashFlow,158358000.0,125196000.0,81017000.0,28502000.0,31919000.0,41944000.0
,capitalExpenditure,-94985000.0,-95295000.0,-82663000.0,-62689000.0,-47976000.0,-48784000.0
,freeCashFlow,63373000.0,29901000.0,-1646000.0,-34187000.0,-16057000.0,-6840000.0
