date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,129085000.0,-72240000.0,-80330000.0,62971000.0,-103023000.0,-32231000.0,-68375000.0,-83478551.0,-53552002.0,-19769851.0,-53241650.0,-58360523.0,-48654199.0,-23896183.0,-14751986.0,-13275373.0,-9091376.0,-79091.0,-65263.0,-39652.0
,depreciationAndAmortization,3284000.0,4068000.0,2388000.0,2161000.0,2410000.0,1677000.0,1762000.0,1226927.0,1079424.0,1095823.0,1507925.0,1443738.0,1047878.0,576491.0,243999.0,206348.0,123350.0,0.0,0.0,0.0
,deferredIncomeTax,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,17204000.0,34776000.0,35696000.0,30670000.0,25585000.0,20838000.0,15274000.0,9538056.0,8348587.0,5569899.0,4866325.0,4526030.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-108366000.0,179311000.0,-100556000.0,177097000.0,92632000.0,-27675000.0,67247638.0,-42339420.0,65396125.0,-27469711.0,14110574.0,250424.0,-32518567.0,50969927.0,23540206.0,3236595.0,14556145.0,-76751.0,7145.0,3289.0
,accountsReceivables,-38288000.0,-29437000.0,11613000.0,-6453000.0,16730000.0,-23261000.0,-52000.0,6606003.0,-13440622.0,65803.0,1915641.0,3020501.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,-31388000.0,-6734000.0,-17480000.0,9477000.0,-5134000.0,-3083000.0,-236000.0,-3499286.0,-2103433.0,-373841.0,966129.0,-718228.0,262145.0,-260976.0,-163534.0,-227136.0,-51821.0,0.0,0.0,0.0
,accountsPayables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,0.0,457799000.0,278488000.0,379044000.0,201947000.0,109315000.0,136990000.0,69742362.0,112081782.0,46685657.0,74155368.0,60044794.0,59794370.0,92312937.0,41343010.0,17802804.0,14566209.0,10064.0,86815.0,0.0
,otherNonCashItems,13603000.0,-1978000.0,1697000.0,17820000.0,7107000.0,1243000.0,2025000.0,155809.0,8625.0,0.0,0.0,0.0,3695842.0,2580204.0,1283889.0,0.0,0.0,2340.0,2340.0,1990.0
,netCashProvidedByOperatingActivites,55454000.0,-85423000.0,-49500000.0,134053000.0,-50383000.0,-37083000.0,-47518000.0,-49339479.0,-64329296.0,-34350425.0,-45385506.0,-40148265.0,-35373864.0,-147660.0,7079563.0,-12996229.0,-7717656.0,-49732.0,-55778.0,-34373.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-2504000.0,-4040000.0,-4663000.0,-1350000.0,-3137000.0,-2360000.0,-1368000.0,-2297518.0,-1412585.0,-828508.0,-646544.0,-1461021.0,-1159744.0,-2365326.0,-364799.0,-350891.0,-227951.0,0.0,0.0,0.0
,acquisitionsNet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-226185000.0,-389759000.0,-311112000.0,-398187000.0,-155412000.0,-71482000.0,-88884000.0,-48946616.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,305967000.0,388250000.0,318268000.0,235805000.0,81783000.0,79730000.0,57301000.0,3375000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,netCashUsedForInvestingActivites,78354000.0,-5549000.0,2493000.0,-163732000.0,-76766000.0,5888000.0,-32951000.0,-47869134.0,-1412585.0,-828508.0,-646544.0,-1461021.0,-1159744.0,-2365326.0,-364799.0,-350891.0,-227951.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-19560000.0,-108082000.0,-77516000.0,-15995000.0,-54250000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,commonStockIssued,0.0,0.0,0.0,134874000.0,0.0,0.0,107713000.0,0.0,81476845.0,0.0,59965059.0,38174371.0,2570429.0,56002668.0,18342445.0,16471600.0,15579595.0,0.0,126900.0,60500.0
,commonStockRepurchased,-150117000.0,-199998000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,dividendsPaid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherFinancingActivites,0.0,-279000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7870146.0,0.0,0.0,0.0
,netCashUsedProvidedByFinancingActivities,-106284000.0,153215000.0,-63797000.0,131655000.0,150621000.0,13098000.0,114501000.0,25064296.0,112817618.0,4748612.0,61823392.0,45357886.0,2570429.0,56002668.0,18342445.0,16471600.0,23449741.0,0.0,126900.0,60500.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
