Date,2018-12-31,2017-12-31
Depreciation & Amortization,278000.0,161000.0
Stock-based compensation,183000.0,93000.0
Operating Cash Flow,-20044000.0,-10357000.0
Capital Expenditure,-788000.0,-385000.0
Acquisitions and disposals,0.0,0.0
Investment purchases and sales,0.0,0.0
Investing Cash flow,-788000.0,-385000.0
Issuance (repayment) of debt,5000000.0,0.0
Issuance (buybacks) of shares,0.0,68000.0
Dividend payments,0.0,0.0
Financing Cash Flow,22337000.0,8068000.0
Effect of forex changes on cash,0.0,0.0
Net cash flow / Change in cash,1505000.0,-2674000.0
Free Cash Flow,-20832000.0,-10742000.0
Net Cash/Marketcap,-0.0043,-0.0043
