Date,2018-12-31,2018-12,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12-31
Cash and cash equivalents,58464000.0,58000000.0,19472000.0,19000000.0,34642000.0,35000000.0,21893000.0,22000000.0,13566000.0,14000000.0,23820000.0
Short-term investments,5003000.0,,3474000.0,,24100000.0,,124207000.0,,121519000.0,,8837000.0
Cash and short-term investments,63467000.0,,22946000.0,,58742000.0,,146100000.0,,135085000.0,,32657000.0
Receivables,33954000.0,59000000.0,34492000.0,67000000.0,26568000.0,38000000.0,19292000.0,46000000.0,49861000.0,104000000.0,51233000.0
Inventories,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
Total current assets,130131000.0,275000000.0,104701000.0,1605000000.0,99322000.0,1787000000.0,194504000.0,1751000000.0,242742000.0,1750000000.0,130279000.0
Property Plant & Equipment Net,271846000.0,273000000.0,1597040000.0,1600000000.0,1743588000.0,1747000000.0,1635766000.0,1640000000.0,1638860000.0,1643000000.0,1312551000.0
Goodwill and Intangible Assets,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Long-term investments,1415000.0,,172000.0,,34744000.0,,93302000.0,,87055000.0,,25398000.0
Tax assets,129000.0,000000.0,0.0,000000.0,0.0,000000.0,0.0,000000.0,171000.0,1000000.0,1301000.0
Total non-current assets,275444000.0,1093000000.0,1605362000.0,1074000000.0,1787378000.0,1341000000.0,1750908000.0,1478000000.0,1750486000.0,1548000000.0,1357700000.0
Total assets,405575000.0,406000000.0,1710063000.0,1710000000.0,1886700000.0,1887000000.0,1945412000.0,1945000000.0,1993228000.0,1993000000.0,1487979000.0
Payables,32506000.0,67000000.0,72663000.0,104000000.0,36527000.0,65000000.0,7467000.0,40000000.0,136337000.0,207000000.0,89430000.0
Short-term debt,4927000.0,,4049000.0,,2584000.0,,0.0,,0.0,,0.0
Total current liabilities,109637000.0,110000000.0,166487000.0,166000000.0,107807000.0,108000000.0,67906000.0,68000000.0,229999000.0,230000000.0,179668000.0
Long-term debt,982157000.0,982000000.0,759316000.0,759000000.0,724009000.0,724000000.0,847912000.0,848000000.0,360000000.0,860000000.0,658000000.0
Total debt,987084000.0,982000000.0,763365000.0,759000000.0,726593000.0,724000000.0,847912000.0,848000000.0,360000000.0,860000000.0,658000000.0
Deferred revenue,1079000.0,4000000.0,0.0,5000000.0,0.0,7000000.0,0.0,11000000.0,13377000.0,13000000.0,14531000.0
Tax Liabilities,0.0,000000.0,0.0,14000000.0,0.0,3000000.0,0.0,23000000.0,0.0,27000000.0,0.0
Deposit Liabilities,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
Total non-current liabilities,990888000.0,1093000000.0,779865000.0,1074000000.0,734755000.0,1341000000.0,882301000.0,1478000000.0,386612000.0,1548000000.0,661093000.0
Total liabilities,1202870000.0,1203000000.0,1240276000.0,1240000000.0,1448486000.0,1448000000.0,1545416000.0,1545000000.0,1141355000.0,1778000000.0,863855000.0
Other comprehensive income,637750000,000000.0,605971000,000000.0,446809000,-89000000.0,363396000,000000.0,813178000,000000.0,626297000
Retained earnings (deficit),-1435050000.0,-1435000000.0,-136274000.0,-136000000.0,-8652000.0,-9000000.0,36569000.0,37000000.0,38682000.0,39000000.0,-2186000.0
Total shareholders equity,-797295000.0,-797000000.0,469787000.0,470000000.0,438214000.0,438000000.0,399996000.0,400000000.0,851873000.0,216000000.0,624124000.0
Investments,6418000.0,,3646000.0,,58844000.0,,217509000.0,,208574000.0,,34235000.0
Net Debt,928620000.0,924000000,743893000.0,740000000,691951000.0,689000000,826019000.0,826000000,346434000.0,846000000,634180000.0
Other Assets,0.0,15000000,0.0,24000000,0.0,68000000,0.0,238000000,0.0,232000000,0.0
Other Liabilities,102345000.0,131000000,293924000.0,219000000,605924000.0,170000000,595209000.0,59000000,524744000.0,14000000,23094000.0
