date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,22472000000.0,2057000000.0,27573000000.0,18301000000.0,11632269000.0,33664173000.0,13187069000.0,10518966000.0,10456028000.0,6638637000.0,3525168000.0,1048108000.0,301766000.0,628968000.0,301766000.0,-8885000.0,12003317.5,-8882454.95
,depreciationAndAmortization,22714000000.0,22138000000.0,16187000000.0,11748000000.0,8327557000.0,5860912000.0,3972294000.0,2651990000.0,1515337000.0,884912000.0,441351000.0,280714000.0,70442000.0,180935000.0,70442000.0,4888000.0,9942058.15,4884108.5
,deferredIncomeTax,115000000.0,-696000000.0,-761000000.0,-756000000.0,-13561000.0,2260739000.0,-693448000.0,330636000.0,-59030000.0,-64701000.0,-74374000.0,-13814000.0,-3244000.0,-10767000.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,6728000000.0,5626000000.0,4676000000.0,3244000000.0,1759988000.0,1387118000.0,962740000.0,514727000.0,212309000.0,152028000.0,93736000.0,83977000.0,48280000.0,39848000.0,48280000.0,5109000.0,0.0,0.0
,changeInWorkingCapital,-18207000000.0,-6687000000.0,3281000000.0,6575000000.0,5637652000.0,4237484000.0,3249126000.0,967311000.0,780968000.0,592459000.0,746089000.0,337155000.0,25532000.0,99850000.0,107627000.0,11590000.0,17284777.2,11589410.0
,accountsReceivables,-1660000000.0,-1779000000.0,-1611000000.0,-721000000.0,-238198000.0,-868564000.0,-1462086000.0,-773787000.0,-338602000.0,-282467000.0,-128307000.0,-33282000.0,-388000.0,-40685000.0,-388000.0,-1518000.0,0.0,0.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,208000000.0,-1653000000.0,4094000000.0,5100000000.0,3711093000.0,7179338000.0,5028890000.0,2005559000.0,778003000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,-17549000000.0,1478000000.0,848000000.0,1065000000.0,662372000.0,143279000.0,1305330000.0,1036804000.0,806399000.0,-311371000.0,120372000.0,250904000.0,-12897000.0,69810000.0,69198000.0,5013000.0,0.0,0.0
,otherNonCashItems,-65000000.0,-305000000.0,-959000000.0,-401000000.0,-463372000.0,52959000.0,-42794000.0,19186000.0,-543883000.0,-36813000.0,0.0,-5739000.0,-4603000.0,-4914000.0,-4603000.0,5109000.0,0.0,0.0
,netCashProvidedByOperatingActivites,24200000000.0,28458000000.0,35967000000.0,32880000000.0,22258297000.0,19422438000.0,17937175000.0,13792971000.0,11995994000.0,8178819000.0,4700481000.0,1746199000.0,440805000.0,935152000.0,526144000.0,12702000.0,56506651.9,12698682.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-5084000000.0,-6428000000.0,-8861000000.0,-4829000000.0,-4215081000.0,-5250250000.0,-4831465000.0,-2768823000.0,-2339761000.0,-1866178000.0,-963488000.0,-459144000.0,-127534000.0,-569091000.0,-127534000.0,-6402000.0,-25413920.5,-6399009.95
,acquisitionsNet,0.0,-207000000.0,524000000.0,137000000.0,40000000.0,-598000000.0,-53000000.0,-2181000000.0,-132000000.0,-302000000.0,0.0,-2000000.0,0.0,-2000000.0,-6000000.0,-1000000.0,0.0,0.0
,purchasesOfInvestments,-296672000000.0,-344682000000.0,-338042000000.0,-316444000000.0,-242949537000.0,-182303497000.0,-135167635000.0,-84713301000.0,-33201183000.0,-11461679000.0,-2903197000.0,-764720000.0,0.0,-116793000.0,-85339000.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,276428000000.0,345243000000.0,316374000000.0,276033000000.0,221578425000.0,162637912000.0,119403361000.0,78509856000.0,22829412000.0,1497015000.0,2661794000.0,580430000.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,905000000.0,31000000.0,5877000000.0,-23522000000.0,-4364666000.0,0.0,0.0,4143000.0,0.0,0.0,0.0,0.0,0.0,0.0,-15200000.0,0.0,-2160597.15,-1556292.2
,netCashUsedForInvestingActivites,-27552000000.0,-19974000000.0,-34460000000.0,-76935000000.0,-35910759000.0,-31272444000.0,-22467774000.0,-23322819000.0,-13750100000.0,-14250529000.0,-1217522000.0,-661102000.0,-208933000.0,-713216000.0,-294272000.0,-7958000.0,-39478497.35,-7955302.15
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-9666000000.0,-10246000000.0,-21425000000.0,-11851000000.0,-3034870000.0,-2316697000.0,-420476000.0,-2228279000.0,-291726000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,commonStockIssued,4662000000.0,401000000.0,15689000000.0,4046000000.0,660773000.0,3527945000.0,1846819000.0,1397283000.0,100460000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120339466.55,74503.35
,commonStockRepurchased,-13054000000.0,-4958000000.0,-3312000000.0,-1723000000.0,0.0,-6376964000.0,0.0,0.0,0.0,0.0,0.0,-68539000.0,0.0,0.0,0.0,0.0,0.0,0.0
,dividendsPaid,0.0,0.0,0.0,0.0,0.0,0.0,-337964000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherFinancingActivites,1439000000.0,-672000000.0,-18698000000.0,18185000000.0,6758946000.0,50776000.0,-757577000.0,-39400000.0,0.0,43970000.0,0.0,0.0,-641000.0,0.0,-641000.0,0.0,0.0,0.0
,netCashUsedProvidedByFinancingActivities,5665000000.0,-3873000000.0,15082000000.0,44557000000.0,14446680000.0,7778032000.0,8611960000.0,7541561000.0,9518885000.0,2425810000.0,124751000.0,-35637000.0,32179000.0,40698000.0,32179000.0,72000.0,120339466.55,74503.35
