Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31
Revenue,1258200000.0,1234200000.0,1166700000.0,1179500000.0,1211300000.0,1028800000.0
Revenue Growth,0.0194457948468644,0.0578554898431473,-0.0108520559559135,-0.026252786262693,0.177391135303266,
Cost of Revenue,855600000.0,852300000.0,770900000.0,775600000.0,792300000.0,689100000.0
Gross Profit,402600000.0,381900000.0,395800000.0,403900000.0,419000000.0,339700000.0
R&D Expenses,13800000.0,17100000.0,21100000.0,21800000.0,0.0,0.0
SG&A Expense,245000000.0,254000000.0,252400000.0,261100000.0,266900000.0,223400000.0
Operating Expenses,296000000.0,293900000.0,290200000.0,332100000.0,317600000.0,275000000.0
Operating Income,106600000.0,88000000.0,105600000.0,71800000.0,101400000.0,64700000.0
Interest Expense,0.0,0.0,0.0,0.0,74600000.0,70100000.0
Earnings before Tax,61500000.0,18300000.0,44700000.0,-18400000.0,7200000.0,-15700000.0
Income Tax Expense,20000000.0,17200000.0,14200000.0,20400000.0,22000000.0,8900000.0
Net Income - Non-Controlling int,0.0,0.0,0.0,0.0,-100000.0,-100000.0
Net Income - Discontinued ops,0.0,0.0,0.0,0.0,0.0,0.0
Net Income,41500000.0,1100000.0,30500000.0,-38800000.0,-14800000.0,-24600000.0
Preferred Dividends,0.0,0.0,0.0,0.0,0.0,0.0
Net Income Com,41500000.0,1100000.0,30500000.0,-38800000.0,-14800000.0,-24600000.0
EPS,0.6,0.02,0.45,-0.65,-0.28,-0.55
EPS Diluted,0.58,0.02,0.43,-0.65,-0.28,-0.55
Weighted Average Shs Out,69726528.0,68574631.0,67504065.0,59925776.0,,
Weighted Average Shs Out (Dil),71743647.0,71001907.0,70130062.0,59925776.0,,
Dividend per Share,0.0,0.0,0.0,2.41298502334,0.0,0.0
Gross Margin,0.319980925131,0.309431210501,0.339247450073,0.342433234421,0.3459,0.3302
EBITDA Margin,0.131616595136,0.121212121212,0.14511013971,0.11742263671,0.127,0.124
EBIT Margin,0.0847242091877,0.0713012477718,0.0905116996657,0.0608732513777,0.0675,0.0529
Profit Margin,0.0329836274042,0.000891265597148,0.0261421102254,-0.0328952946164,-0.012,-0.024
Free Cash Flow margin,0.0739151168336,0.0572030465079,0.0504842718779,-0.0251801610852,-0.0031,0.0522
EBITDA,165600000.0,149600000.0,169300000.0,138500000.0,153400000.0,127600000.0
EBIT,106600000.0,88000000.0,105600000.0,71800000.0,81800000.0,54400000.0
Consolidated Income,41500000.0,1100000.0,30500000.0,-38800000.0,-14900000.0,-24700000.0
Earnings Before Tax Margin,0.0488793514545,0.0148274185707,0.0383131910517,-0.0155998304366,0.0059,-0.0153
Net Profit Margin,0.0329836274042,0.000891265597148,0.0261421102254,-0.0328952946164,-0.0122,-0.0239
